"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"South Lake Tahoe, California, United States","38.89341","-119.97555","WaldenMeadow A/C Spa Skeeball Shuffleboard Foosbal","8","Entire home","5","https://www.airbnb.com/rooms/43336866"
"Zephyr Cove, Nevada, United States","38.9847","-119.94421","2 Bedroom Suite w/ Fireplace, Pool, Hot Tub","5","Entire rental unit","5","https://www.airbnb.com/rooms/54157263"
"South Lake Tahoe, California, United States","38.95467","-119.9435","Marriott Grand Residence Condo, Unit 3109","4","Entire condo","5","https://www.airbnb.com/rooms/13185975"
"South Lake Tahoe, California, United States","38.95044","-119.95591","Lake Tahoe Vacation Resort - 2 Bedroom","6","Entire condo","4.5","https://www.airbnb.com/rooms/26373991"
"South Lake Tahoe, California, United States","38.89238","-119.9834","Charming Tahoe Chalet Near Heavenly | Dogs Welcome","10","Entire chalet","5","https://www.airbnb.com/rooms/40325029"
"South Lake Tahoe, California, United States","38.94099","-119.94918","Fully renovated,  4BR/3BA, hot tub and pool table","8","Entire home","5","https://www.airbnb.com/rooms/52653231"
"South Lake Tahoe, California, United States","38.9036","-119.97406","Beautiful 5 bedroom South Lake Tahoe home","12","Entire home","5","https://www.airbnb.com/rooms/40824180"
"South Lake Tahoe, California, United States","38.94838","-119.96255","MV04 South Lake Tahoe Lakeland Condo with all amenities!","6","Entire townhouse","4.5","https://www.airbnb.com/rooms/54292683"
"Glenbrook, Nevada, United States","39.03872","-119.9502","Relax and Refresh - Rockwood Cottage at Lake Tahoe","4","Entire cottage","5","https://www.airbnb.com/rooms/46829959"
"South Lake Tahoe, California, United States","38.945","-119.99","Amazing Lakefront GETAWAY!!!","4","Entire rental unit","5","https://www.airbnb.com/rooms/5979758"
"South Lake Tahoe, California, United States","38.89334","-119.97701","Shuffleboard, Foosball, Spa, Grill, Wifi, 7mins to Heavenly/ Lake/ Casinos - Redwood Manor","10","Entire home","5","https://www.airbnb.com/rooms/43846255"
"South Lake Tahoe, California, United States","38.92922","-119.95345","Heavenly House","10","Entire home","4.5","https://www.airbnb.com/rooms/2315322"
"Stateline, Nevada, United States","38.96","-119.884","Ski-in Executive Condo - S Tahoe #1","5","Room in serviced apartment","5","https://www.airbnb.com/rooms/2111408"
"South Lake Tahoe, California, United States","38.90131","-119.96432","New listing! Beautiful mountain getaway close to skiing & hiking - Dogs ok!","8","Entire home","4.5","https://www.airbnb.com/rooms/40036064"
"South Lake Tahoe, California, United States","38.91492","-119.97236","Trout Creek Cabin-Never Stop Exploring VHR20-0252","6","Entire cabin","5","https://www.airbnb.com/rooms/17559814"
"South Lake Tahoe, California, United States","38.883850900037736","-120.03828444956264","Rustic Mountain Retreat","8","Entire home","5","https://www.airbnb.com/rooms/49127381"
"South Lake Tahoe, California, United States","38.94907","-119.946","Chalet de Celeste","8","Entire chalet","4.5","https://www.airbnb.com/rooms/646530"
"South Lake Tahoe, California, United States","38.90231","-119.95978","Nestled Pines Retreat - Hot Tub, Pool Table, Foosball","10","Entire home","4.5","https://www.airbnb.com/rooms/29183538"
"South Lake Tahoe, California, United States","38.94095","-119.95896","Heavenly Tahoe Condo 3bd 2bath","7","Entire condo","4.5","https://www.airbnb.com/rooms/53903729"
"South Lake Tahoe, California, United States","38.85765","-120.01898","LodgeChic-NEW! Pets, Hot Tub, Ground Floor Living","4","Entire home","4.5","https://www.airbnb.com/rooms/51283655"
"South Lake Tahoe, California, United States","38.95036","-119.95624","Lk Tahoe 2BR condo slps 6 on the Lake Pools Marina","6","Entire condo","5","https://www.airbnb.com/rooms/36627056"
"Stateline, Nevada, United States","38.96697","-119.88636","Dog-friendly, third-floor condo with hot tub & pool, fast WiFi & W/D","2","Entire condo","4.5","https://www.airbnb.com/rooms/52614805"
"South Lake Tahoe, California, United States","38.86018","-119.99797","Pet Friendly Home with  Sauna!","6","Entire home","4.5","https://www.airbnb.com/rooms/19388576"
"South Lake Tahoe, California, United States","38.94779","-119.96114","Spacious condo with pool, tennis, close to beach, and casinos","8","Entire condo","4","https://www.airbnb.com/rooms/28978767"
"South Lake Tahoe, California, United States","38.95","-119.957","2BR condo slps6 by Marina Hvnly basecamp","8","Entire condo","5","https://www.airbnb.com/rooms/36235484"
"South Lake Tahoe, California, United States","38.93176","-120.01816","Family Home, Hot Tub and Dock - Monthly Stays!","8","Entire home","5","https://www.airbnb.com/rooms/5064779"
"Stateline, Nevada, United States","38.97537","-119.8918","A Beary Happy Treehouse NextTo Heaven-ly!","6","Entire home","5","https://www.airbnb.com/rooms/52754886"
"South Lake Tahoe, California, United States","38.90471","-119.97939","Minutes to Heavenly, Private Covered Hot Tub","10","Entire home","4","https://www.airbnb.com/rooms/48934203"
"South Lake Tahoe, California, United States","38.95903","-119.94027","Vacation Day Is Always A Great Idea! Free Breakfast, Onsite Restaurant, Daily Happy Hour","4","Private room in resort",,"https://www.airbnb.com/rooms/44550463"
"South Lake Tahoe, California, United States","38.94803","-119.94111","Lakeview Lodge  At Rocky Point Nest (VHRP #008292)","8","Entire home","5","https://www.airbnb.com/rooms/7557644"
"South Lake Tahoe, California, United States","38.9504","-119.95821","1bdm-Sleeps4 Lake Tahoe Resort#7","4","Entire condo","5","https://www.airbnb.com/rooms/10618584"
"Zephyr Cove, Nevada, United States","38.98225","-119.94485","South Tahoe 2 Bedroom Home (1)","7","Entire condo","4.5","https://www.airbnb.com/rooms/47952726"
"Zephyr Cove, Nevada, United States","38.97355","-119.93056","Tahoe House | Sleeps 8 | Coffee Bar |S. Lake Tahoe","8","Entire townhouse","5","https://www.airbnb.com/rooms/47898962"
"Zephyr Cove, Nevada, United States","38.98875","-119.94201","The Heavenly Getaway","6","Entire townhouse","5","https://www.airbnb.com/rooms/44476881"
"Stateline, Nevada, United States","38.97627","-119.89203","Mountain Getaway Near the Lake & Slopes with Free WiFi & Picturesque Views!","4","Entire condo","4","https://www.airbnb.com/rooms/54034885"
"South Lake Tahoe, California, United States","38.94978","-119.95774","1BR Lake Tahoe Vacation Resort Suite","4","Entire serviced apartment",,"https://www.airbnb.com/rooms/32754428"
"South Lake Tahoe, California, United States","38.939","-119.938","1BR condo Heavenly basecamp slps 4 Pool Amenities","4","Entire condo",,"https://www.airbnb.com/rooms/39922730"
"Stateline, Nevada, United States","38.96216","-119.88869","Tall Pine Chalet Lake Mountain Views Close to","8","Entire condo","4.5","https://www.airbnb.com/rooms/30857247"
"South Lake Tahoe, California, United States","38.90273","-119.97686","Panhandle House Private Hot Tub 10-Minutes to","8","Entire home","5","https://www.airbnb.com/rooms/6950851"
