"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Dunsmuir, California, United States","41.22397","-122.2769","Relax & Recharge at Mountain Oaks Retreat","6","Entire home","4.5","https://www.airbnb.com/rooms/45128782"
"Weed, California, United States","41.42321","-122.38371","Ski and Board Weed Cave","4","Entire cabin","4.5","https://www.airbnb.com/rooms/12687060"
"Weed, California, United States","41.38252","-122.38678","Private - Sacred Valley Healing Center- Mt. Shasta","3","Entire guest suite","5","https://www.airbnb.com/rooms/25920528"
"Mount Shasta, California, United States","41.32581","-122.35229","Hideaway House on Wyehka Way","8","Entire home","4.5","https://www.airbnb.com/rooms/16214358"
"Weed, California, United States","41.42206","-122.50016","Namaste Sulfur Springs House at Flowing Waters","13","Entire home","5","https://www.airbnb.com/rooms/43238290"
"Weed, California, United States","41.42196","-122.50274","Flowing Waters Magical A Frame Cottage by Creek!","3","Entire cabin","5","https://www.airbnb.com/rooms/19477411"
"Dunsmuir, California, United States","41.23106","-122.27898","Franke's Retreat, a quiet neighborhood in Dunsmuir","8","Entire home","4.5","https://www.airbnb.com/rooms/12567734"
"Mount Shasta, California, United States","41.31938","-122.31752","Hinckley Hangout","7","Entire home","5","https://www.airbnb.com/rooms/20087688"
"Dunsmuir, California, United States","41.15845","-122.29408","Three Vistas at Soda Creek","9","Entire home","4.5","https://www.airbnb.com/rooms/24572195"
"Mount Shasta, California, United States","41.28904","-122.31864","4600 Sq Ft Luxury Mt Shasta Resort Home","10","Entire home",,"https://www.airbnb.com/rooms/31687215"
"Mount Shasta, California, United States","41.31596","-122.31456","Shasta Star. Mountain views in downtown Mt. Shasta","10","Entire townhouse","4.5","https://www.airbnb.com/rooms/11043662"
"Mount Shasta, California, United States","41.313","-122.317","Charming 5BR  Home in a Great Downtown Location","8","Entire home","5","https://www.airbnb.com/rooms/53235473"
"Mount Shasta, California, United States","41.33474","-122.36947","Modern home w/ lush outdoor space and scenic views","10","Entire home","5","https://www.airbnb.com/rooms/50399938"
"Dunsmuir, California, United States","41.23269","-122.27724","River Life","8","Entire home","5","https://www.airbnb.com/rooms/30744341"
"Dunsmuir, California, United States","41.21047","-122.27285","The Rustic Lodge In Dunsmuir - Near Mt. Shasta","11","Entire home","4.5","https://www.airbnb.com/rooms/49856530"
"Mount Shasta, California, United States","41.34156","-122.36216","Rainbow Ranch Vacation Rental","10","Entire home","5","https://www.airbnb.com/rooms/24751439"
"Mount Shasta, California, United States","41.30397","-122.29397","Falconhurst Estate, a Tudor Manor in the forest","8","Entire home","5","https://www.airbnb.com/rooms/11905153"
"Mount Shasta, California, United States","41.39694","-122.39536","Modern Cabin w/Panoramic Mt Shasta View","16","Entire home","5","https://www.airbnb.com/rooms/13064879"
"Mt Shasta, California, United States","41.30626","-122.31448","Sunny Clean Central Spacious 5BR Updated Bungalow","10","Entire home","5","https://www.airbnb.com/rooms/7389416"
"Mount Shasta, California, United States","41.313","-122.312","Holly House Mt. Shasta!","8","Entire home","5","https://www.airbnb.com/rooms/21864177"
"Weed, California, United States","41.37242","-122.41007","Modern home in the mountains","7","Entire home","5","https://www.airbnb.com/rooms/9365723"
"McCloud, California, United States","41.22536","-122.15269","NEW! McCloud Cabin w/ 3.5 Miles of Private Hiking!","10","Entire cabin","5","https://www.airbnb.com/rooms/53698624"
"Mount Shasta, California, United States","41.32933","-122.33871","4BR Cabin in the Woods w/views on 2.5 acres","11","Entire home","5","https://www.airbnb.com/rooms/14182596"
"Mount Shasta, California, United States","41.35004","-122.35374","Beautiful Shasta Woodlands in the majestic pines","8","Entire home","4.5","https://www.airbnb.com/rooms/34198868"
"Mount Shasta, California, United States","41.30209","-122.3067","Cozy Home w/Fireplace 11 Mi. to Mt Shasta Ski Park","8","Entire home","5","https://www.airbnb.com/rooms/23630560"
"Weed, California, United States","41.39318","-122.39655","Michael's Mystic Mountain Retreat 
Hot tub / Sauna","8","Entire home","5","https://www.airbnb.com/rooms/441928"
"Mount Shasta, California, United States","41.37649","-122.36981","The Venusian✨ Jacuzzi✨Mt View✨4 acres✨New Decor","12","Entire home","5","https://www.airbnb.com/rooms/49248313"
"Dunsmuir, California, United States","41.20264","-122.27266","The Rivers Bend an Amazing River Location","9","Entire home","5","https://www.airbnb.com/rooms/14520756"
"Mount Shasta, California, United States","41.32092","-122.33004","Lilly's Loft at Spring Creek Ranch","4","Entire guest suite","5","https://www.airbnb.com/rooms/53214653"
"Mount Shasta, California, United States","41.31472","-122.31122","Mountain view retreat just steps from downtown","8","Entire cottage","5","https://www.airbnb.com/rooms/34862708"
"Mount Shasta, California, United States","41.3098","-122.30994","4BR Cottage Downtown Mt Shasta w/Views on 1/2 acre","11","Entire home","5","https://www.airbnb.com/rooms/39825167"
"Mount Shasta, California, United States","41.31622","-122.31042","Alpenglow Escape-downtown yet very quiet street.","8","Entire home","5","https://www.airbnb.com/rooms/46422394"
"Mount Shasta, California, United States","41.33972","-122.3544","Beautiful Modern Home in Mt Shasta","10","Entire home","5","https://www.airbnb.com/rooms/11379090"
"Mount Shasta, California, United States","41.32731","-122.31257","Peaceful Cedar Log Cabin on 1 acre","4","Entire cabin","5","https://www.airbnb.com/rooms/7421968"
"Mount Shasta, California, United States","41.31915","-122.34092","Lovingly Restored Mount Shasta Farmhouse","10","Entire home","5","https://www.airbnb.com/rooms/21853022"
"Mount Shasta, California, United States","41.34753","-122.35534","Mountain Modern Chalet w/ Hot Tub","4","Entire cabin","5","https://www.airbnb.com/rooms/52667754"
"Weed, California, United States","41.37539","-122.40554","Beautiful Cabin Retreat In The Woods.","10","Entire cabin","5","https://www.airbnb.com/rooms/51979063"
"Weed, California, United States","41.409","-122.437","Mountain Breeze - Pet Friendly - Reduced Rate!","6","Entire home","5","https://www.airbnb.com/rooms/52225087"
"McCloud, California, United States","41.22594","-122.15564","Log Home on 40 Private Acres By Mt Shasta Ski Park","10","Entire home","5","https://www.airbnb.com/rooms/21217137"
