"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Truckee, California, United States","39.3081","-120.1638","Schaffers Mill, Ski Lease available, 2022/2023","8","Entire home","5","https://www.airbnb.com/rooms/15038886"
"Truckee, California, United States","39.34414","-120.20296","Spacious home with private hot tub & game room - near skiing, hiking, biking","10","Entire home","5","https://www.airbnb.com/rooms/32336011"
"Carnelian Bay, California, United States","39.2321","-120.07682","Cozy Tahoe Cabin","8","Entire cabin","5","https://www.airbnb.com/rooms/42206109"
"Truckee, California, United States","39.35117","-120.24542","Updated Luxury 4Bed/3bath Home with outdoor Hottub","10","Entire home","5","https://www.airbnb.com/rooms/17682494"
"Incline Village, Nevada, United States","39.24917","-119.97476","Relax at Martis Peak chalet in Incline Village","6","Entire home","5","https://www.airbnb.com/rooms/52813215"
"Carnelian Bay, California, United States","39.228","-120.085","Olive Branch - Luxury 4 BR w/ Private Hot Tub & Short Walk to Lake + Pet-Friendly!","10","Entire home","4.5","https://www.airbnb.com/rooms/5352820"
"Olympic Valley, California, United States","39.20713","-120.20336","Enjoy Paradise | Hot Tub, Bike & Beach Equipment!","6","Entire townhouse",,"https://www.airbnb.com/rooms/51842445"
"Tahoe City, California, United States","39.16526","-120.14244","Elegant Lakefront Townhouse w/ View","10","Entire home","5","https://www.airbnb.com/rooms/11965554"
"Zephyr Cove, Nevada, United States","39.038","-119.949","Luxury villa Steps  the Lake Tahoe beach Home with Hot Tub,Close to Skiing: LV12","10","Entire home","5","https://www.airbnb.com/rooms/21068402"
"Carnelian Bay, California, United States","39.23474","-120.07346","NEW LISTING, O`Rourke Cabin","10","Entire home","5","https://www.airbnb.com/rooms/46276395"
"Soda Springs, California, United States","39.30609","-120.38477","Perfect cabin near the lake and slopes w/ pool table, wood stove, & free WiFi","8","Entire home","5","https://www.airbnb.com/rooms/46749037"
"Incline Village, Nevada, United States","39.24042","-119.94275","Hyatt High Sierra Lodge - New Years Available!","8","Entire condo","5","https://www.airbnb.com/rooms/19068480"
"Incline Village, Nevada, United States","39.25206","-119.93031","Lakeview Getaway at Incline Village Concierge","8","Entire condo",,"https://www.airbnb.com/rooms/53813698"
"Incline Village, Nevada, United States","39.2456","-119.95796","Creekside & Comfy! 3 bd 2.5 Condo, Sleeps 6-9","9","Entire condo","5","https://www.airbnb.com/rooms/19248150"
"Homewood, California, United States","39.069","-120.154","Spacious 4 bedroom home, Chamberlands Beach - Lake Views","10","Entire home","5","https://www.airbnb.com/rooms/16041197"
"Carnelian Bay, California, United States","39.21825","-120.09436","LAKE TAHOE NORTH SHORE RENTAL - 1 MILE FROM BEACH!","8","Entire home","5","https://www.airbnb.com/rooms/951440"
"Olympic Valley, California, United States","39.20421","-120.22121","Squaw Valley 4Bdrm 2bth, hot tub,","8","Entire chalet","4.5","https://www.airbnb.com/rooms/4495220"
