"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Miramonte, California, United States","36.681","-119.024","Rustic Red Cabin -Wilderness Views","12","Entire cabin","4","https://www.airbnb.com/rooms/25379674"
"Badger, California, United States","36.64804","-119.01236","Sequoia Resort- House 1 ""Lakeview""","7","Room in resort","4.5","https://www.airbnb.com/rooms/867512"
"Badger, California, United States","36.64763","-119.01433","Sequoia Resort- House 3 ""Mountain Retreat""","7","Room in boutique hotel","5","https://www.airbnb.com/rooms/867661"
"Dunlap, California, United States","36.768","-119.1","Lovely 2-bedroom cabin with mountain view","4","Entire vacation home","5","https://www.airbnb.com/rooms/654642420803118500"
"Badger, California, United States","36.62397","-118.99248","Hummingbird House: Comfy Base Near Nat'l Parks","6","Entire home","5","https://www.airbnb.com/rooms/17570849"
"Badger, California, United States","36.64706","-119.01214","Sequoia Resort- House 4 ""Creekside"" - 3 bedrooms","7","Entire home","5","https://www.airbnb.com/rooms/867693"
"Miramonte, California, United States","36.69495","-119.00646","Pierce's Place near King's Canyon/Sequoia","8","Entire home","5","https://www.airbnb.com/rooms/52468374"
"Squaw Valley, California, United States","36.76183","-119.24266","Vacation Home Rental near Kings Canyon/Sequoia","7","Entire home","3.5","https://www.airbnb.com/rooms/50115591"
"Badger, California, United States","36.59003","-119.01436","SequoiasNational Park / kings -  Cody Canyon Ranch","6","Entire cabin","5","https://www.airbnb.com/rooms/24333450"
"Miramonte, California, United States","36.6899","-119.00605","Miramonte Cabin","7","Entire cabin","5","https://www.airbnb.com/rooms/12385515"
"Squaw Valley, California, United States","36.72847","-119.17018","Beautiful Farm in Squaw Valley near Sequoia Park","13","Farm stay","5","https://www.airbnb.com/rooms/46084691"
"Piedra, California, United States","36.83485","-119.34412","Kings River/Mtn Cabin/Sierra/Kings Canyon/Yosemite","12","Entire cabin","5","https://www.airbnb.com/rooms/29829321"
"Squaw Valley, California, United States","36.77187","-119.17431","5 EZ Ranch- Minutes to Kings Canyon National Park","9","Farm stay","5","https://www.airbnb.com/rooms/32903596"
"Squaw Valley, California, United States","36.7587","-119.23562","Ruth's Hideaway","4","Entire home","5","https://www.airbnb.com/rooms/51228770"
"Squaw Valley, California, United States","36.77536","-119.17377","Mountain Hideout + Barn / Close to Kings Canyon","14","Entire cabin","5","https://www.airbnb.com/rooms/52053076"
"Squaw Valley, California, United States","36.6881","-119.10685","Arcadian Log Cabin -Sequoia/Kings Canyon N Park","10","Entire cabin","5","https://www.airbnb.com/rooms/47393491"
"Squaw Valley, California, United States","36.68322","-119.13821","Rocky Point at Squaw Valley","6","Entire home","5","https://www.airbnb.com/rooms/29129796"
"Squaw Valley, California, United States","36.72468","-119.24265","Little Tombstone Ranch - Kings Canyon / Sequoia","5","Entire home","5","https://www.airbnb.com/rooms/45089816"
"Squaw Valley, California, United States","36.723","-119.16","Waxberry Getaway Sequoia/Kings Canyon National Pks","16","Entire home","5","https://www.airbnb.com/rooms/48193532"
"Dunlap, California, United States","36.73448","-119.11202","Dewy Meadow A+B (Sequoia Kings Canyon NP)","12","Entire home","5","https://www.airbnb.com/rooms/43711855"
"Miramonte, California, United States","36.69976","-119.00757","Enchanting View,  Sequoia/Kings Canyon PKs Getaway","8","Entire home","5","https://www.airbnb.com/rooms/49798645"
"Dunlap, California, United States","36.762","-119.138","Redbarn Ridge | Family Retreat | Near Park Gate","8","Entire home","5","https://www.airbnb.com/rooms/27937456"
"Squaw Valley, California, United States","36.7059","-119.26746","2nd Wind Ranch | Sequoia-Kings NP | Family Getaway","12","Entire home","5","https://www.airbnb.com/rooms/49250758"
"Sanger, California, United States","36.73965","-119.4627","Kings river retreat","3","Entire home",,"https://www.airbnb.com/rooms/48290266"
"Sanger, California, United States","36.73884","-119.46488","Kings River water retreat3 great national Parks","2","Entire guest suite","5","https://www.airbnb.com/rooms/8136769"
"Sanger, California, United States","36.76505","-119.40757","Historical Mansion Offering a Unique Adventure","6","Private room in farm stay","5","https://www.airbnb.com/rooms/48543076"
"Miramonte, California, United States","36.68597","-119.06865","Starview Ranch: 3 bedroom home with stunning views","8","Ranch","5","https://www.airbnb.com/rooms/53834952"
"Miramonte, California, United States","36.68976","-119.06007","Starview Ranch Cottage close to Kings/ Sequoia NP","6","Entire cottage","5","https://www.airbnb.com/rooms/48865711"
