"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Port-Saint-Louis-du-Rhône, Provence-Alpes-Côte d'Azur, France","43.39729","4.79323","Charming villa in Camargue with private pool","4","Entire villa",,"https://www.airbnb.com/rooms/53352368"
"Fortingall, near Aberfeldy, Scotland, United Kingdom","56.60079","-4.03519","Ardchoille Cottage (UK10285)","6","Entire home",,"https://www.airbnb.com/rooms/40932817"
"San Diego, California, United States","32.74566","-117.18146","Penthouse ~Amazing Views ~Modern Gem ~Close to All","7","Entire condo","5","https://www.airbnb.com/rooms/30209898"
"Saint Ives, United Kingdom","50.2102","-5.47755","54 Carrack Widden","4","Entire home",,"https://www.airbnb.com/rooms/32631877"
"Captiva, Florida, United States","26.52766","-82.1915","2 1BR Villas, Pools, Waterslides, Free Parking!","8","Entire serviced apartment",,"https://www.airbnb.com/rooms/45992316"
"Cape Town, Western Cape, South Africa","-33.96088","18.37709","Merridew - Walking distance to Camps Bay Beach","12","Entire villa","5","https://www.airbnb.com/rooms/1241945"
"Delabole, near Tintagel, England, United Kingdom","50.62737","-4.72787","Moor View (UK12614)","8","Entire home",,"https://www.airbnb.com/rooms/40941899"
"York, Maine, United States","43.16754","-70.62124","Modern Beach Retreat- NEW!","12","Entire home","5","https://www.airbnb.com/rooms/36603389"
"Thorpeness, United Kingdom","52.18","1.616","2 Truman Lodge","4","Entire home",,"https://www.airbnb.com/rooms/21806660"
"Brixham, England, United Kingdom","50.3982","-3.50854","55 Moorings Reach (BCMR55B)","4","Entire rental unit",,"https://www.airbnb.com/rooms/40909666"
"Soulby, Kirkby Stephen, United Kingdom","54.49412","-2.38918","Fenham Barn (W40158)","11","Entire home",,"https://www.airbnb.com/rooms/30815373"
"Lahaina, Hawaii, United States","21.00143","-156.66184","Kapalua Bay Villa 32G2 By Aloha Vacation Villas","6","Entire rental unit",,"https://www.airbnb.com/rooms/44444378"
"North Sunderland, United Kingdom","55.57699","-1.67057","4 Brindles Manse","6","Entire home","5","https://www.airbnb.com/rooms/35185594"
"Mount Maunganui, Bay of Plenty, New Zealand","-37.66901","176.22083","Tranquil View Over 15th Green!!","8","Entire home",,"https://www.airbnb.com/rooms/49112974"
"Cowbeech, near Hailsham, United Kingdom","50.90552","0.30117","Cowbeech Farm Cottage (UKC2082)","4","Entire home","5","https://www.airbnb.com/rooms/30891011"
"Little Haven, Wales, United Kingdom","51.75619","-5.11206","Ocean House - UKC4297 (UKC4297)","8","Entire home",,"https://www.airbnb.com/rooms/42485431"
"Brighton and Hove, England, United Kingdom","50.82073","-0.13866","East Street Central","4","Entire rental unit","5","https://www.airbnb.com/rooms/51833702"
"Amroth, near Saundersfoot, United Kingdom","51.73212","-4.66103","Morfa (OV7)","6","Entire home",,"https://www.airbnb.com/rooms/30912303"
"Bonifacio, Corsica, France","41.38158","9.17916","Villa climatisée avec piscine 8 personnes","8","Entire villa","5","https://www.airbnb.com/rooms/33304835"
"Kill Devil Hills, North Carolina, United States","36.04322","-75.68547","Blue Heaven OBX-2 Master BRs and Bonus Game Room!","8","Entire home","5","https://www.airbnb.com/rooms/47721518"
"Nasugbu, Calabarzon, Philippines","14.11757","120.61274","Maya Maya Whitehouse","16","Entire bungalow","5","https://www.airbnb.com/rooms/26818045"
"Pollença, Spain","39.8972","3.05784","Villa Palmeras","12","Entire villa",,"https://www.airbnb.com/rooms/26317219"
"Nerokouros, Greece","35.47656","24.03519","Luxury villa Panthea with private pool","10","Entire home","5","https://www.airbnb.com/rooms/26195456"
"Swanage, United Kingdom","50.60777","-1.95679","Seashell View","6","Entire rental unit","5","https://www.airbnb.com/rooms/30927523"
"Cornwall, England, United Kingdom","50.33456","-5.16202","Little Foxes (UK11767)","2","Entire home","5","https://www.airbnb.com/rooms/40932480"
"Seattle, Washington, United States","47.61223","-122.30671","Updated Craftsman *Pet friendly* Great Location!","6","Entire home","5","https://www.airbnb.com/rooms/26362891"
"Nashville, Tennessee, United States","36.16194","-86.77821","Unique Downtown Loft With Amazing Views","6","Entire loft",,"https://www.airbnb.com/rooms/745052682127336800"
"London, Greater London, United Kingdom","51.45657","-0.1688","Elegant Family Home near Wandsworth Common","4","Entire home","5","https://www.airbnb.com/rooms/38537021"
"Racale, Italy","39.94333","18.04818","VILLATRULLO MELOGRANO","12","Entire villa","4.5","https://www.airbnb.com/rooms/30764165"
"Coronado, California, United States","32.68951","-117.18144","Family-Friendly Home Blocks from Beach and Shops","10","Entire home","5","https://www.airbnb.com/rooms/18179723"
"Yarmouth, Massachusetts, United States","41.66027","-70.21354","Kayaks provided, immaculate home on  Swan Pond","7","Entire home","5","https://www.airbnb.com/rooms/34768441"
"London, England, United Kingdom","51.50905","-0.12482","★ Covent Garden - Spacious Apartment ★","4","Entire rental unit",,"https://www.airbnb.com/rooms/16723264"
"Avignon, Provence-Alpes-Côte d'Azur, France","43.963","4.817","Provence, Avignon, belle maison - piscine chauffée","9","Entire home","5","https://www.airbnb.com/rooms/31398313"
"Skenfrith, Wales, United Kingdom","51.88639","-2.79541","Malt House (UK31050)","8","Entire home","5","https://www.airbnb.com/rooms/44098945"
"Dicomano, Tuscany, Italy","43.89371","11.52742","Residenza Villa Lilia","8","Entire villa",,"https://www.airbnb.com/rooms/40052280"
"Penenden Heath, England, United Kingdom","51.21282","0.66155","The Dairy (UK32189)","8","Entire home",,"https://www.airbnb.com/rooms/47047038"
"Flims Dorf, Switzerland","46.83813","9.27711","Guarda Flem, (Flims Dorf), 3.5 room apartment","8","Entire rental unit","5","https://www.airbnb.com/rooms/34523383"
"Tas-Sliema, Malta","35.908","14.498","Pearl Pad  ♥  Seaside Stylish Apt with HOT TUB ☼","4","Entire rental unit","5","https://www.airbnb.com/rooms/52344908"
"Beer, England, United Kingdom","50.6988","-3.09643","Chart Cottage","6","Entire home",,"https://www.airbnb.com/rooms/50712860"
"Indio, California, United States","33.74365","-116.18791","Worldmark Coachella 3BR! Sleeps8 Festival Deals","8","Entire condo",,"https://www.airbnb.com/rooms/33152109"
"Brabourne Lees, England, United Kingdom","51.12575","0.97717","Chapel Farm Barn (UK32351)","8","Entire home",,"https://www.airbnb.com/rooms/47276831"
"Brockford, near Stowmarket, United Kingdom","52.2474","1.10966","Railway Carriage Two - E5601 (E5601)","6","Entire home",,"https://www.airbnb.com/rooms/30919477"
"Lindesnes, Agder, Norway","58.03848","7.20571","Amazing home in Spangereid with 6 Bedrooms","12","Entire home",,"https://www.airbnb.com/rooms/48223174"
"Torquay, England, United Kingdom","50.46307","-3.53256","Bay View Abbey Sands (UK10420)","4","Entire home",,"https://www.airbnb.com/rooms/34760252"
"Stalmine, England, United Kingdom","53.89836","-2.94623","Pointer Cottage (UK32994)","4","Entire home",,"https://www.airbnb.com/rooms/49650081"
"Horton in Ribblesdale, near Settle, United Kingdom","54.14753","-2.2961","Three Peaks House (UK2071)","6","Entire home","5","https://www.airbnb.com/rooms/30910974"
