"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"McCall, Idaho, United States","44.91036","-116.10105","Park Street Cottage: Hot Tub, Pet Friendly, Short Walk to Downtown and Lake","10","Entire home","4.5","https://www.airbnb.com/rooms/12673615"
"McCall, Idaho, United States","44.90288","-116.09269","McCall Base Camp","6","Entire cabin","5","https://www.airbnb.com/rooms/46360753"
"McCall, Idaho, United States","44.915","-116.072","Spacious 5B home near town - hot tub, pool table","13","Entire cabin","5","https://www.airbnb.com/rooms/53646367"
"McCall, Idaho, United States","44.90852","-116.07629","Spring Mountain Manor - Private Hot Tub -  Wooded - Great Gathering Space in Quiet Neighborhood!","16","Entire home",,"https://www.airbnb.com/rooms/51868629"
"McCall, Idaho, United States","44.91959","-116.09275","Centrally located condo w/ gas grill & wood fireplace - walk to town/the lake!","4","Entire condo","4.5","https://www.airbnb.com/rooms/35349902"
"McCall, Idaho, United States","44.92098","-116.08486","Beautifully Renovated, Golf-Course-Front Home w/ 2 Decks, Wood Stove, WiFi","6","Entire home","4.5","https://www.airbnb.com/rooms/52025806"
"McCall, Idaho, United States","44.94106","-116.17241","Meadowood Lodge - your gateway to adventure","10","Entire guesthouse","4.5","https://www.airbnb.com/rooms/53364071"
"McCall, Idaho, United States","44.93024","-116.13292","High Altitude Escape","2","Entire guest suite","5","https://www.airbnb.com/rooms/22599113"
"McCall, Idaho, United States","44.9168","-116.09106","1 Bedroom + 1 Loft bedroom in McCall, ID","8","Entire condo","4.5","https://www.airbnb.com/rooms/39921786"
"McCall, Idaho, United States","44.911","-116.105","Lakeside Getaway w/ Shared Pool, Beautiful Views, & Private Beach Access","8","Entire condo","4.5","https://www.airbnb.com/rooms/19324666"
"McCall, Idaho, United States","44.91764","-116.08578","Family-Friendly Home w/ Balcony, Private W/D, Shared Pool & Hot Tub - Near Lake","6","Entire townhouse","4.5","https://www.airbnb.com/rooms/52614808"
"McCall, Idaho, United States","44.90214","-116.11586","4 level McCall Cabin, gorgeous, private hot tub","15","Entire cabin","5","https://www.airbnb.com/rooms/31928348"
"McCall, Idaho, United States","44.91615","-116.09037","Two-Level Condo w/ Sunny Deck, WiFi, Laundry & Shared Pool/Hot Tub/Tennis!","6","Entire condo","4","https://www.airbnb.com/rooms/50752926"
"McCall, Idaho, United States","44.9059","-116.09818","Charming, two-level condo in prime location near downtown McCall & Payette Lake","6","Entire condo","4","https://www.airbnb.com/rooms/38603795"
"McCall, Idaho, United States","44.91142","-116.09013","Charming In-Town Cabin","6","Entire cabin","5","https://www.airbnb.com/rooms/36505659"
"McCall, Idaho, United States","44.91794","-116.09298","2 Bedroom + 1 Loft Bedroom in McCall, ID","6","Entire condo","4.5","https://www.airbnb.com/rooms/39920792"
"McCall, Idaho, United States","44.91398","-116.09654","Mill Road Townhome - Walk to Payette Lake and Downtown - Lakeview Balcony - WiFi","6","Entire townhouse","4.5","https://www.airbnb.com/rooms/52897180"
"McCall, Idaho, United States","44.90594","-116.1132","Peaceful Log Cabin - Firepit & Deck with Forest Views","11","Entire cabin","4.5","https://www.airbnb.com/rooms/17164885"
"McCall, Idaho, United States","44.90968","-116.07468","Centrally located home with deck, pool, hot tub & tennis","8","Entire home","5","https://www.airbnb.com/rooms/23245315"
"McCall, Idaho, United States","44.92108","-116.07706","Beautiful Cabin on McCall Golf Course","10","Entire cabin","5","https://www.airbnb.com/rooms/47883921"
"McCall, Idaho, United States","44.91774","-116.12826","Spacious, woodsy cabin with outdoor firepit - blocks from Payette Lake","11","Entire cabin","4.5","https://www.airbnb.com/rooms/25179262"
"McCall, Idaho, United States","44.91611","-116.09244","Perfect McCall getaway w/ private balcony, wood-burning fireplace, & free WiFi!","4","Entire condo","4.5","https://www.airbnb.com/rooms/46727128"
"McCall, Idaho, United States","44.91808","-116.08913","NEW! Warm McCall Condo: Half-Mile to Payette Lake!","4","Entire condo","4.5","https://www.airbnb.com/rooms/53940123"
"McCall, Idaho, United States","44.90352","-116.12534","Lodge on Cloud 9, sleeps 18 - 22","16","Entire villa","5","https://www.airbnb.com/rooms/48972244"
"McCall, Idaho, United States","44.91","-116.077","McCall Cabin in Spring Mtn Ranch, Private Hot Tub","8","Entire cabin","5","https://www.airbnb.com/rooms/39753075"
"McCall, Idaho, United States","44.91834","-116.09082","McCALL, ID 
A COZY CONDO
The Sunflower Shanty 🌻","5","Entire condo","4.5","https://www.airbnb.com/rooms/46485068"
"McCall, Idaho, United States","44.91901","-116.09136","Perfectly Located Retreat","6","Entire condo","5","https://www.airbnb.com/rooms/38673474"
"McCall, Idaho, United States","44.91825","-116.09132","1 Bedroom in McCall, ID","8","Entire condo","5","https://www.airbnb.com/rooms/39921459"
"McCall, Idaho, United States","44.90913","-116.09913","New Downtown McCall Modern Condo with Lake Views","8","Entire vacation home","5","https://www.airbnb.com/rooms/53570904"
"McCall, Idaho, United States","44.92658","-116.12362","Lakefront House, Private Beach, Boat Dock, Hot Tub","8","Entire home","5","https://www.airbnb.com/rooms/22570980"
"McCall, Idaho, United States","44.90305","-116.12662","5 Bedroom McCall Cabin w/ Hot Tub","16","Entire cabin","5","https://www.airbnb.com/rooms/27852352"
"McCall, Idaho, United States","44.9211","-116.08187","Longhorn Hideaway: Pet Friendly, Near Ponderosa Park, Quiet Wooded Neighborhood","8","Entire home","5","https://www.airbnb.com/rooms/34813919"
"McCall, Idaho, United States","44.901","-116.1","Cabernet Cottage - Your McCall Adventure Basecamp","6","Entire cottage","5","https://www.airbnb.com/rooms/15109460"
"McCall, Idaho, United States","44.91167","-116.07973","Hearthstone - Birch Home","6","Entire townhouse","5","https://www.airbnb.com/rooms/19693278"
"McCall, Idaho, United States","44.89385","-116.1268","McCall Cabin in the Pines","6","Entire cabin","4.5","https://www.airbnb.com/rooms/44858742"
"McCall, Idaho, United States","44.904","-116.093","Modern Cabin- DOG Friendly w/ Private Hot Tub","8","Entire home","4.5","https://www.airbnb.com/rooms/50379821"
"McCall, Idaho, United States","44.90388","-116.12084","Peaceful Cabin with Tree-Lined Deck, Yard, & Outdoor Firepit","4","Entire cabin","4.5","https://www.airbnb.com/rooms/17164890"
"McCall, Idaho, United States","44.903","-116.127","The Gathering place, sleeps 16","16","Entire cabin","5","https://www.airbnb.com/rooms/31831080"
"McCall, Idaho, United States","44.9198","-116.08802","McCall Golf Course with Private Hot Tub","13","Entire cabin","5","https://www.airbnb.com/rooms/41929079"
"McCall, Idaho, United States","44.91316","-116.08054","Hearthstone - Birch Home","6","Entire townhouse","5","https://www.airbnb.com/rooms/20187563"
"McCall, Idaho, United States","44.90821","-116.12335","Mountain cabin with private hot tub, wraparound deck, & gas fireplace - dogs OK","8","Entire home","4.5","https://www.airbnb.com/rooms/29904623"
"McCall, Idaho, United States","44.9482","-116.104","Cozy cabin with 2 fireplaces & firepit - short drive to Payette Lake","10","Entire cabin","4.5","https://www.airbnb.com/rooms/17164940"
"McCall, Idaho, United States","44.92008","-116.09448","-McCall Lakefront Oasis -TOP PROPERTY ! FAMILY SUMMER PARADISE","12","Entire home","4.5","https://www.airbnb.com/rooms/50876475"
"McCall, Idaho, United States","44.91908","-116.07107","Mort's Cabin, cozy and comfortable.","10","Entire home","5","https://www.airbnb.com/rooms/49133351"
"New Meadows, Idaho, United States","45.00722","-116.29593","Heaven: The biggest best vacation lodge, sleeps 24","16","Entire chalet","5","https://www.airbnb.com/rooms/25111007"
"McCall, Idaho, United States","44.92495","-116.0827","Authentic McCall Cabin Adjacent to Ponderosa Park","8","Entire cabin","4.5","https://www.airbnb.com/rooms/17265043"
"McCall, Idaho, United States","44.90413","-116.117","Pines on the Pond - Private Dock - 6 Bedrooms - WiFi - Large Driveway - Rio Vista Pond","14","Entire home","5","https://www.airbnb.com/rooms/52692323"
