"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Bédoin, Provence-Alpes-Côte d'Azur, France","44.11874","5.22197","★Contemporary house Pool & Hot Tub★ BERSY LUXURY PROPERTIES® ★ At the foot of Mont Ventoux★","6","Entire villa","5","https://www.airbnb.com/rooms/52306433"
"Nasugbu, Calabarzon, Philippines","14.11757","120.61274","Maya Maya Whitehouse","16","Entire bungalow","5","https://www.airbnb.com/rooms/26818045"
"Arnisdale, Scotland, United Kingdom","57.12575","-5.55196","Sheena's But'n'Ben (UK33034)","6","Entire home","5","https://www.airbnb.com/rooms/49522619"
"Pau, Nouvelle-Aquitaine, France","43.2983","-0.37499","Bel appartement centre ville","2","Entire rental unit","5","https://www.airbnb.com/rooms/21395765"
"Cornwall, England, United Kingdom","50.33456","-5.16202","Little Foxes (UK11767)","2","Entire home","5","https://www.airbnb.com/rooms/40932480"
"Telluride, Colorado, United States","37.93817","-107.81773","Pacific Street Townhome 522A","6","Entire townhouse","4.5","https://www.airbnb.com/rooms/25668958"
"Richmond, England, United Kingdom","54.40159","-1.73758","Castle Cottage (UK10662)","5","Entire home","5","https://www.airbnb.com/rooms/34770327"
"Virginia Beach, Virginia, United States","36.84696","-75.97953","Upscale ViBe 3 Blocks 2 Beach walk to everything!","6","Entire townhouse","5","https://www.airbnb.com/rooms/46037201"
"Todi, Umbria, Italy","42.75836","12.43825","RUSTIC VILLA WITH LARGE SWIMMING POOL","12","Entire home","4.5","https://www.airbnb.com/rooms/28216794"
"Flims Dorf, Switzerland","46.83813","9.27711","Guarda Flem, (Flims Dorf), 3.5 room apartment","8","Entire rental unit","5","https://www.airbnb.com/rooms/34523383"
"Kidderminster, United Kingdom","52.35658","-2.22962","The Hayloft (30766)","5","Entire home","5","https://www.airbnb.com/rooms/30865617"
"Reepham, United Kingdom","52.76336","1.09037","The Cowshed (UKC3369)","4","Entire home",,"https://www.airbnb.com/rooms/30906276"
"Compton, near Chichester, United Kingdom","50.93313","-0.89932","The Barn - 19202 (19202)","8","Entire home",,"https://www.airbnb.com/rooms/30885209"
"Newquay, England, United Kingdom","50.41914","-5.09301","Fistral View - 3 Cribbar (BCCRIB03)","5","Entire rental unit","5","https://www.airbnb.com/rooms/40933642"
"Reno, Nevada, United States","39.45058","-119.73284","Lux Mt. View 30min to Tahoe Sleep22 5Beds 3.5Bath","16","Entire home","5","https://www.airbnb.com/rooms/53836563"
