"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Twin Falls, Idaho, United States","42.31791","-114.64525","South Hills Lodge","12","Entire home","5","https://www.airbnb.com/rooms/51586698"
"Twin Falls, Idaho, United States","42.60473","-114.48561","Escape to The Snake River Canyon.","2","Entire guest suite","5","https://www.airbnb.com/rooms/47964437"
"Twin Falls, Idaho, United States","42.60275","-114.48694","King Bed Suite Steps to the Canyon Rim + EV plugin","4","Entire guest suite","5","https://www.airbnb.com/rooms/46602466"
"Jerome, Idaho, United States","42.63383","-114.50192","Beautiful golf course getaway property 3 room","4","Private room in home",,"https://www.airbnb.com/rooms/51802333"
"Twin Falls, Idaho, United States","42.59841","-114.49139","Immaculate comfortable guest room in private home.","4","Private room in home","4.5","https://www.airbnb.com/rooms/47044767"
"Twin Falls, Idaho, United States","42.54976","-114.46569","RV Glamper 🏔 Fully LOADED 😎 UNLIMITED MILES💨","9","Camper/RV","5","https://www.airbnb.com/rooms/51093170"
"Twin Falls, Idaho, United States","42.56281","-114.4641","Classic Bed and Breakfast | The Garden Room at the Fillmore Inn","2","Private room in home",,"https://www.airbnb.com/rooms/39269960"
"Twin Falls, Idaho, United States","42.56451","-114.4658","Classic Bed and Breakfast | The Cottage at the Fillmore Inn","2","Private room in home","5","https://www.airbnb.com/rooms/39250310"
"Twin Falls, Idaho, United States","42.58486","-114.50476","1087C TJ Rancher Kitchenette","8","Private room in townhouse",,"https://www.airbnb.com/rooms/45757735"
"Twin Falls, Idaho, United States","42.56367","-114.46377","Classic Bed and Breakfast | The Sleigh Room at the Fillmore Inn","2","Private room in home","5","https://www.airbnb.com/rooms/39270271"
"Jerome, Idaho, United States","42.63355","-114.5094","Golfers paradise on the Snake River Canyon","6","Entire home","4.5","https://www.airbnb.com/rooms/49099053"
"Twin Falls, Idaho, United States","42.56435","-114.46521","Classic Bed and Breakfast | The Silver Suite at the Fillmore Inn","2","Private room in home","5","https://www.airbnb.com/rooms/39251381"
"Kimberly, Idaho, United States","42.58332","-114.39737","Wonderful area.  In Twin Falls, Idaho","4","Private room in home","5","https://www.airbnb.com/rooms/20257055"
"Twin Falls, Idaho, United States","42.55235","-114.50123","Entire Chic Cottage near Downtown","9","Entire cottage","5","https://www.airbnb.com/rooms/37181465"
"Hagerman, Idaho, United States","42.758","-114.881","A little piece of Hagerman Heaven","12","Entire home","4.5","https://www.airbnb.com/rooms/33312099"
"Twin Falls, Idaho, United States","42.59618","-114.48357","CONVENIENTLY LOCATED IN  TWIN FALLS 4BD 2BA 3GA","10","Entire home","5","https://www.airbnb.com/rooms/52226653"
"Twin Falls, Idaho, United States","42.5573","-114.46304","Charming Cottage in Historical Downtown Twin Falls","6","Entire home","4.5","https://www.airbnb.com/rooms/45973911"
"Twin Falls, Idaho, United States","42.58242","-114.45883","3500 Sq Foot Condo Centrally Located in Twin Falls","12","Entire rental unit","5","https://www.airbnb.com/rooms/49063925"
"Hagerman, Idaho, United States","42.72433","-114.85104","Hagerman Hwy-30 River Access Kayak,Boating,Fishing","8","Entire home","5","https://www.airbnb.com/rooms/42643199"
"Twin Falls, Idaho, United States","42.57763","-114.44363","Townhouse With Gym Membership","6","Entire rental unit","5","https://www.airbnb.com/rooms/45505276"
"Twin Falls, Idaho, United States","42.6012","-114.48677","Charming 4BD Near Canyon Rim Trail on Snake River","16","Entire home","5","https://www.airbnb.com/rooms/51412993"
"Twin Falls, Idaho, United States","42.58322","-114.44455","Family Home w Master Suite | Jet Tub + Game Room","8","Entire home","5","https://www.airbnb.com/rooms/53354798"
"Kimberly, Idaho, United States","42.53862","-114.36863","Cozy Cottage House A with Carport","2","Entire cottage","5","https://www.airbnb.com/rooms/30965583"
"Twin Falls, Idaho, United States","42.55991","-114.44931","Clean, cozy townhome, central TF","6","Entire townhouse","4.5","https://www.airbnb.com/rooms/52319524"
"Twin Falls, Idaho, United States","42.58567","-114.50208","charming and spacious home with an oriental touch","6","Entire home","5","https://www.airbnb.com/rooms/43580419"
"Twin Falls, Idaho, United States","42.59181","-114.43845","Rim House","8","Entire home","5","https://www.airbnb.com/rooms/18934901"
"Kimberly, Idaho, United States","42.53984","-114.36888","Cozy Cottage House B with Double Carport","2","Entire cottage","5","https://www.airbnb.com/rooms/30966794"
"Twin Falls, Idaho, United States","42.55206","-114.46127","The Scottage","4","Entire home","5","https://www.airbnb.com/rooms/36766165"
"Twin Falls, Idaho, United States","42.54328","-114.46792","Chic & Inviting Home Located In Quiet Neighborhood","7","Entire home","5","https://www.airbnb.com/rooms/53232607"
"Twin Falls, Idaho, United States","42.58519","-114.50406","1085A TJ Rancher Full Kitchen","6","Entire townhouse","5","https://www.airbnb.com/rooms/45764600"
"Jerome, Idaho, United States","42.65429","-114.57797","Cozy 1000 Sq Ft Bonus Room with Private Entrance","6","Entire guest suite","5","https://www.airbnb.com/rooms/46852513"
"Buhl, Idaho, United States","42.5867","-114.75593","""Seas"" the Day!","2","Private room in home","5","https://www.airbnb.com/rooms/23463457"
"Twin Falls, Idaho, United States","42.56848","-114.49156","Martin Street Haven","6","Entire home","4.5","https://www.airbnb.com/rooms/51161257"
"Jerome, Idaho, United States","42.635","-114.506","Townhouse on 18th green, beautiful location,","6","Entire townhouse","5","https://www.airbnb.com/rooms/29536007"
