"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Lava Hot Springs, Idaho, United States","42.61842","-112.00974","Lava Hot Springs Studio w/Views - Walk to River","4","Entire loft","4.5","https://www.airbnb.com/rooms/29338586"
"Lava Hot Springs, Idaho, United States","42.61793","-112.00969","Lovely Lava Hot Springs Studio, Walk to Pools","8","Entire loft","4.5","https://www.airbnb.com/rooms/35794514"
"Lava Hot Springs, Idaho, United States","42.6178","-112.00887","Modern Lava Hot Springs Studio, Walk to Pools","8","Entire condo","4.5","https://www.airbnb.com/rooms/35793177"
"Lava Hot Springs, Idaho, United States","42.61874","-112.01908","King Creek Vacation Home West (New Build on Main)","15","Entire home","5","https://www.airbnb.com/rooms/50924241"
"Lava Hot Springs, Idaho, United States","42.61942","-112.00795","Central Lava Hot Springs Studio w/Deck & Views!","6","Entire loft","4.5","https://www.airbnb.com/rooms/29338590"
"Lava Hot Springs, Idaho, United States","42.619","-112.016","Plenty of room for everyone under one roof","16","Entire home","5","https://www.airbnb.com/rooms/40322904"
"Lava Hot Springs, Idaho, United States","42.61905","-111.99925","Historic Intentional community","8","Private room in cabin",,"https://www.airbnb.com/rooms/7498910"
"Lava Hot Springs, Idaho, United States","42.61979","-112.01695","“The Lava House”  in historic downtown Lava!","16","Entire home","5","https://www.airbnb.com/rooms/41842083"
"Lava Hot Springs, Idaho, United States","42.61768","-112.02995","Like New Basement Unit w/full Walk Out","10","Entire guest suite","5","https://www.airbnb.com/rooms/16124973"
"Lava Hot Springs, Idaho, United States","42.62024","-112.01708","Main Street Lava Hot Springs","6","Entire home","5","https://www.airbnb.com/rooms/36812091"
"Pocatello, Idaho, United States","42.87137","-112.43304","Beautiful home across from Holt arena","10","Entire home","4.5","https://www.airbnb.com/rooms/51491388"
"Bancroft, Idaho, United States","42.6478","-111.88893","Lava Hot Springs - School House Inn","16","Entire home","5","https://www.airbnb.com/rooms/38219184"
"Lava Hot Springs, Idaho, United States","42.61881","-112.0296","Dempsey Meadows Inn - Countryside Farmhouse","12","Entire home","5","https://www.airbnb.com/rooms/22187957"
"Lava Hot Springs, Idaho, United States","42.61771","-112.01406","Downtown Abbey Hot Tub Arcade Games","15","Entire home","5","https://www.airbnb.com/rooms/43667798"
"Pocatello, Idaho, United States","42.90429","-112.42985","♥♥O' Sweet Shasta♥","11","Entire home","5","https://www.airbnb.com/rooms/39563396"
"Lava Hot Springs, Idaho, United States","42.73665","-112.20515","Lava Family Inn","16","Entire home","4.5","https://www.airbnb.com/rooms/20624675"
"Lava Hot Springs, Idaho, United States","42.63101","-112.07198","Quinn Lodging","12","Entire cottage","5","https://www.airbnb.com/rooms/39702476"
"Lava Hot Springs, Idaho, United States","42.61998","-112.01768","King Creek Vacation Home East (New build on Main)","15","Entire home","5","https://www.airbnb.com/rooms/43470286"
"Inkom, Idaho, United States","42.7888","-112.17704","McMinn Inn","10","Entire cabin","5","https://www.airbnb.com/rooms/17710145"
"Lava Hot Springs, Idaho, United States","42.61771","-112.00978","Lava Hot Springs Studio 4-Min Walk to Pools!","8","Entire loft","4.5","https://www.airbnb.com/rooms/35794558"
"Lava Hot Springs, Idaho, United States","42.61833","-112.0093","Contemporary Studio, Walk to Lava Hot Springs","6","Entire loft","4.5","https://www.airbnb.com/rooms/35794306"
"Lava Hot Springs, Idaho, United States","42.61904","-112.00768","Lava Hot Springs Studio - Walk to Portneuf River!","4","Entire loft","4.5","https://www.airbnb.com/rooms/29338587"
"McCammon, Idaho, United States","42.61626","-112.1885","10 minutes from Lava! The Gathering Place","14","Entire home","5","https://www.airbnb.com/rooms/26396219"
"Lava Hot Springs, Idaho, United States","42.5974","-112.0432","Mountainside@Lava Hot Springs w/Tesla Charger 220V","16","Entire home","5","https://www.airbnb.com/rooms/52269891"
"Lava Hot Springs, Idaho, United States","42.61843","-112.01286","Adorable Lava Hot Springs Cottage","10","Entire cottage","5","https://www.airbnb.com/rooms/51091241"
"McCammon, Idaho, United States","42.65199","-112.19398","Newly Renovated 1930 Sage House; Sleeps 8","8","Entire home","5","https://www.airbnb.com/rooms/51143709"
"Inkom, Idaho, United States","42.78434","-112.18796","Pebble Creek Paradise","8","Entire rental unit","5","https://www.airbnb.com/rooms/20067618"
"Lava Hot Springs, Idaho, United States","42.65717","-112.0188","Moonlit Springs Cabin","6","Entire cabin","5","https://www.airbnb.com/rooms/51127596"
"Lava Hot Springs, Idaho, United States","42.6117","-112.02036","Phantoms Lair","2","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/21497585"
"Lava Hot Springs, Idaho, United States","42.61886","-112.0107","Getaway Cabin","15","Entire cabin","5","https://www.airbnb.com/rooms/34538832"
"Lava Hot Springs, Idaho, United States","42.61818","-112.01793","King Creek Vacation Lodge - Sleep 30 in town!","16","Entire home","5","https://www.airbnb.com/rooms/51681311"
"Lava Hot Springs, Idaho, United States","42.62472","-112.06604","Large Lodge, Lava Hot Springs 8 bedrooms sleeps 35","16","Entire cabin","4.5","https://www.airbnb.com/rooms/47411818"
"Lava Hot Springs, Idaho, United States","42.66013","-112.00672","Huge Lodge Lava Hot Springs 10 bedrooms sleeps 40+","16","Entire cabin","5","https://www.airbnb.com/rooms/45087125"
"Lava Hot Springs, Idaho, United States","42.61774","-112.0152","The Lava House in historic Downtown Lava","8","Entire home","5","https://www.airbnb.com/rooms/41887458"
"Lava Hot Springs, Idaho, United States","42.61675","-112.01487","The Red Roof Roost","4","Entire cabin",,"https://www.airbnb.com/rooms/26667764"
"Lava Hot Springs, Idaho, United States","42.60556","-112.01563","LAVA VIEW LODGE  Luxury Vacation Home for FAMILIES","16","Entire home","5","https://www.airbnb.com/rooms/21604453"
