"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Tel Aviv-Yafo, Tel Aviv District, Israel","32.07585","34.76653","Luxurious 90sqm 2BR Beach Front","4","Entire rental unit","4.5","https://www.airbnb.com/rooms/23226696"
"Reno, Nevada, United States","39.45058","-119.73284","Lux Mt. View 30min to Tahoe Sleep22 5Beds 3.5Bath","16","Entire home","5","https://www.airbnb.com/rooms/53836563"
"Arnisdale, Scotland, United Kingdom","57.12575","-5.55196","Sheena's But'n'Ben (UK33034)","6","Entire home","5","https://www.airbnb.com/rooms/49522619"
"Podstrana, Splitsko-dalmatinska županija, Croatia","43.48897","16.54435","*SEA MELODY* 100 m SEA, a million-dollar view!!!","11","Entire home","5","https://www.airbnb.com/rooms/52685380"
"Bethany Beach, Delaware, United States","38.52972","-75.07135","Beautiful beach home in  Sea Colony West","10","Entire townhouse","5","https://www.airbnb.com/rooms/34444766"
"North Sunderland, United Kingdom","55.57699","-1.67057","4 Brindles Manse","6","Entire home","5","https://www.airbnb.com/rooms/35185594"
"Emerald Beach, New South Wales, Australia","-30.1707","153.18753","Del Boca Vista","10","Entire home",,"https://www.airbnb.com/rooms/54058163"
"Captiva, Florida, United States","26.52766","-82.1915","2 1BR Villas, Pools, Waterslides, Free Parking!","8","Entire serviced apartment",,"https://www.airbnb.com/rooms/45992316"
"Paris, Île-de-France, France","48.86681","2.35849","Edgar Suites Marais - Nazareth","8","Entire rental unit","5","https://www.airbnb.com/rooms/41757253"
"Cowbeech, near Hailsham, United Kingdom","50.90552","0.30117","Cowbeech Farm Cottage (UKC2082)","4","Entire home","5","https://www.airbnb.com/rooms/30891011"
"Lahaina, Hawaii, United States","21.00143","-156.66184","Kapalua Bay Villa 32G2 By Aloha Vacation Villas","6","Entire rental unit",,"https://www.airbnb.com/rooms/44444378"
"Little Haven, Wales, United Kingdom","51.75619","-5.11206","Ocean House - UKC4297 (UKC4297)","8","Entire home",,"https://www.airbnb.com/rooms/42485431"
"Cagnes-sur-Mer, Provence-Alpes-Côte d'Azur, France","43.66944","7.15564","Family Villa & heated pool. Splendid view 180°","10","Entire villa","5","https://www.airbnb.com/rooms/18005248"
"Brighton and Hove, England, United Kingdom","50.82073","-0.13866","East Street Central","4","Entire rental unit","5","https://www.airbnb.com/rooms/51833702"
"Nerokouros, Greece","35.47656","24.03519","Luxury villa Panthea with private pool","10","Entire home","5","https://www.airbnb.com/rooms/26195456"
"Penally, United Kingdom","51.66534","-4.73579","Trefloyne Lodge","6","Entire home",,"https://www.airbnb.com/rooms/41763284"
"Peasmarsh, near Rye, United Kingdom","50.9669","0.71688","The Wagon Lodge (29071)","8","Entire home",,"https://www.airbnb.com/rooms/30910426"
"Nashville, Tennessee, United States","36.16194","-86.77821","Unique Downtown Loft With Amazing Views","6","Entire loft",,"https://www.airbnb.com/rooms/745052682127336800"
"Clavais, Friuli-Venezia Giulia, Italy","46.4993","12.87875","Amazing apartment in Ovaro with 3 Bedrooms and","8","Entire rental unit",,"https://www.airbnb.com/rooms/48221835"
"Washington, District of Columbia, United States","38.888","-76.999","Stunning new 1BR in Capitol Hill","4","Entire rental unit","5","https://www.airbnb.com/rooms/11553508"
"Queenstown, Otago, New Zealand","-45.03169","168.67127","World Class Views","14","Entire home","5","https://www.airbnb.com/rooms/39338205"
"London, England, United Kingdom","51.50905","-0.12482","★ Covent Garden - Spacious Apartment ★","4","Entire rental unit",,"https://www.airbnb.com/rooms/16723264"
"Hay-on-Wye, Wales, United Kingdom","52.07065","-3.13141","Court House (30756)","8","Entire home","5","https://www.airbnb.com/rooms/36656460"
"Emerald Beach, New South Wales, Australia","-30.17242","153.18773","Emerald Seas Beach House","8","Entire home","3.5","https://www.airbnb.com/rooms/53833645"
"Whitby, United Kingdom","54.48935","-0.61253","Honeyz Hideaway (UK2231)","4","Entire home","5","https://www.airbnb.com/rooms/30922313"
"Wembury, United Kingdom","50.32892","-4.09131","Langdon Barton Cottage (15482)","6","Entire home",,"https://www.airbnb.com/rooms/29371424"
"Puerto del Carmen, Canarias, Spain","28.9214","-13.64555","Modern villa with pool and close to amenties","6","Entire villa",,"https://www.airbnb.com/rooms/35622613"
"Cornwall, England, United Kingdom","50.41114","-5.09454","Luxury Family Sea Side Retreat - Sea Spray House","7","Entire home","5","https://www.airbnb.com/rooms/31708312"
"Dennis, Massachusetts, United States","41.65707","-70.12066","400 feet to the Beach - Ocean.","6","Entire home","5","https://www.airbnb.com/rooms/19141722"
"Bedfield, England, United Kingdom","52.04558","0.62126","2 Mill Farm","5","Entire home",,"https://www.airbnb.com/rooms/50059871"
"Waimanalo, Hawaii, United States","21.33784","-157.69958","Great Price Huge 3500sf Gated House steps to Beach","12","Entire home",,"https://www.airbnb.com/rooms/50732062"
"Zürich, Switzerland","47.37247","8.52614","Downtown Exclusive 2-BR Apartment with Terrace","5","Entire rental unit","5","https://www.airbnb.com/rooms/35512110"
"London, England, United Kingdom","51.5194","-0.13562","Oxford Circus Penthouse  w/ Roof Garden","4","Entire rental unit","5","https://www.airbnb.com/rooms/18054769"
"Kill Devil Hills, North Carolina, United States","36.04322","-75.68547","Blue Heaven OBX-2 Master BRs and Bonus Game Room!","8","Entire home","5","https://www.airbnb.com/rooms/47721518"
"Nasugbu, Calabarzon, Philippines","14.11757","120.61274","Maya Maya Whitehouse","16","Entire bungalow","5","https://www.airbnb.com/rooms/26818045"
"Whitby, United Kingdom","54.48714","-0.61591","Midships Cottage","4","Entire home",,"https://www.airbnb.com/rooms/23268028"
"Springfield, Ohio, United States","39.92343","-83.71967","Emma's Bed and Breakfast","14","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/20124428"
"Camaiore, Tuscany, Italy","43.93213","10.32734","Villa Raffaela - Luxury Villa with swimming pool in Camaiore, Versilia Coast","8","Entire villa","5","https://www.airbnb.com/rooms/17744935"
"Pau, Nouvelle-Aquitaine, France","43.2983","-0.37499","Bel appartement centre ville","2","Entire rental unit","5","https://www.airbnb.com/rooms/21395765"
"Cornwall, England, United Kingdom","50.33456","-5.16202","Little Foxes (UK11767)","2","Entire home","5","https://www.airbnb.com/rooms/40932480"
"Telluride, Colorado, United States","37.93817","-107.81773","Pacific Street Townhome 522A","6","Entire townhouse","4.5","https://www.airbnb.com/rooms/25668958"
"Golden, Colorado, United States","39.75597","-105.22382","The Golden Guest House — Downtown Golden","10","Entire home","5","https://www.airbnb.com/rooms/20802046"
"Virginia Beach, Virginia, United States","36.84696","-75.97953","Upscale ViBe 3 Blocks 2 Beach walk to everything!","6","Entire townhouse","5","https://www.airbnb.com/rooms/46037201"
"Todi, Umbria, Italy","42.75836","12.43825","RUSTIC VILLA WITH LARGE SWIMMING POOL","12","Entire home","4.5","https://www.airbnb.com/rooms/28216794"
"Gilbert, Arizona, United States","33.37093","-111.83807","Lovely one bedroom unit with all amenities","2","Entire serviced apartment",,"https://www.airbnb.com/rooms/746665430493387600"
"Nashville, Tennessee, United States","36.164","-86.781","Modern Spacious at Woolworth on Ave of the Arts 31","8","Entire rental unit","5","https://www.airbnb.com/rooms/38575266"
"Big Bear Lake, California, United States","34.23984","-116.91971","⛰Mountain Lodge & Retreat Center for Large Groups","14","Entire cabin","4.5","https://www.airbnb.com/rooms/39443908"
"Avignon, Provence-Alpes-Côte d'Azur, France","43.963","4.817","Provence, Avignon, belle maison - piscine chauffée","9","Entire home","5","https://www.airbnb.com/rooms/31398313"
"San Diego, California, United States","32.76","-117.25","Million $ View 4BR3BA 2075sf last min discount","12","Entire condo","4.5","https://www.airbnb.com/rooms/11360746"
"Skenfrith, Wales, United Kingdom","51.88639","-2.79541","Malt House (UK31050)","8","Entire home","5","https://www.airbnb.com/rooms/44098945"
"Kidderminster, United Kingdom","52.35658","-2.22962","The Hayloft (30766)","5","Entire home","5","https://www.airbnb.com/rooms/30865617"
"Nouzilly, Centre-Val de Loire, France","47.54348","0.7477","Chateau Gué Chapelle","16","Castle","5","https://www.airbnb.com/rooms/12362477"
"Bath, England, United Kingdom","51.381","-2.359","The Maisonette Abbey Green","12","Entire rental unit","5","https://www.airbnb.com/rooms/15024408"
"Costa Paradiso, Sardegna, Italy","41.06072","8.9665","Sporting Residence","4","Entire rental unit","4","https://www.airbnb.com/rooms/18243639"
"Staffordshire, England, United Kingdom","52.681","-1.688","Farm House Dunnimere-up to 20 Hot Tub Available","16","Farm stay","5","https://www.airbnb.com/rooms/20547161"
"Davenport, Florida, United States","28.31707","-81.65894","2191 LC - Windsor Island","16","Entire home",,"https://www.airbnb.com/rooms/53606124"
"Sainte Maxime, Provence-Alpes-Côte d'Azur, France","43.33277","6.65081","belle villa/ piscine/ Mini golf/ terrain de boules","8","Entire villa","4.5","https://www.airbnb.com/rooms/11411803"
"New York, United States","40.734","-73.99609","Greenwich Village Perfection","4","Entire rental unit",,"https://www.airbnb.com/rooms/45630787"
"Brockford, near Stowmarket, United Kingdom","52.2474","1.10966","Railway Carriage Two - E5601 (E5601)","6","Entire home",,"https://www.airbnb.com/rooms/30919477"
"Lee-on-the-Solent, near Portsmouth, England, United Kingdom","50.80329","-1.20722","Seaways (UK11416)","6","Entire home","5","https://www.airbnb.com/rooms/37399407"
"North Kuta, Bali, Indonesia","-8.67","115.166","8BR Villa Mason - Minggu Villas","16","Entire villa","4.5","https://www.airbnb.com/rooms/30006054"
