"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Sandpoint, Idaho, United States","48.36293","-116.62738","Schweitzer Mountain Ski in/Ski out condo","6","Entire condo","5","https://www.airbnb.com/rooms/46299059"
"Sandpoint, Idaho, United States","48.36","-116.618","Schweitzer Mountain Getaway","8","Entire townhouse","5","https://www.airbnb.com/rooms/52008321"
"Sandpoint, Idaho, United States","48.36472","-116.62445","Ski-in/ski-out Schweitzer Mountain home w/ private hot tub - walk to lifts!","11","Entire home","5","https://www.airbnb.com/rooms/36667492"
"Sandpoint, Idaho, United States","48.36209","-116.62057","Die Schmetterling Condo on the Mountain","4","Entire condo","5","https://www.airbnb.com/rooms/44260514"
"Sandpoint, Idaho, United States","48.32656","-116.55925","Studio @ the base of Schweitzer; Jacuzzi","2","Entire guest suite","5","https://www.airbnb.com/rooms/3664523"
"Ponderay, Idaho, United States","48.31","-116.547","Cozy basic studio apt pet friendly","2","Entire rental unit","5","https://www.airbnb.com/rooms/21266124"
"Sandpoint, Idaho, United States","48.367","-116.465","Comfortable small queen size bedroom","2","Private room in home","5","https://www.airbnb.com/rooms/20943047"
"Sandpoint, Idaho, United States","48.26917","-116.55588","South Sandpoint Studio Stay","2","Entire guest suite","5","https://www.airbnb.com/rooms/35534353"
"Sandpoint, Idaho, United States","48.36698","-116.62157","Schweitzer Mountain ski-in/ski-out townhome w/ private hot tub & lake view!","12","Entire home","5","https://www.airbnb.com/rooms/36667502"
"Sagle, Idaho, United States","48.23685","-116.57512","Lakeshore Drive 2537 ~ FLAT Waterfront family home with dock, yard, fire pit, boat lift & more!","12","Entire home",,"https://www.airbnb.com/rooms/34473594"
"Sandpoint, Idaho, United States","48.3639","-116.62089","Ski in/ski out Bungalow","6","Entire chalet","5","https://www.airbnb.com/rooms/8252670"
"Sandpoint, Idaho, United States","48.30376","-116.511","Lovely Home w/Private Dry Sauna, Fireplace, Free WiFi - Close to Skiing","6","Entire home","5","https://www.airbnb.com/rooms/42139559"
"Sagle, Idaho, United States","48.23691","-116.57508","Lakeshore Drive 2489: Cozy Cabin, Waterfront Destination.  Perfect for families & friends","11","Entire home","4.5","https://www.airbnb.com/rooms/38489267"
"Sandpoint, Idaho, United States","48.29248","-116.62754","Family-friendly lake home with sunroom/private deck/hot tub + Netflix/free WiFi!","10","Entire home","5","https://www.airbnb.com/rooms/45687606"
"Sandpoint, Idaho, United States","48.27202","-116.54784","Marina Beach Downtown-Sandpoint!","2","Entire condo","5","https://www.airbnb.com/rooms/38750229"
"Sagle, Idaho, United States","48.21972","-116.53518","Exclusive Modern Style Lake Front Property","14","Entire home","5","https://www.airbnb.com/rooms/31695876"
"Dover, Idaho, United States","48.24773","-116.61371","27 R&R Bungalow","8","Entire bungalow","5","https://www.airbnb.com/rooms/48733848"
"Sandpoint, Idaho, United States","48.30597","-116.51451","4 bed/2.5 bath Family Home, close to Downtown Sandpoint and Schweitzer Mountain","8","Entire home","5","https://www.airbnb.com/rooms/53515817"
"Sagle, Idaho, United States","48.26638","-116.51","Sandpoint Waterfront Getaway on Lake Pend Oreille!","16","Entire home","5","https://www.airbnb.com/rooms/45483192"
"Sandpoint, Idaho, United States","48.26808","-116.54566","Waterfront condo w/ complimentary boat slip, shared pool, & sports courts!","6","Entire condo","4","https://www.airbnb.com/rooms/33425329"
