"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Flint, Michigan, United States","42.98331","-83.69917","NICE Home Close To Downtown Flint","5","Entire home",,"https://www.airbnb.com/rooms/53704135"
"Flint, Michigan, United States","42.98009","-83.76307","Robinson Mansion","4","Private room in home",,"https://www.airbnb.com/rooms/36851931"
"Flint, Michigan, United States","43.00403","-83.70634","Arabian Nights Room","2","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/12151443"
"Linwood, Michigan, United States","43.73989","-83.96087","Walleye Lodge","5","Entire cabin",,"https://www.airbnb.com/rooms/49654814"
"Bay City, Michigan, United States","43.59919","-83.88207","Miss Yunji Room - The Historic Webster House","2","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/22261950"
"Bay City, Michigan, United States","43.59727","-83.88213","Signature Room - The Historic Webster House","2","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/22260372"
"Bay City, Michigan, United States","43.59753","-83.88156","Magistrate Room - The Historic Webster House","2","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/2279008"
"Bay City, Michigan, United States","43.691","-83.923","The UpSiDe DoWn PaRRoT~LakeHuron  ~KillarneyBeach🏝","6","Entire guest suite","5","https://www.airbnb.com/rooms/44523365"
"Beaverton, Michigan, United States","43.83241","-84.39148","Spacious retreat with indoor hot tub-Sleeps 8","8","Entire home",,"https://www.airbnb.com/rooms/52244243"
"Bay City, Michigan, United States","43.59837","-83.87452","Unique Historic Carriage House","4","Entire home","5","https://www.airbnb.com/rooms/46734276"
"Linwood, Michigan, United States","43.74873","-83.95357","Enjoy a panoramic over the bay","6","Entire home","5","https://www.airbnb.com/rooms/53887997"
"Linwood, Michigan, United States","43.73783","-83.94756","Walleye  Capitol of Michigan at the Saginaw Bay","10","Entire home","5","https://www.airbnb.com/rooms/43915942"
"Birch Run, Michigan, United States","43.29378","-83.73547","Perfect Country Getaway for Visiting Frankenmuth","6","Entire home","5","https://www.airbnb.com/rooms/53444625"
"Frankenmuth, Michigan, United States","43.32268","-83.74054","50's Vibe, Modern Conveniences, Downtown F'muth","11","Entire home","5","https://www.airbnb.com/rooms/22763267"
"Bay City, Michigan, United States","43.602","-83.9","Great Location in the heart of Bay City.","4","Entire guesthouse","5","https://www.airbnb.com/rooms/37271976"
"Midland, Michigan, United States","43.58333","-84.25543","The Creek Home","6","Entire home","5","https://www.airbnb.com/rooms/53074960"
"Bay City, Michigan, United States","43.59889","-83.88019","Judge's Chambers - The Historic Webster House","2","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/8161458"
"Frankenmuth, Michigan, United States","43.329","-83.739","Charming Downtown Apt. w/3+day discount.","5","Entire rental unit","5","https://www.airbnb.com/rooms/35000956"
"Frankenmuth, Michigan, United States","43.33197","-83.74728","Private Bed & Breakfast with Personal Chef","6","Entire home","5","https://www.airbnb.com/rooms/50380032"
"Kawkawlin, Michigan, United States","43.70949","-83.93615","Brissette Beach Getaway","5","Entire cottage","5","https://www.airbnb.com/rooms/19304208"
"Flint, Michigan, United States","43.00395","-83.70603","Three-Bedroom Friends/Family Suite","6","Private room in bed and breakfast","4.5","https://www.airbnb.com/rooms/12175523"
"Frankenmuth, Michigan, United States","43.323","-83.741","Downtown Coffee House Apartment & Balcony","6","Entire rental unit","5","https://www.airbnb.com/rooms/44262135"
