"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Richmond, Minnesota, United States","45.4272","-94.51694","Serenity Shores - Beautiful 3 Bed/2Ba Home","8","Entire home","5","https://www.airbnb.com/rooms/30082345"
"Watertown, Minnesota, United States","44.98371","-93.84767","Private country home with pool & sauna. Sleeps 18.","16","Entire home","5","https://www.airbnb.com/rooms/54227821"
"Richmond, Minnesota, United States","45.428","-94.516","Pine Valley - Beautiful 4 Bed/2 Ba lake side home","8","Entire home","5","https://www.airbnb.com/rooms/47465181"
"Dassel, Minnesota, United States","45.14855","-94.27032","Sunset Vacation Rental","14","Entire home","5","https://www.airbnb.com/rooms/43412724"
"Avon, Minnesota, United States","45.65622","-94.50886","Red Oak Cottage on Pine Lake. 200' shore. ALL year","8","Entire cottage","5","https://www.airbnb.com/rooms/45520963"
"Annandale, Minnesota, United States","45.253","-94.184","Sylvia Cedars Home Rental","12","Entire cabin","5","https://www.airbnb.com/rooms/48003417"
"Clear Lake, Minnesota, United States","45.50071","-93.94166","Beautiful Lake Home - Up North Look w/Upscale feel","14","Entire cabin","5","https://www.airbnb.com/rooms/34592277"
"Annandale, Minnesota, United States","45.25742","-94.20196","Docs on Lake Sylvia","12","Entire cabin","5","https://www.airbnb.com/rooms/37212833"
"South Haven, Minnesota, United States","45.26108","-94.22265","Little Bear Cabin Rental","9","Entire cabin",,"https://www.airbnb.com/rooms/54391119"
"Annandale, Minnesota, United States","45.23402","-94.16856","Historic Century Old Farmhouse","2","Farm stay","5","https://www.airbnb.com/rooms/8613638"
"Richmond, Minnesota, United States","45.38513","-94.52428","Super Spacious Lakehome on 4 Acres","10","Entire home","5","https://www.airbnb.com/rooms/47492531"
"Annandale, Minnesota, United States","45.19085","-94.11198","Comfy 3 + Bedroom Family Lakehome","10","Entire cabin","5","https://www.airbnb.com/rooms/54393018"
"Annandale, Minnesota, United States","45.25554","-94.20162","Lake Sylvia Peninsula Paradise, 17’ Water Clarity","10","Entire cabin","5","https://www.airbnb.com/rooms/43498575"
"Annandale, Minnesota, United States","45.32595","-94.1145","Beautiful sunset. Maple hills condo owners","6","Entire cabin","4.5","https://www.airbnb.com/rooms/48886013"
"Dassel, Minnesota, United States","45.1515","-94.2767","Family Fun! Game Room~Fishing~Swimming~Near Winery","16","Entire home","5","https://www.airbnb.com/rooms/20960356"
"Dassel, Minnesota, United States","45.14423","-94.27279","Swan Lake Shores! Relax & Enjoy the View!","10","Entire cabin","5","https://www.airbnb.com/rooms/51473104"
"Annandale, Minnesota, United States","45.2171","-94.21112","LIGHT HOUSE POINT ON LAKE SYLVIA","12","Entire cabin","5","https://www.airbnb.com/rooms/48004594"
"Richmond, Minnesota, United States","45.43468","-94.53055","Horseshoe Hideout","7","Entire home","5","https://www.airbnb.com/rooms/34929610"
"South Haven, Minnesota, United States","45.32825","-94.11569","Lakefront Cabin, Paddle board & Kayak with a view","8","Entire cabin","5","https://www.airbnb.com/rooms/24778282"
"Litchfield, Minnesota, United States","45.15505","-94.42329","MINNESTAY* Lakefront Hideaway ★ Serene & Quiet Lakefront Cabin ★ Grill, Patio, Dock","6","Entire cabin","5","https://www.airbnb.com/rooms/25131003"
"Annandale, Minnesota, United States","45.31027","-94.12229","Bluebird Cottage on Clearwater Lake","7","Entire cottage","5","https://www.airbnb.com/rooms/47730826"
"Kimball, Minnesota, United States","45.39546","-94.32042","The Untamed Paradise lake house.","8","Entire home","5","https://www.airbnb.com/rooms/39576132"
"Annandale, Minnesota, United States","45.26598","-94.17069","The Tree House","10","Entire cabin","5","https://www.airbnb.com/rooms/43686887"
