"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Gallatin Gateway, Montana, United States","45.28946","-111.40567","Big Sky Vacation Rentals: PR Red Cloud 10","8","Entire cabin",,"https://www.airbnb.com/rooms/51865592"
"Bozeman, Montana, United States","45.67606","-111.03274","Lindley Place Cottage","8","Entire home","5","https://www.airbnb.com/rooms/37658979"
"Bozeman, Montana, United States","45.67977","-111.09713","Prof. Decorated 3BR Townhouse & Optional Explorer","6","Entire townhouse","5","https://www.airbnb.com/rooms/48700264"
"Bozeman, Montana, United States","45.6799","-111.07844","The Westside Nest - Cozy & Convenient!","6","Entire townhouse","5","https://www.airbnb.com/rooms/33094078"
"Bozeman, Montana, United States","45.64745","-111.04026","Spacious 4 bedroom entertainer’s home with VIEWS!","6","Entire home","5","https://www.airbnb.com/rooms/52517800"
"Bozeman, Montana, United States","45.68285","-111.03126","Quilt Cottage","7","Entire home","5","https://www.airbnb.com/rooms/22733838"
"Bozeman, Montana, United States","45.67344","-111.03134","Walking distance to everything downtown!","8","Entire home","5","https://www.airbnb.com/rooms/51045978"
"Bozeman, Montana, United States","45.70654","-111.0227","Bozeman Getaway in Ideal Location","6","Entire townhouse","5","https://www.airbnb.com/rooms/7855037"
"Bozeman, Montana, United States","45.67677","-111.06252","Lovely 3 Bedroom Condo Near MSU and Downtown #C","6","Entire condo","5","https://www.airbnb.com/rooms/53631171"
"Bozeman, Montana, United States","45.68696","-111.10682","Brookside Vacation Rental 2 Bedroom","4","Entire rental unit","4.5","https://www.airbnb.com/rooms/23250296"
"Bozeman, Montana, United States","45.6777","-111.04707","Ollie's House","6","Entire bungalow","5","https://www.airbnb.com/rooms/23689274"
"Bozeman, Montana, United States","45.69066","-111.10471","MEADOWLARK GUESTHOUSE - Live under the Big Sky","6","Entire townhouse","5","https://www.airbnb.com/rooms/40032243"
"Bozeman, Montana, United States","45.68884","-111.11367","Western Magic - 3 Bedroom + Office Bozeman Condo","6","Entire condo","5","https://www.airbnb.com/rooms/52225142"
"Bozeman, Montana, United States","45.67808","-111.02338","Downtown Bozeman home w/gorgeous mountain views, close to MSU - Main Street Retreat","4","Entire condo","4.5","https://www.airbnb.com/rooms/33241999"
"Bozeman, Montana, United States","45.6899","-111.05682","Central Bozeman location! Kids & pets welcom","8","Entire home","5","https://www.airbnb.com/rooms/16504338"
