"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Drummond, Montana, United States","46.62292","-113.21271","Spacious Ranch House","12","Farm stay","5","https://www.airbnb.com/rooms/43833942"
"Anaconda, Montana, United States","46.18965","-113.32158","Slim's Hideaway","7","Entire cabin","5","https://www.airbnb.com/rooms/47704271"
"Anaconda, Montana, United States","46.15807","-113.31311","Forest Lake Cabin","8","Entire cabin","5","https://www.airbnb.com/rooms/54024123"
"Philipsburg, Montana, United States","46.33423","-113.29409","Philipsburg Cottage","8","Entire home","5","https://www.airbnb.com/rooms/17826141"
"Anaconda, Montana, United States","46.17","-113.287","Custom Log Lakehouse @ Georgetown Lake","6","Entire home","5","https://www.airbnb.com/rooms/47181896"
"Philipsburg, Montana, United States","46.33046","-113.29348","Opera House Loft","7","Entire condo","5","https://www.airbnb.com/rooms/49750150"
"Philipsburg, Montana, United States","46.189","-113.328","Georgetown Lake home with hot tub, sauna, & views!","8","Entire home","5","https://www.airbnb.com/rooms/52731380"
"Philipsburg, Montana, United States","46.33272","-113.29677","Exquisite Discovery Mtn Home w/ Sweeping Views!","10","Entire home","5","https://www.airbnb.com/rooms/50045614"
"Anaconda, Montana, United States","46.17","-113.288","Lovely Cabin at Georgetown Lake","8","Entire cabin","5","https://www.airbnb.com/rooms/51347664"
"Hall, Montana, United States","46.58619","-113.19775","Private Guest Ranch with breathtaking views","12","Entire home","5","https://www.airbnb.com/rooms/48824241"
"Anaconda, Montana, United States","46.16389","-113.31102","Montana A-Frame","6","Entire home","5","https://www.airbnb.com/rooms/29417482"
"Anaconda, Montana, United States","46.11138","-112.82857","Spacious and Relaxing Golfcourse Getaway","8","Entire home","5","https://www.airbnb.com/rooms/50570499"
"Anaconda, Montana, United States","46.198","-113.253","Cable Mountain Cabin @ Georgetown Lake, Montana","9","Entire cabin","5","https://www.airbnb.com/rooms/53682039"
"Anaconda, Montana, United States","46.17198","-113.28855","New Townhome at GTL! Steps from Dentons Point","8","Entire townhouse","5","https://www.airbnb.com/rooms/48501494"
"Anaconda, Montana, United States","46.1988","-113.28307","Pintler View Cabin With Boat Dock!","9","Entire cabin","5","https://www.airbnb.com/rooms/44404363"
"Philipsburg, Montana, United States","46.36597","-113.63264","Rock Creek Cabin Hideaway with Stunning Views!","8","Entire cabin","5","https://www.airbnb.com/rooms/51923351"
"Anaconda, Montana, United States","46.1712","-113.28819","Georgetown Lake House.","8","Entire home","4.5","https://www.airbnb.com/rooms/49289567"
"Anaconda, Montana, United States","46.17057","-113.28655","Lake Retreat For Your All Season Outdoor Adventure","8","Entire townhouse","5","https://www.airbnb.com/rooms/45224488"
"Anaconda, Montana, United States","46.17842","-113.25397","Georgetown/Anaconda home two minutes to lake","4","Entire home","5","https://www.airbnb.com/rooms/51027544"
"Anaconda, Montana, United States","46.18785","-113.33148","Georgetown Lake Escape  With Starlink","8","Entire cabin","5","https://www.airbnb.com/rooms/54057135"
"Philipsburg, Montana, United States","46.34871","-113.60427","Stony Creek Lodge, Famous Rock Cr, MT, 4 seasons!","6","Entire cabin","5","https://www.airbnb.com/rooms/43677922"
"Anaconda, Montana, United States","46.16171","-113.31158","Discovery View with Endless Recreational Options","10","Entire home","5","https://www.airbnb.com/rooms/46261206"
"Anaconda, Montana, United States","46.191","-113.317","Pintler Mountain Lake Retreat","8","Entire home","5","https://www.airbnb.com/rooms/35159805"
"Anaconda, Montana, United States","46.19193","-113.32361","Quiet Georgetown Lake home with breathtaking views","11","Entire home","5","https://www.airbnb.com/rooms/39489039"
"Anaconda, Montana, United States","46.16924","-113.28953","Georgetown Lake Hilltop Retreat with Hot Tub","6","Entire home","5","https://www.airbnb.com/rooms/32803615"
"Anaconda, Montana, United States","46.17785","-113.25174","Georgetown Four Seasons","12","Entire home","5","https://www.airbnb.com/rooms/49078427"
"Anaconda, Montana, United States","46.12936","-112.94988","Hickory House Inn","16","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/9564940"
"Anaconda, Montana, United States","46.12915","-112.95644","Holidays!Reunions!Parties! Sleeps 38! Great space!","16","Shared room in hostel",,"https://www.airbnb.com/rooms/52668704"
"Anaconda, Montana, United States","46.18858","-113.32682","Mountain Getaway with a View","16","Entire cabin","5","https://www.airbnb.com/rooms/24352044"
"Wise River, Montana, United States","45.80782","-112.89654","Mountain Slice of Paradise near The Big Hole River","13","Entire chalet","5","https://www.airbnb.com/rooms/12346193"
"Anaconda, Montana, United States","46.20229","-113.284","Private dock/shoreline at georgetown lake home","9","Entire home","5","https://www.airbnb.com/rooms/25517974"
"Philipsburg, Montana, United States","46.34081","-113.51483","Elk View Homestead","12","Entire home","5","https://www.airbnb.com/rooms/45345991"
"Anaconda, Montana, United States","46.192","-113.317","Spacious Log Cabin Hideaway With Stunning Views.","10","Entire cabin","5","https://www.airbnb.com/rooms/6819478"
"Anaconda, Montana, United States","46.21357","-113.27789","New modern lakefront cabin with stunning views!","13","Entire cabin","5","https://www.airbnb.com/rooms/29743035"
