"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Heber Springs, Arkansas, United States","35.49399","-91.96847","Red River Daze","10","Entire home","5","https://www.airbnb.com/rooms/46351995"
"Tumbling Shoals, Arkansas, United States","35.54079","-92.00804","Beautiful Greers Ferry Lakefront Property","10","Entire home","4.5","https://www.airbnb.com/rooms/25576675"
"Heber Springs, Arkansas, United States","35.50783","-92.09975","Fabulous Family Lake House on Eden Isle","9","Entire home","5","https://www.airbnb.com/rooms/25859651"
"Heber Springs, Arkansas, United States","35.4943","-92.0669","Large Lakefront Home in Heber Springs with Pool, p","14","Entire home","5","https://www.airbnb.com/rooms/51375224"
"Heber Springs, Arkansas, United States","35.49831","-92.10884","Eden Isle Getaway- 4 Bedrooms","8","Entire home","5","https://www.airbnb.com/rooms/21187357"
"Heber Springs, Arkansas, United States","35.51874","-91.95842","Luxury home, fishing resort with fire pit, coffee","14","Entire home","5","https://www.airbnb.com/rooms/33249516"
"Edgemont, Arkansas, United States","35.61481","-92.11185","Wonderful lake house with amazing views","16","Entire cabin","5","https://www.airbnb.com/rooms/20362834"
"Pangburn, Arkansas, United States","35.46139","-91.80645","Red River Hideaway, Best known for Trout Fishin","8","Entire home",,"https://www.airbnb.com/rooms/53364237"
"Heber Springs, Arkansas, United States","35.45737","-91.95772","Wildflower Homeplace on the River","16","Entire home","4.5","https://www.airbnb.com/rooms/40986004"
"Heber Springs, Arkansas, United States","35.44346","-92.03062","Lakefront Family Escape w/ Fire Pit & 2 Decks!","15","Entire home","5","https://www.airbnb.com/rooms/51959805"
"Heber Springs, Arkansas, United States","35.49653","-91.94744","The Little Red's most Luxurious Riverfront Home","14","Entire chalet","5","https://www.airbnb.com/rooms/37555913"
"Heber Springs, Arkansas, United States","35.49487","-92.10523","3 bedroom 2 bath condo-Eden Isle","6","Entire home","5","https://www.airbnb.com/rooms/44245364"
"Quitman, Arkansas, United States","35.41608","-92.09842","Beautiful 2 bedroom cottage on 18 acre lake","8","Farm stay","5","https://www.airbnb.com/rooms/51216340"
"Greers Ferry, Arkansas, United States","35.61677","-92.07676","Frontier Canyon Lake House on Greers Ferry","13","Entire cabin","4.5","https://www.airbnb.com/rooms/47322174"
"Heber Springs, Arkansas, United States","35.46197","-91.95741","Little Red River Retreat, LLC","6","Entire home","5","https://www.airbnb.com/rooms/17532350"
"Heber Springs, Arkansas, United States","35.50772","-91.93009","Didrikesn's Red-River-Run","8","Entire home","5","https://www.airbnb.com/rooms/35970603"
"Heber Springs, Arkansas, United States","35.47792","-92.00915","Round Mountain Cabin Getaway","12","Entire cabin","5","https://www.airbnb.com/rooms/48999605"
"Drasco, Arkansas, United States","35.54958","-92.04084","Seven Sisters Lakefront house","10","Entire home","5","https://www.airbnb.com/rooms/34981750"
"Heber Springs, Arkansas, United States","35.51073","-92.10047","The Retreat at Eden Isle","10","Entire cottage","5","https://www.airbnb.com/rooms/23763306"
"Heber Springs, Arkansas, United States","35.49149","-91.97467","NEW! Vibrant ‘Hydrangea House’ w/ Access to River!","8","Entire cabin","5","https://www.airbnb.com/rooms/52419781"
"Heber Springs, Arkansas, United States","35.50038","-91.93814","Angler's River Cabin & Guest House w/ Private Dock on Little Red River","6","Entire cabin","5","https://www.airbnb.com/rooms/52510578"
"Sugar Loaf Township, Arkansas, United States","35.468","-91.955","Fall in the ozarks, fishing, hiking, relaxing","10","Entire home","5","https://www.airbnb.com/rooms/47917759"
"Heber Springs, Arkansas, United States","35.48823","-91.97508","Flyfishinn","4","Entire bungalow","5","https://www.airbnb.com/rooms/27492554"
"Batesville, Arkansas, United States","35.66871","-91.612","Peaceful 2 Bedroom cottage w/garage. On 5 acres","4","Entire cottage","5","https://www.airbnb.com/rooms/50869591"
