"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"New York, United States","40.78907","-73.9688","2000 sqf  Duplex in Townhouse","7","Entire rental unit","5","https://www.airbnb.com/rooms/1776732"
"Devon, England, United Kingdom","50.7445","-3.07728","Gittishayne Farm Barn (BCGITTIS)","8","Entire home",,"https://www.airbnb.com/rooms/48070796"
"Masham, North Yorkshire, United Kingdom","54.23176","-1.66121","Old Fever Hospital, near Masham","12","Entire home","5","https://www.airbnb.com/rooms/2429443"
"Salles, Nouvelle-Aquitaine, France","44.51788","-0.89474","Large family house+wooden chalet and swimming-pool","12","Entire home","5","https://www.airbnb.com/rooms/18783206"
"Nashville, Tennessee, United States","36.16446","-86.78001","Spacious Getaway at Woolworth On Ave Of The Arts 21","8","Entire rental unit","5","https://www.airbnb.com/rooms/48764833"
"Burleigh Heads, Queensland, Australia","-28.09356","153.44452","Burleigh Heads house with pool - walk to the beach","6","Entire home","5","https://www.airbnb.com/rooms/20679821"
"Reno, Nevada, United States","39.45058","-119.73284","Lux Mt. View 30min to Tahoe Sleep22 5Beds 3.5Bath","16","Entire home","5","https://www.airbnb.com/rooms/53836563"
"Amroth, near Saundersfoot, United Kingdom","51.73297","-4.65943","Mole End (UK6471)","4","Entire home","4.5","https://www.airbnb.com/rooms/31060246"
"Norfolk, England, United Kingdom","52.90622","1.09155","Peacock Cottage","4","Entire home","4.5","https://www.airbnb.com/rooms/52685998"
"Waimanalo, Hawaii, United States","21.33784","-157.69958","Great Price Huge 3500sf Gated House steps to Beach","12","Entire home",,"https://www.airbnb.com/rooms/50732062"
"Palm Cove, Queensland, Australia","-16.74259","145.67144","6412 Beach Club Palm Cove - 3B Direct Pool Access","6","Entire rental unit",,"https://www.airbnb.com/rooms/51753823"
"Dorset, England, United Kingdom","50.68421","-2.11369","Coach House (DQC)","6","Entire home",,"https://www.airbnb.com/rooms/49525540"
"Rainton, England, United Kingdom","54.17012","-1.43686","The Old Post Office (UK34496)","6","Entire home","5","https://www.airbnb.com/rooms/51568876"
"San Francisco, California, United States","37.76799","-122.44947","Art-filled Victorian Flat w/French Chef’s Kitchen","6","Entire rental unit","5","https://www.airbnb.com/rooms/23714398"
"Paris, Île-de-France, France","48.87441","2.3245","Sublime and new apartment Haussmann Opera","12","Entire rental unit","4.5","https://www.airbnb.com/rooms/39575089"
"Laax, Graubünden, Switzerland","46.82274","9.26412","Edelweiss Ferienwohnung, Casa Miez Penthouse, (Laax Murschetg), 6104, 4.5 Zimmerwohnung","6","Entire rental unit",,"https://www.airbnb.com/rooms/50372126"
"London, England, United Kingdom","51.5194","-0.13562","Oxford Circus Penthouse  w/ Roof Garden","4","Entire rental unit","5","https://www.airbnb.com/rooms/18054769"
"Florence, Toscana, Italy","43.76802","11.26206","Paradiso - Paradiso","4","Entire rental unit",,"https://www.airbnb.com/rooms/49364696"
"Saint Ives, United Kingdom","50.2149","-5.48707","Trecarrack, Carthew Way","6","Entire home",,"https://www.airbnb.com/rooms/30163855"
"Kihei, Hawaii, United States","20.76312","-156.4571","Hibiscus Hideaway: 4 bedroom 3 bath condo on Maui","10","Entire condo","5","https://www.airbnb.com/rooms/50597658"
"Low Row, England, United Kingdom","54.37777","-2.02996","Swale View, traditional dales cottage in Low Row","5","Entire cottage","5","https://www.airbnb.com/rooms/36012790"
"Goose Green, Pulborough, United Kingdom","50.951","-0.41087","The Lodge (PFFG)","4","Entire home","5","https://www.airbnb.com/rooms/30888681"
"Calgary, Alberta, Canada","51.14225","-114.11802","Cheerful one bedroom and ensuite in private home","2","Private room in home","5","https://www.airbnb.com/rooms/51985774"
"East Riding of Yorkshire, England, United Kingdom","53.95707","-0.88337","The Dairy - UK32272 (UK32272)","6","Entire home","5","https://www.airbnb.com/rooms/47250058"
"Wellington, New Zealand","-41.268","174.766","Tranquil Retreat, Sun & bush views close to town.","4","Entire rental unit","4.5","https://www.airbnb.com/rooms/12609407"
"Rhôs, near Pontardawe, Wales, United Kingdom","51.71214","-3.81071","Coed Y Nant Barn (UK6544)","6","Entire home",,"https://www.airbnb.com/rooms/30912068"
"Telluride, Colorado, United States","37.93817","-107.81773","Pacific Street Townhome 522A","6","Entire townhouse","4.5","https://www.airbnb.com/rooms/25668958"
"Cold Ashton, Bath, United Kingdom","51.45229","-2.36257","Shaplands Barn (PCCR)","6","Entire home",,"https://www.airbnb.com/rooms/30220143"
"London, United Kingdom","51.50212","-0.24464","Spacious & stylish family home with lovely garden","8","Entire home","5","https://www.airbnb.com/rooms/7561435"
"Noosa Heads, Queensland, Australia","-26.3943","153.09272","Prime Location, Views & Sunsets, Walk to Beach","8","Entire home","5","https://www.airbnb.com/rooms/53223000"
"Torquay, England, United Kingdom","50.46307","-3.53256","Bay View Abbey Sands (UK10420)","4","Entire home",,"https://www.airbnb.com/rooms/34760252"
"Los Angeles, California, United States","34.09719","-118.27626","Explore Silver Lake from Designer Hillside Retreat","5","Entire home","5","https://www.airbnb.com/rooms/33916596"
"Gembling, England, United Kingdom","53.99765","-0.32098","School Cottage (UK36365)","6","Entire home","5","https://www.airbnb.com/rooms/54060695"
"Paris, Île-de-France, France","48.87212","2.34953","Luxurious and new apartment in the center of Paris","8","Entire rental unit","4.5","https://www.airbnb.com/rooms/53120782"
"Zurich, Switzerland","47.375","8.543","3 room apartment in a historic town - S3","5","Entire rental unit","4.5","https://www.airbnb.com/rooms/2920698"
"Florence, Toscana, Italy","43.771","11.26","Stunning Florence Sunset View with Lift","9","Entire rental unit","5","https://www.airbnb.com/rooms/21777882"
