"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Nashville, Indiana, United States","39.23165","-86.33933","3 Irish Sons Log Cabin","8","Entire cabin","5","https://www.airbnb.com/rooms/27082454"
"Goshen, Indiana, United States","41.59302","-85.78589","Whitehouse Retreat!🏡 Pool🏊‍♀️ Hot Tub🔥 500MB WIFI💻","12","Entire home","5","https://www.airbnb.com/rooms/53239328"
"Greenfield, Indiana, United States","39.82891","-85.72149","NEW 10 ACRE PRIVATE LAKE 3BDRM HOME 25 MINS 2 INDY","9","Entire home","5","https://www.airbnb.com/rooms/28961164"
"Michigan City, Indiana, United States","41.729","-86.879","Picturesque beach home with pool table, view of La","12","Entire home","5","https://www.airbnb.com/rooms/28135450"
"Madison, Indiana, United States","38.7344","-85.3808","2 King Suites + 2 Queen Beds, 3.5 Ba Downtown","10","Entire townhouse","5","https://www.airbnb.com/rooms/48727694"
"Hope, Indiana, United States","39.28708","-85.7074","Forest Freedom Lake. (No WiFi)","5","Entire home","5","https://www.airbnb.com/rooms/47927187"
"Bloomington, Indiana, United States","39.02781","-86.50293","Home away from home in Beautiful Bloomington, IN.","6","Entire townhouse","5","https://www.airbnb.com/rooms/38869588"
"Fremont, Indiana, United States","41.723","-85.027","SNOW LAKE RETREAT","14","Entire home",,"https://www.airbnb.com/rooms/51714230"
"West Lafayette, Indiana, United States","40.45402","-86.91366","Entire home - close to Purdue and restaurants","4","Entire home","5","https://www.airbnb.com/rooms/49928927"
"South Bend, Indiana, United States","41.69044","-86.25086","Beautiful remodeled historic home near ND campus","16","Entire home","5","https://www.airbnb.com/rooms/51018874"
"Michigan City, Indiana, United States","41.72839","-86.8779","Large Home  in Beach Walk, Lake Michigan","10","Entire home","5","https://www.airbnb.com/rooms/19225946"
"La Porte, Indiana, United States","41.6465","-86.73085","Countryside get-away. / ND fans retreat","10","Entire home","4.5","https://www.airbnb.com/rooms/52174684"
"Leesburg, Indiana, United States","41.33726","-85.76332","Cottage in the woods at Lake Tippecanoe","12","Entire cottage","5","https://www.airbnb.com/rooms/10473695"
"Michiana Shores, Indiana, United States","41.75425","-86.81679","Cozy Cabin in The Woods & 1/2 mile from the Beach","10","Entire home",,"https://www.airbnb.com/rooms/50547856"
"Palmyra, Indiana, United States","38.38942","-86.04787","Cozy Cottage at Moonlit Farms","6","Farm stay",,"https://www.airbnb.com/rooms/49980143"
"South Bend, Indiana, United States","41.68769","-86.24634","Golden Location for the Golden Dome","6","Entire home","5","https://www.airbnb.com/rooms/28244468"
"South Bend, Indiana, United States","41.72254","-86.25324","5 BR Victorian, scenic creek by ND","14","Entire home","5","https://www.airbnb.com/rooms/3924463"
"Indianapolis, Indiana, United States","39.884","-86.089","Gated Contemporary Home Ideal Location","8","Entire home","5","https://www.airbnb.com/rooms/22026501"
"Miller Beach Gary, Indiana, United States","41.622","-87.227","Miller Beach Indiana Dunes National Park House","9","Entire home","5","https://www.airbnb.com/rooms/41381833"
"South Bend, Indiana, United States","41.66904","-86.20629","Cute Craftsman Home Near Notre Dame and Downtown","6","Entire home","5","https://www.airbnb.com/rooms/27111790"
"South Bend, Indiana, United States","41.69358","-86.19872","Clean & Cozy Home Close to Notre Dame!","6","Entire home","5","https://www.airbnb.com/rooms/31716744"
"Indianapolis, Indiana, United States","39.86467","-86.11546","Broad Ripple Charmer!","6","Entire home","5","https://www.airbnb.com/rooms/52565102"
"Indianapolis, Indiana, United States","39.86628","-86.13753","Charming 4 bedroom Home in heart of Broad Ripple","7","Entire home","5","https://www.airbnb.com/rooms/53832354"
"Culver, Indiana, United States","41.20812","-86.36477","The Studio - A Quiet Retreat Near Culver, Indiana","5","Barn","5","https://www.airbnb.com/rooms/30886609"
"South Bend, Indiana, United States","41.68985","-86.24973","Luck of the Irish- just a mile to Notre Dame","11","Entire home","5","https://www.airbnb.com/rooms/48079323"
"Culver, Indiana, United States","41.21688","-86.42061","Condo in town AND on Lake Max!","5","Entire condo","4.5","https://www.airbnb.com/rooms/26991034"
"South Bend, Indiana, United States","41.68604","-86.22964","Peaceful room near Notre Dame. 0.4miles drive.","2","Private room in home","5","https://www.airbnb.com/rooms/52529409"
"Indianapolis, Indiana, United States","39.75272","-86.13188","1120 Evison - Fountain Square","16","Entire home","4.5","https://www.airbnb.com/rooms/25783781"
"Indianapolis, Indiana, United States","39.75766","-86.15998","AMAZING 5BR STADIUM Home! Walk to EVERYTHING!","14","Entire home","5","https://www.airbnb.com/rooms/13811624"
"West Lafayette, Indiana, United States","40.43389","-86.90554","* Prime 4BR/2BA Residence Near Purdue *ParksideWL*","6","Entire home","5","https://www.airbnb.com/rooms/52864316"
"Attica, Indiana, United States","40.27193","-87.26072","Modern Family-Style Villa in Attica near Badlands","12","Entire villa",,"https://www.airbnb.com/rooms/53825834"
"Michigan City, Indiana, United States","41.72893","-86.87761","Kid Friendly Modern Cottage with Fire-pit, Screene","10","Entire home",,"https://www.airbnb.com/rooms/21489713"
"South Bend, Indiana, United States","41.73706","-86.23905","Come enjoy a ND game in a unique way!","4","Camper/RV","5","https://www.airbnb.com/rooms/52191117"
"South Bend, Indiana, United States","41.676","-86.264","Historic - Renovated - Artistic","8","Entire home","5","https://www.airbnb.com/rooms/43527100"
"Nashville, Indiana, United States","39.23221","-86.25756","Brick Lodge Vacation Cabin","8","Entire home","4.5","https://www.airbnb.com/rooms/34568949"
"Syracuse, Indiana, United States","41.4088","-85.74126","Adorable Home in Oakwood Park with Sunset Views","6","Entire home","4.5","https://www.airbnb.com/rooms/50751891"
"New Albany, Indiana, United States","38.29119","-85.81915","Modern downtown 4BR/3BA spacious home. Sleeps 10","10","Entire home","5","https://www.airbnb.com/rooms/51594679"
"South Bend, Indiana, United States","41.67276","-86.23449","The Nest at Eddy Street","3","Entire loft","5","https://www.airbnb.com/rooms/34243995"
"Rockville, Indiana, United States","39.762","-87.227","The Dragonfly Guest House, 3 bedroom 3 bath","8","Entire home","5","https://www.airbnb.com/rooms/42689378"
"Indianapolis, Indiana, United States","39.80956","-86.1417","Glorious Guilford Compound","10","Entire home",,"https://www.airbnb.com/rooms/52732875"
"Nashville, Indiana, United States","39.24815","-86.28634","Restored 1932 log cabin.","4","Entire place","5","https://www.airbnb.com/rooms/51248278"
"South Bend, Indiana, United States","41.69216","-86.24264","Walk to ND/Eddy Street, ProCleaned/Comfy/Updated","14","Entire home","5","https://www.airbnb.com/rooms/9260554"
"Indianapolis, Indiana, United States","39.752","-86.164","4BR Fully Renovated (Entire House)","8","Entire home","4.5","https://www.airbnb.com/rooms/50009747"
"Jeffersonville, Indiana, United States","38.29624","-85.68152","Waterfront River Refuge I & II","12","Entire home","5","https://www.airbnb.com/rooms/50763428"
"Indianapolis, Indiana, United States","39.76812","-86.13705","*Suite Dreams* Holy Cross/Downtown Beauty II","12","Entire townhouse","5","https://www.airbnb.com/rooms/50943719"
"Indianapolis, Indiana, United States","39.80373","-86.1472","Spacious Getaway w/ Foosball & Shuffleboard near Children's Museum!","16","Entire home","4.5","https://www.airbnb.com/rooms/48314574"
"Pittsboro, Indiana, United States","39.8997","-86.44256","Charming cottage w/attached sunroom!","1","Entire loft",,"https://www.airbnb.com/rooms/498558207481014900"
"Michigan City, Indiana, United States","41.72986","-86.88371","The Great Lake Escape","12","Entire home","5","https://www.airbnb.com/rooms/31266528"
"Greencastle, Indiana, United States","39.62193","-86.82421","Beautiful Cabin close to DePauw & Owl Ridge","5","Entire cabin","5","https://www.airbnb.com/rooms/49259739"
"Indianapolis, Indiana, United States","39.76997","-86.13671","*Suite Dreams* Holy Cross/Downtown Beauty I","14","Entire home","5","https://www.airbnb.com/rooms/45161781"
"Monticello, Indiana, United States","40.78945","-86.77874","Amazing Lakefront House with all the Amenities!","10","Entire home","4.5","https://www.airbnb.com/rooms/23701088"
"Marion, Indiana, United States","40.54037","-85.6719","Ranch House- 2 miles from IWU","7","Entire home","5","https://www.airbnb.com/rooms/41125675"
"Crawfordsville, Indiana, United States","40.01917","-86.876","""His Harvest Home""","12","Farm stay","5","https://www.airbnb.com/rooms/8634000"
"Michigan City, Indiana, United States","41.73035","-86.89307","Beautiful 3 story home with amazing lake
views!","6","Entire townhouse","5","https://www.airbnb.com/rooms/52705361"
"Paoli, Indiana, United States","38.55464","-86.42962","2 Bedroom Suite at French Country Estate w/ Pool","4","Private room in home",,"https://www.airbnb.com/rooms/49195260"
"South Bend, Indiana, United States","41.67718","-86.25129","Notre Dame Cottage","4","Entire guesthouse",,"https://www.airbnb.com/rooms/39087917"
"Nashville, Indiana, United States","39.10064","-86.20837","Storybrook Log Cabin","8","Entire cabin","4.5","https://www.airbnb.com/rooms/34571799"
"Indianapolis, Indiana, United States","39.86374","-86.18574","WELCOMING 4 Bedroom/ 2.5 Bath with 2 car garage.","6","Entire home","5","https://www.airbnb.com/rooms/52655925"
"South Bend, Indiana, United States","41.687","-86.246","Light-Filled, 3BR/3.5BA Townhome - Walk to ND/SMC","10","Entire townhouse",,"https://www.airbnb.com/rooms/51388133"
"Angola, Indiana, United States","41.6913","-85.03166","Large Hickory Point Cottage on Lake James","10","Entire home","5","https://www.airbnb.com/rooms/19542903"
"Muncie, Indiana, United States","40.19314","-85.37664","Muncie, IN - Victorian Style home!","10","Entire home","4.5","https://www.airbnb.com/rooms/27256547"
"Bloomington, Indiana, United States","39.16006","-86.52435","Cute house blocks from Campus and Sample Gates!","10","Entire home","5","https://www.airbnb.com/rooms/27408512"
"Sheridan, Indiana, United States","40.12118","-86.13585","Baker Farmhouse","10","Farm stay","5","https://www.airbnb.com/rooms/39415870"
"Morgantown, Indiana, United States","39.29797","-86.24061","Homestead Cabin","4","Entire cabin","3.5","https://www.airbnb.com/rooms/48997210"
"Whiteland, Indiana, United States","39.5454","-86.09814","Mi Casa Su Casa!","8","Entire home","5","https://www.airbnb.com/rooms/53208343"
"Rome City, Indiana, United States","41.48276","-85.3631","Three Sisters Cottage & Guest House on the water","10","Entire cottage",,"https://www.airbnb.com/rooms/38515310"
"Indianapolis, Indiana, United States","39.80953","-86.30842","Peaceful Escape Near Everything Indy Has To Offer","15","Entire home","5","https://www.airbnb.com/rooms/34326875"
"French Lick, Indiana, United States","38.40656","-86.60081","Log Cabin #12 with Hot Tub at Osborn Boat Ramp on Patoka","16","Entire home",,"https://www.airbnb.com/rooms/51052373"
"Bloomington, Indiana, United States","39.1616","-86.54187","Gorgeous house with spacious rooms downtown 🤩","6","Entire home","5","https://www.airbnb.com/rooms/51486602"
"Harrison Township, Indiana, United States","38.1482","-86.87008","The Potter Cottage - Beautiful Serene Setting","14","Entire home","5","https://www.airbnb.com/rooms/34394719"
"Bloomington, Indiana, United States","39.15744","-86.53081","Tempur Pedic-Big Green Egg. Short walk to Kirkwood","10","Entire home","5","https://www.airbnb.com/rooms/52630181"
"Indianapolis, Indiana, United States","39.76938","-86.1266","Willard Park :: Sleeps 14-16 :: 5 Min to Downtown","16","Entire home","5","https://www.airbnb.com/rooms/34018377"
"Indianapolis, Indiana, United States","39.69213","-86.28192","""Beginnings"" A Hallmark Stay for families & Friend","8","Entire home","5","https://www.airbnb.com/rooms/18475438"
"Indianapolis, Indiana, United States","39.75688","-86.1364","2-Bedroom w/ Hot Tub Near Lucas Oil & Gainbridge","6","Entire home",,"https://www.airbnb.com/rooms/54110947"
"Chesterton, Indiana, United States","41.67364","-86.98661","The Dune Retreat in Beverly Shores","12","Entire home","4.5","https://www.airbnb.com/rooms/43667812"
"Indianapolis, Indiana, United States","39.76228","-86.1478","Fletcher Place Single-Family Cottage-2 car garage!","7","Entire home","5","https://www.airbnb.com/rooms/52467022"
"Indianapolis, Indiana, United States","39.75112","-86.15612","*NEW* Large, New House Near Downtown Indy!!!","14","Entire home","5","https://www.airbnb.com/rooms/47815515"
"Bloomington, Indiana, United States","39.17748","-86.53982","The Little Loft","6","Entire home","5","https://www.airbnb.com/rooms/52626849"
"West Lafayette, Indiana, United States","40.44003","-86.92175","★Golf Course Views★ Ranch ★ Fire Pit ★Bring Pets!★","10","Entire home","5","https://www.airbnb.com/rooms/24311579"
"South Bend, Indiana, United States","41.73537","-86.22257","Beautiful home 10 min from Notre Dame","6","Entire home","5","https://www.airbnb.com/rooms/38063849"
