"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Carter Lake, Iowa, United States","41.29582","-95.92225","Lake and Golf Course Retreat.","5","Private room in home","4","https://www.airbnb.com/rooms/16463887"
"Pacific Junction, Iowa, United States","41.10652","-95.81509","Modern 1 bedroom, 2 bath - Country Setting","6","Entire guesthouse","4","https://www.airbnb.com/rooms/35682117"
"Omaha, Nebraska, United States","41.25909","-95.95564","Right in the heart of it all - CWS","6","Entire home","5","https://www.airbnb.com/rooms/23556842"
"Omaha, Nebraska, United States","41.25895","-95.95628","Modern updated condo with insane patio space","4","Entire condo","4.5","https://www.airbnb.com/rooms/52438732"
"Pacific Junction, Iowa, United States","41.10592","-95.81622","Modern 1 bedroom, 2 bath - Country Setting - North","6","Entire guesthouse","5","https://www.airbnb.com/rooms/44247343"
"Omaha, Nebraska, United States","41.25147","-95.93237","Perfect Row House in the Old Market","6","Entire townhouse","5","https://www.airbnb.com/rooms/43204821"
"Omaha, Nebraska, United States","41.2464","-95.93148","🌆Skyline Downtown Stay: Breathtaking Rooftop Views","6","Entire townhouse","5","https://www.airbnb.com/rooms/53132090"
"Omaha, Nebraska, United States","41.252","-95.931","Modern 2 bedroom townhome near the old market","4","Entire townhouse","5","https://www.airbnb.com/rooms/51262270"
"Omaha, Nebraska, United States","41.22167","-95.92997","Home near Zoo/College World Series/Downtown","8","Entire home","5","https://www.airbnb.com/rooms/17700160"
"Omaha, Nebraska, United States","41.2364","-95.92872","Spacious Family Apt Near Omaha Zoo and I-80","8","Entire rental unit","4.5","https://www.airbnb.com/rooms/43165097"
"Omaha, Nebraska, United States","41.25225","-95.93227","Old Market Townhome w/ 2 King Suites+Garage+View","8","Entire townhouse","5","https://www.airbnb.com/rooms/47891202"
"Omaha, Nebraska, United States","41.28247","-95.99753","Twin Gables | Country Club Historic District","6","Entire home","5","https://www.airbnb.com/rooms/5446412"
"Omaha, Nebraska, United States","41.23871","-95.95749","Art Deco Historic Home - Hanscom Park","6","Entire home",,"https://www.airbnb.com/rooms/49864247"
"Carter Lake, Iowa, United States","41.29351","-95.91982","🎣 Spacious Waterfront Home  Near Downtown Omaha","7","Entire home","5","https://www.airbnb.com/rooms/24542222"
"Omaha, Nebraska, United States","41.24302","-95.9988","Beautiful Condo Suite","2","Private room in condo","5","https://www.airbnb.com/rooms/2771610"
"Omaha, Nebraska, United States","41.24283","-95.95505","Spacious 1895 Renovated, Historic
Townhome","7","Entire townhouse","5","https://www.airbnb.com/rooms/53783482"
"Omaha, Nebraska, United States","41.24103","-96.17684","Large West Omaha Home ~Hot Tub ~4BR 3Bath","12","Entire home","5","https://www.airbnb.com/rooms/26229517"
"Omaha, Nebraska, United States","41.24712","-95.92906","The Zoo House","16","Entire home","5","https://www.airbnb.com/rooms/34333712"
"Omaha, Nebraska, United States","41.26327","-96.0518","Charming Ranch House With Excellent Location","10","Entire home","4.5","https://www.airbnb.com/rooms/50361865"
"Council Bluffs, Iowa, United States","41.21509","-95.85589","Modern home close to downtown Omaha events","6","Entire home",,"https://www.airbnb.com/rooms/50006892"
"Omaha, Nebraska, United States","41.24741","-95.92848","Perfect house in Little Italy.","2","Entire bungalow",,"https://www.airbnb.com/rooms/35740386"
"Omaha, Nebraska, United States","41.26052","-95.99867","4 Bd.Rm.Historic  Dundee / Park View","7","Entire home","5","https://www.airbnb.com/rooms/5837869"
"Omaha, Nebraska, United States","41.2388","-96.19383","Modern luxury 4,000sqft home with added services","16","Entire home","5","https://www.airbnb.com/rooms/15454780"
"Omaha, Nebraska, United States","41.25093","-96.20238","West Omaha warm, inviting, spacious ranch house","5","Entire home","5","https://www.airbnb.com/rooms/20981546"
"Omaha, Nebraska, United States","41.2455","-95.96127","HISTORIC        FIELD CLUB        DISTRICT","6","Entire home","4.5","https://www.airbnb.com/rooms/49500078"
"Omaha, Nebraska, United States","41.25635","-95.97428","Large Townhome in Hot Walkable District Near UNMC!","12","Entire townhouse","5","https://www.airbnb.com/rooms/13330056"
"Council Bluffs, Iowa, United States","41.20987","-95.84452","Lakefront Home","8","Entire home","5","https://www.airbnb.com/rooms/5729318"
"Elkhorn, Nebraska, United States","41.28505","-96.21421","6 Bedroom Updated & Spacious FAMILY Home!","14","Entire home","5","https://www.airbnb.com/rooms/33796737"
"Omaha, Nebraska, United States","41.29226","-96.10943","Entire Home - Modern Family Friendly 5 Bedroom","16","Entire home","5","https://www.airbnb.com/rooms/15388926"
"Omaha, Nebraska, United States","41.24551","-95.97674","The Ultimate Home Away From Home","14","Entire home","4.5","https://www.airbnb.com/rooms/49736241"
"Omaha, Nebraska, United States","41.264","-95.973","Unique Historic Home in Midtown","8","Entire home","5","https://www.airbnb.com/rooms/49967225"
"Bennington, Nebraska, United States","41.37452","-96.20096","Beautiful & Relaxing Lake Home near Omaha","9","Entire home","5","https://www.airbnb.com/rooms/3421726"
"Omaha, Nebraska, United States","41.32885","-96.11354","Family-friendly golf course casual modern home","6","Entire home","5","https://www.airbnb.com/rooms/48251198"
"Omaha, Nebraska, United States","41.24945","-95.93694","Omaha Downtown Wonder - Unreal View & Garden!","7","Entire home","5","https://www.airbnb.com/rooms/44681820"
"Omaha, Nebraska, United States","41.25427","-96.04247","Centrally Located Omaha Family House","9","Entire home","5","https://www.airbnb.com/rooms/27303756"
"Omaha, Nebraska, United States","41.25637","-96.08912","Modern, Timbered, LUX 3Bedroom in perfect location","8","Entire home",,"https://www.airbnb.com/rooms/702024717565799600"
"Omaha, Nebraska, United States","41.22694","-96.03958","The Westgate Escape: Centrally Located Modern Home","12","Entire home","5","https://www.airbnb.com/rooms/38024743"
"Omaha, Nebraska, United States","41.258","-95.997","Midtown Dundee Castle","8","Entire townhouse",,"https://www.airbnb.com/rooms/52277647"
"Omaha, Nebraska, United States","41.23129","-96.07695","Completely Renovated, SUPER Location - Sanitized","14","Entire home","5","https://www.airbnb.com/rooms/52264678"
"Council Bluffs, Iowa, United States","41.32087","-95.82651","Quiet Country House on fishing lake,close to Omaha","4","Entire guesthouse","5","https://www.airbnb.com/rooms/34652642"
"Omaha, Nebraska, United States","41.25493","-95.93061","Old Market Gem","13","Entire place","5","https://www.airbnb.com/rooms/49109245"
"Omaha, Nebraska, United States","41.25042","-95.95753","Lux Mini-Mansion•KING BEDS+Hot Tub+Firepit+Garden","9","Entire home","5","https://www.airbnb.com/rooms/17890585"
"Fort Calhoun, Nebraska, United States","41.49289","-96.05896","Viral Farmhouse Sensation! 5 million+ views on FB!","8","Entire home","5","https://www.airbnb.com/rooms/45815876"
"Council Bluffs, Iowa, United States","41.22946","-95.8088","Virginia Hills Retreat - a place to remember!","10","Entire home","5","https://www.airbnb.com/rooms/41537994"
