"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Auburn, Maine, United States","44.09385","-70.27025","Private Space in Great Neighborhood Executive Home","2","Private room in home","4.5","https://www.airbnb.com/rooms/16698572"
"Wales, Maine, United States","44.15448","-70.0942","Lakeside, private, Maine experience.","8","Entire guesthouse","5","https://www.airbnb.com/rooms/23545462"
"Poland, Maine, United States","44.01362","-70.39734","Private Waterfront Cottage in Cove  w/dock & float","4","Entire cottage","5","https://www.airbnb.com/rooms/28186378"
"Durham, Maine, United States","43.94554","-70.12008","Lovely Room at Historic Farm Bed and Breakfast","2","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/52790273"
"Durham, Maine, United States","43.94698","-70.11891","Airy, Elegant Room in Historic Bed and Breakfast","2","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/52798337"
"Poland, Maine, United States","44.06394","-70.42292","LAKE-Fire SIDE, NICE, FUN in FUNky COMFY, Ole Camp","4","Entire home","5","https://www.airbnb.com/rooms/482815"
"Gray, Maine, United States","43.921","-70.4","Little Sebago lakefront retreat","12","Entire home","5","https://www.airbnb.com/rooms/36655837"
"Gray, Maine, United States","43.91954","-70.40215","Cozy Lakefront Cottage on the Water's Edge","4","Entire guesthouse","5","https://www.airbnb.com/rooms/52208040"
"Durham, Maine, United States","43.94685","-70.11962","Charming Room at Farm-To-Table Bed and Breakfast","2","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/52771605"
"Durham, Maine, United States","43.94671","-70.1187","Cozy Room in Historic Bed and Breakfast","2","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/52810042"
"Poland, Maine, United States","44.00798","-70.389","Spectacular lake front home","4","Entire home","5","https://www.airbnb.com/rooms/17792206"
"Raymond, Maine, United States","43.97926","-70.45384","Camp Alouette - private lakeside cottage","6","Entire cottage","5","https://www.airbnb.com/rooms/31192306"
