"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Eustis, Maine, United States","45.15654","-70.45325","Flagstaff Lakefront-Near Sugarloaf Vacation Home","10","Entire home","5","https://www.airbnb.com/rooms/17566100"
"Carrabassett Valley, Maine, United States","45.06776","-70.31376","Year-round Sugarloaf Mountain ski on/off Townhouse","10","Entire townhouse","5","https://www.airbnb.com/rooms/44536452"
"Carrabassett Valley, Maine, United States","45.05292","-70.3119","First Tracks at Sugarloaf","8","Entire condo","5","https://www.airbnb.com/rooms/48672316"
"Strong, United States","44.80906","-70.16013","Beautiful Lakefront Home only 30 min to Sugarloaf!","8","Entire cabin","5","https://www.airbnb.com/rooms/30468913"
"Carrabassett Valley, Maine, United States","45.087","-70.287","Sugarloaf Chalet-Hot Tub, WiFi, Close to Access Rd","6","Entire chalet","5","https://www.airbnb.com/rooms/46557964"
"Coplin, Maine, United States","45.13044","-70.42912","SPACIOUS SUGARLOAF 6-8 BR 2-3 BA","16","Entire home","5","https://www.airbnb.com/rooms/12731680"
"Eustis, Maine, United States","45.21758","-70.4786","Sugarloaf Chalet: An elevated experience!","6","Entire chalet","5","https://www.airbnb.com/rooms/49420203"
"New Portland, Maine, United States","44.8852","-70.0998","The Riverfront Retreat - 27 minutes to Sugarloaf!","6","Entire home","5","https://www.airbnb.com/rooms/49511740"
"Coplin, Maine, United States","45.12751","-70.42663","Cozy little camp 10 minutes north of sugarloaf mnt","3","Entire cabin","5","https://www.airbnb.com/rooms/33427618"
"Carrabassett Valley, Maine, United States","45.09077","-70.26375","Slim Melvin House, Sugarloaf Mountain","9","Entire cabin","5","https://www.airbnb.com/rooms/40986024"
"Carrabassett Valley, Maine, United States","45.057","-70.311","Sugarloaf ski-in, ski-out condo. Walk to village!","8","Entire condo","5","https://www.airbnb.com/rooms/31534332"
