"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Newry, Maine, United States","44.489","-70.853","Secluded Chalet with Upscale Interior & Jetted Tub -Close to Sunday River Resort","8","Entire home","5","https://www.airbnb.com/rooms/21212008"
"Bethel, Maine, United States","44.446","-70.655","Dog Friendly! Indoor hot tub! Sunday River ski","10","Dome","5","https://www.airbnb.com/rooms/53976269"
"Newry, Maine, United States","44.49705","-70.84831","Sunday River Retreat","12","Entire home","5","https://www.airbnb.com/rooms/45431464"
"Newry, Maine, United States","44.51733","-70.81713","Chalet mins to Sunday River / Bethel / Outdoor Fun","12","Entire chalet","5","https://www.airbnb.com/rooms/44530211"
"Bethel, Maine, United States","44.40189","-70.80016","SAUNA+HOT TUB! LUXURY CABIN NEAR SUNDAY RIVER","8","Entire cabin","5","https://www.airbnb.com/rooms/53559430"
"Newry, Maine, United States","44.5","-70.851","SUNDAY RIVER VIEWS!! Minutes from the mountain!","16","Entire chalet","5","https://www.airbnb.com/rooms/50327115"
"BETHEL, MAINE, United States","44.44569","-70.82072","6 Mins to SUNDAY RIVER 4BR+Sauna Ski Chalet Cabin","10","Entire chalet","5","https://www.airbnb.com/rooms/23596531"
"Bethel, Maine, United States","44.42362","-70.74891","""The GingerBread"" 10 min from Sunday River!","10","Entire chalet","5","https://www.airbnb.com/rooms/23882498"
"Newry, Maine, United States","44.46571","-70.83054","Ski Barn - Stunning timber frame barn with views of Sunday River Ski Resort","15","Entire home","5","https://www.airbnb.com/rooms/16809820"
"Newry, Maine, United States","44.467","-70.83","Mountain View Lodge at Sunday River","14","Entire chalet","5","https://www.airbnb.com/rooms/19212345"
