"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Monticello, Maine, United States","46.29023","-67.87858","Wilderness Estates Lake Front Cabin Rental","6","Entire cabin","5","https://www.airbnb.com/rooms/25781252"
"Aroostook, New Brunswick, Canada","46.82","-67.734","Modern 1 bedroom with lots of extras","2","Private room in home","5","https://www.airbnb.com/rooms/39219298"
"Grand-Sault, Nouveau-Brunswick, Canada","46.95621","-67.76235","Grand Falls Vacation Ranch","11","Entire home","5","https://www.airbnb.com/rooms/24309686"
"Monticello, Maine, United States","46.29228","-67.87859","Wilderness Estates Lake Front Camp on Conroy Lake","6","Entire cottage","5","https://www.airbnb.com/rooms/25777096"
"Monticello, Maine, United States","46.28971","-67.87998","Beautiful Lake Front Cottage on Conroy Lake","4","Entire cabin","5","https://www.airbnb.com/rooms/51956572"
"Caribou, Maine, United States","46.83082","-68.00759","Luxury 3-Bedroom Home","6","Entire rental unit","5","https://www.airbnb.com/rooms/53935396"
"Long Lake, Maine, United States","47.161","-68.168","The Lake House","5","Entire cottage","5","https://www.airbnb.com/rooms/44504678"
"Caribou, Maine, United States","46.834","-67.939","Experience family fun on the farm","6","Entire home","5","https://www.airbnb.com/rooms/54144218"
"Madawaska, Maine, United States","47.18522","-68.19114","Four-Bedroom Lake-Front Unit on Long Lake!","8","Entire guest suite",,"https://www.airbnb.com/rooms/53064954"
"Perham, Maine, United States","46.87668","-68.2908","Rustic Retreat Lodge LLC","10","Entire cabin","5","https://www.airbnb.com/rooms/43478965"
"Perth Parish, New Brunswick, Canada","46.7713","-67.61618","2 Rooms on Tobique Headpond & New Brunswick Trail","4","Private room in cottage","5","https://www.airbnb.com/rooms/47401394"
"Cross Lake Township, Maine, United States","47.13173","-68.31715","Chain of Lakes - Recreation Cabin","4","Entire cabin","5","https://www.airbnb.com/rooms/53360586"
"Sinclair, Maine, United States","47.13494","-68.33867","Vacation or seasonal rental","4","Entire home","4.5","https://www.airbnb.com/rooms/27754752"
"Perth, New Brunswick, Canada","46.63774","-67.67079","A Piece of Quiet Heaven","6","Entire cabin",,"https://www.airbnb.com/rooms/36633001"
"Florenceville-Bristol, New Brunswick, Canada","46.43974","-67.62082","East meets West in Florenceville-Bristol NB!","5","Entire rental unit","5","https://www.airbnb.com/rooms/46923283"
"Florenceville-Bristol, New Brunswick, Canada","46.47037","-67.58033","Wicklow Suite Luxurious space.","2","Private room in home",,"https://www.airbnb.com/rooms/53402607"
"Florenceville-Bristol, New Brunswick, Canada","46.47117","-67.58036","Waterford, ocean theme suite.","2","Private room in home",,"https://www.airbnb.com/rooms/53402805"
"Ashland, Maine, United States","46.63081","-68.40408","Basecamp","9","Entire rental unit","4.5","https://www.airbnb.com/rooms/48101194"
"Caribou, Maine, United States","46.84144","-67.94512","Private Camping on Aroostook River East","4","Campsite",,"https://www.airbnb.com/rooms/27289936"
"Florenceville-Bristol, New Brunswick, Canada","46.47077","-67.58062","Derry Suite comfy, cozy bedroom.","2","Private room in home",,"https://www.airbnb.com/rooms/53403129"
"Greenfield, New Brunswick, Canada","46.44689","-67.68927","Windswept Farms 2 The Lavender Room","2","Private room in farm stay","5","https://www.airbnb.com/rooms/18548957"
"Mars Hill, Maine, United States","46.53891","-67.84831","Beautiful Cabin # 2","4","Entire cabin",,"https://www.airbnb.com/rooms/52749753"
"Florenceville-Bristol, New Brunswick, Canada","46.46905","-67.57874","Carlingford Suite fresh & bright on ground floor","2","Private room in home",,"https://www.airbnb.com/rooms/53402262"
