"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Alton, New Hampshire, United States","43.44596","-71.20204","The Little Log Cabin (22 min. to Gunstock)","6","Entire cabin","5","https://www.airbnb.com/rooms/33769825"
"Gilford, New Hampshire, United States","43.55703","-71.35237","Stay across from Gunstock! 4 Bedrooms, Sleeps 9","9","Entire cabin","5","https://www.airbnb.com/rooms/20968800"
"Gilford, New Hampshire, United States","43.5564","-71.35521","Gunstock Mountain vacation w indoor hottub","12","Entire home","5","https://www.airbnb.com/rooms/39386487"
"Gilford, New Hampshire, United States","43.57192","-71.37972","Large Gilford Home < 3 Miles to Gunstock & Lake!","16","Entire home","5","https://www.airbnb.com/rooms/46257527"
"Gilford, New Hampshire, United States","43.56097","-71.34939","Lake Winni and Gunstock Mtn Log Home! Superb views","8","Entire home","5","https://www.airbnb.com/rooms/19437098"
"Gilford, New Hampshire, United States","43.52985","-71.33226","Perfect Winnipesaukee Gunstock vacation getaway","15","Entire home","5","https://www.airbnb.com/rooms/50722058"
"Alton, New Hampshire, United States","43.55007","-71.30305","Lake Winnipesaukee/9min to Gunstock Mtn. Alton Bay","10","Entire cottage","5","https://www.airbnb.com/rooms/44660775"
"Gilford, New Hampshire, United States","43.53074","-71.34644","Gilford in the Trees - Gunstock and Winnipesaukee","12","Entire home","5","https://www.airbnb.com/rooms/50170509"
"Gilford, New Hampshire, United States","43.56173","-71.3591","Spacious Rustic 3BR, Near Gunstock & Lake Winni","8","Entire home","5","https://www.airbnb.com/rooms/47802675"
"Gilford, New Hampshire, United States","43.55952","-71.34927","Gunstock & Winnipesaukee Retreat","9","Entire home","5","https://www.airbnb.com/rooms/10802723"
"Gilford, New Hampshire, United States","43.55532","-71.36489","Large Home w/ Game Room & 3 min to Gunstock Lodge","12","Entire home","5","https://www.airbnb.com/rooms/45186968"
