"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"El Prado, New Mexico, United States","36.52935","-105.63096","End of Road Ranch - privacy and epic views","4","Entire home",,"https://www.airbnb.com/rooms/51124680"
"Angel Fire, New Mexico, United States","36.386","-105.2724","Warm Townhome w/ Sauna at Angel Fire Ski Lift","12","Entire townhouse","4.5","https://www.airbnb.com/rooms/48394748"
"Angel Fire, New Mexico, United States","36.36996","-105.29938","New Listing | Pet Friendly | Folley Cabin ","12","Entire home",,"https://www.airbnb.com/rooms/53433275"
"Angel Fire, New Mexico, United States","36.3765","-105.31323","Charming Cabin in Angel Fire","8","Entire home","5","https://www.airbnb.com/rooms/47497159"
"Arroyo Seco, New Mexico, United States","36.52402","-105.55535","Percilla Lane ~ Taos Sunset Views and Night Skies","7","Entire home","5","https://www.airbnb.com/rooms/37810764"
"Angel Fire, New Mexico, United States","36.35824","-105.3124","New listing | Pet Friendly |  Casa Arriba","12","Entire home","4.5","https://www.airbnb.com/rooms/53025101"
"Eagle Nest, New Mexico, United States","36.5544","-105.26447","Two Braids Cabin","10","Entire cabin","4.5","https://www.airbnb.com/rooms/48007998"
"Angel Fire, New Mexico, United States","36.3948","-105.29161","On Mountain Time Angel Fire - 4 mins from resort!","12","Entire cabin","5","https://www.airbnb.com/rooms/49943069"
"Angel Fire, New Mexico, United States","36.36629","-105.30507","ANGEL FIRE ANYTIME 3BD/2.5B  INTERNET","8","Entire cabin","4.5","https://www.airbnb.com/rooms/16692041"
"Angel Fire, New Mexico, United States","36.3711","-105.30576","Great Views; Fireplace; Updated! Aspen Retreat","12","Entire home","5","https://www.airbnb.com/rooms/21681080"
"Arroyo Seco, New Mexico, United States","36.5095","-105.58373","Hatch Guest House - Private Retreat - New Mexico","4","Entire guesthouse","5","https://www.airbnb.com/rooms/7279324"
"Angel Fire, New Mexico, United States","36.37735","-105.28698","Mountain Respite with room for Fun!","12","Entire townhouse","5","https://www.airbnb.com/rooms/53077128"
"Taos Ski Valley, New Mexico, United States","36.58085","-105.438","Short walk to Ski Lift. Amazing view. Cozy!","6","Entire condo","5","https://www.airbnb.com/rooms/53030762"
"Arroyo Seco, New Mexico, United States","36.53161","-105.56885","CasaCoyote- Adobe  Home-Ski/Tennis/Pool/Spa/Hike","8","Entire home","5","https://www.airbnb.com/rooms/16428270"
"Angel Fire, New Mexico, United States","36.39154","-105.27073","Large Ski Condo - 5 min. to Lifts","7","Entire condo","4.5","https://www.airbnb.com/rooms/878975"
"Angel Fire, New Mexico, United States","36.38123","-105.29764","Mountain Time - Spacious, Updated Townhouse","9","Entire townhouse","5","https://www.airbnb.com/rooms/35427334"
"Arroyo Seco, New Mexico, United States","36.53057","-105.59785","Historic Home with Valley Views","8","Entire home","5","https://www.airbnb.com/rooms/49712727"
"Amalia, New Mexico, United States","36.87123","-105.45126","Luxury Cabin in the Mountains","6","Entire cabin","5","https://www.airbnb.com/rooms/15869813"
"Angel Fire, New Mexico, United States","36.36749","-105.29806","SPRING BREAK CHRISTMAS ANYTIME, INTERNET 3/2.5","8","Entire cabin","5","https://www.airbnb.com/rooms/16723817"
"Angel Fire, New Mexico, United States","36.35936","-105.29928","Contemporary Cabin with Fireplace, Deck, and Shared Dock, Tennis, Gym!","8","Entire condo","4","https://www.airbnb.com/rooms/38327104"
"Amalia, New Mexico, United States","36.87304","-105.4534","Ultimate Mountain Getaway","6","Entire cabin","4.5","https://www.airbnb.com/rooms/16014180"
