"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Eastsound, Washington, United States","48.67058","-122.87203","Orcas Stunner - breathtaking water vistas, sauna","6","Entire home","5","https://www.airbnb.com/rooms/51803467"
"Puerto Vallarta, Jalisco, Mexico","20.59274","-105.24232","Stunning 3BR Oceanfront Condo at Sayan Indah","6","Entire serviced apartment","5","https://www.airbnb.com/rooms/51127293"
"Vista, California, United States","33.186","-117.262","Mi Casa es Su Casa! (My Home is Your Home!)","14","Entire home","5","https://www.airbnb.com/rooms/42355819"
"West Cape May, New Jersey, United States","38.936","-74.932","5 Bed, 4.5 bath, pool, pet friendly, all new","12","Entire home","4.5","https://www.airbnb.com/rooms/54262027"
"Ann Arbor, Michigan, United States","42.2668","-83.75932","Modern Luxurious Home-Steps from the Big House!","4","Entire home","5","https://www.airbnb.com/rooms/38800223"
"Koloa, Hawaii, United States","21.87446","-159.4425","3 BR Condo w/Ocean views w/2 lanais at Poipu Sands","8","Entire condo","5","https://www.airbnb.com/rooms/49728261"
"Charmouth, near Lyme Regis, England, United Kingdom","50.74838","-2.92261","The Stables - UKC3749 (UKC3749)","5","Entire home",,"https://www.airbnb.com/rooms/40940750"
"Torquay, England, United Kingdom","50.46786","-3.4958","Bishopsgate (BCBGATE)","7","Entire home",,"https://www.airbnb.com/rooms/40963237"
"Hertfordshire, England, United Kingdom","51.95388","-0.2734","13 Grove Road (UK35205)","6","Entire home","5","https://www.airbnb.com/rooms/51497700"
"New York, United States","40.75504","-73.96632","Modern 3 BED/2 BATH In Midtown East - Manhattan","7","Entire condo","4.5","https://www.airbnb.com/rooms/34387993"
"Lubenham, near Market Harborough, United Kingdom","52.4901","-0.97282","Waxwing Cottage (UKC2000)","6","Entire home","5","https://www.airbnb.com/rooms/30910286"
"Tywyn, United Kingdom","52.56751","-4.02593","Capel Maethlon","6","Entire home","5","https://www.airbnb.com/rooms/43344068"
"Yarmouth, Massachusetts, United States","41.66027","-70.21354","Kayaks provided, immaculate home on  Swan Pond","7","Entire home","5","https://www.airbnb.com/rooms/34768441"
"Fort Myers Beach, Florida, United States","26.44413","-81.93097","New Blue Lagoon w/ heated pool-2 min walk to beach","8","Entire home","5","https://www.airbnb.com/rooms/30257573"
"Le Touquet-Paris-Plage, Hauts-de-France, France","50.51448","1.58335","**Beach, Dunes&Sea** Exceptional Panoramic Views","14","Entire home","4.5","https://www.airbnb.com/rooms/8954946"
"Cascais, Estoril, Lisboa, Portugal","38.70522","-9.41988","Family vila overviewing Cascais bay","14","Entire home","5","https://www.airbnb.com/rooms/12726178"
"Porthleven, United Kingdom","50.082","-5.315","Samphire Cottage","6","Entire home",,"https://www.airbnb.com/rooms/22117365"
"Greencastle, Indiana, United States","39.6014","-86.82317","Peaceful country home by DePauw and Monon Bell!","13","Entire home","5","https://www.airbnb.com/rooms/33525076"
"Stari Grad, Splitsko-dalmatinska županija, Croatia","43.18365","16.60142","Town House Rosario - Deluxe One Bedroom Apartment","2","Entire rental unit","5","https://www.airbnb.com/rooms/50946460"
"Appledore, Devon, United Kingdom","51.051","-4.196","Wintor House","10","Entire home","5","https://www.airbnb.com/rooms/19883661"
"Kapolei, Hawaii, United States","21.335","-158.123","2BR/2BA Ko Olina Beach Villas 5thFloor Beach Tower","6","Entire rental unit","4.5","https://www.airbnb.com/rooms/18491493"
"Betley, near Nantwich, United Kingdom","53.04271","-2.37128","Buddileigh Farm (26951)","8","Entire home","5","https://www.airbnb.com/rooms/30860448"
"Paris, Île-de-France, France","48.86811","2.28965","Maison Boissiere | Deluxe apartment Arc de Triomphe","4","Entire rental unit","5","https://www.airbnb.com/rooms/53638244"
"State College, Pennsylvania, United States","40.79649","-77.84857","Football Weekend Heaven... Walk EVERYWHERE!","10","Entire home","5","https://www.airbnb.com/rooms/41913426"
"Soorts-Hossegor, Nouvelle-Aquitaine, France","43.66837","-1.43783","Villa jardin piscine et la plage a 2 minutes","14","Entire villa",,"https://www.airbnb.com/rooms/52023139"
"Corniglia, Liguria, Italy","44.11929","9.70703","Casa Picco dei Gabbiani - Luxury Oasis with Garden","6","Entire home","5","https://www.airbnb.com/rooms/25869431"
"Fort Lauderdale, Florida, United States","26.108","-80.106","Absolutely the BEST...Location..Residence.. Beach","6","Entire rental unit","5","https://www.airbnb.com/rooms/16709549"
"Rocky Point, Prince Edward Island, Canada","46.194","-63.17801","Coastal Golf Cottage with Beach Access, Sleeps 14","14","Entire cottage","5","https://www.airbnb.com/rooms/26322540"
"St Margaret&rsquo;s Bay, England, United Kingdom","51.14723","1.38433","Headland (M492600)","4","Entire home","5","https://www.airbnb.com/rooms/40993296"
"Long Marston, England, United Kingdom","53.94931","-1.29914","The Granary, near York with Hot Tub","12","Entire home","5","https://www.airbnb.com/rooms/36993336"
"Philadelphia, Pennsylvania, United States","39.97703","-75.13534","4K sqft LOFT | Gym | Pool Table | Ping Pong","14","Entire rental unit","5","https://www.airbnb.com/rooms/48661680"
"Portland, Maine, United States","43.66454","-70.24935","Elegant, Stunning Condo with Sunny Patio","4","Entire condo","5","https://www.airbnb.com/rooms/18433978"
