"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Park City, Utah, United States","40.624","-111.491","Guaranteed first tracks! 5 minute walk to the lift","7","Entire townhouse",,"https://www.airbnb.com/rooms/47033325"
"Park City, Utah, United States","40.62454","-111.4916","Abode at Black Bear #431 | Steps to the Mountains | Private Main Street Shuttle","7","Entire condo","5","https://www.airbnb.com/rooms/43511391"
"Park City, Utah, United States","40.65303","-111.50535","Apres Ski Lodge With Hot Tub","9","Entire home","5","https://www.airbnb.com/rooms/51685812"
"Park City, Utah, United States","40.684","-111.559","The Apex Retreat | Ski In/Out 3BR, Epic Mtn Views","8","Entire townhouse","5","https://www.airbnb.com/rooms/50814375"
"Park City, Utah, United States","40.65346","-111.51136","Snow Flower #43, SKI-IN/SKI-OUT to Park City Mountain","6","Entire condo",,"https://www.airbnb.com/rooms/46675979"
"Park City, Utah, United States","40.65328","-111.50448","Large, newly renovated penthouse steps from slopes","8","Entire condo",,"https://www.airbnb.com/rooms/53894061"
"Park City, Utah, United States","40.649","-111.503","Just Around the Corner from Main Street and Park City Mountain Resort","12","Entire townhouse","4","https://www.airbnb.com/rooms/15071926"
"Park City, Utah, United States","40.641","-111.496","S. Claus House, Heart of Old Town 🎄❤️🎄","5","Entire rental unit","5","https://www.airbnb.com/rooms/14819985"
"Park City, Utah, United States","40.68905","-111.55169","Club Wyndham Park City, Utah - Dec. 16 - 19 only","4","Entire condo",,"https://www.airbnb.com/rooms/52025212"
"Park City, Utah, United States","40.64268","-111.48183","Deer Valley Lake Retreat- Remodeled 3 BDRM 3 Bath Lower Deer Valley Townhome","6","Entire townhouse",,"https://www.airbnb.com/rooms/40289044"
"Park City, Utah, United States","40.65821","-111.51595","Ski Season Availability!  Posh Mid-Mountain Townhome, Silver Star #801. with private hot tub","12","Entire townhouse",,"https://www.airbnb.com/rooms/48013004"
"Heber City, Utah, United States","40.68103","-111.43428","Park City Condo - Close to Everything","8","Entire condo","5","https://www.airbnb.com/rooms/18296089"
"Park City, Utah, United States","40.62077","-111.50089","Dec 11-17 Sale *Ski-inout*Views! Huge Balc*Shuttle","15","Entire home","5","https://www.airbnb.com/rooms/13725884"
"Park City, Utah, United States","40.68426","-111.55704","Elevate your Park City vacation at Lift 112 Ski-in/Ski-out","6","Entire condo",,"https://www.airbnb.com/rooms/40781460"
"Park City, Utah, United States","40.62322","-111.49107","Abode at Black Bear 306 | 4 bedroom 2019 Remodel | Top Floor Hot Tub and Deck","10","Entire condo",,"https://www.airbnb.com/rooms/43678837"
"Park City, Utah, United States","40.647","-111.477","Abode at Arrowood | Best value in DV! Private Hot Tub! 3 Private Master Suites!","8","Entire home","5","https://www.airbnb.com/rooms/15831580"
"Park City, Utah, United States","40.65159","-111.50764","Marriott Mountainside villa Sundance FF Week","6","Entire condo",,"https://www.airbnb.com/rooms/32382976"
"Park City, Utah, United States","40.646","-111.497","Main St Condo #403! Location Location Location!","4","Room in boutique hotel",,"https://www.airbnb.com/rooms/54085314"
"Park City, Utah, United States","40.68557","-111.55552","1 BRM suite*Ski-in/Out* in the heart of Canyons","4","Entire serviced apartment","5","https://www.airbnb.com/rooms/51894360"
"Park City, Utah, United States","40.65514","-111.51074","Snow Flower #74, SKI-IN/SKI-OUT to Park City Mountain","8","Entire condo",,"https://www.airbnb.com/rooms/46677100"
"Heber City, Utah, United States","40.63","-111.438","Free Ski Rental, Mountain Modern w Private Hot Tub","10","Entire home","5","https://www.airbnb.com/rooms/16551237"
