"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Park City, Utah, United States","40.64942","-111.50142","Abode at Crown Manor | Luxury Haven in Old Town | Steps to Trails & Main St.! |","10","Entire home","5","https://www.airbnb.com/rooms/47707048"
"Park City, Utah, United States","40.72535","-111.50007","Our Mountain View Home","10","Entire home","5","https://www.airbnb.com/rooms/50968458"
"Park City, Utah, United States","40.65615","-111.51071","Modern 3 BDR Retreat on Golf Course; Near Skiing!","7","Entire condo","4.5","https://www.airbnb.com/rooms/45532489"
"Cottonwood Heights, Utah, United States","40.6098","-111.80511","Dream Location in Cottonwood Hts w Hot Tub & Pool","12","Entire home","5","https://www.airbnb.com/rooms/32888628"
"Park City, Utah, United States","40.651","-111.506","Steps to lifts & resort! Private 4BR home, hot tub","10","Entire home","5","https://www.airbnb.com/rooms/30104510"
"Park City, Utah, United States","40.64958","-111.50386","Holiday Studio walking distance to lifts","3","Entire rental unit",,"https://www.airbnb.com/rooms/46644659"
"Solitude, Utah, United States","40.619","-111.591","Ski-in/out condo w/access to Club Solitude - pools, hot tubs, & more!","8","Entire condo","4.5","https://www.airbnb.com/rooms/17135005"
"Park City, Utah, United States","40.648","-111.476","Spacious Deer Valley Townhome With Private Hot Tub","12","Entire condo","4.5","https://www.airbnb.com/rooms/15071919"
"Park City, Utah, United States","40.62416","-111.48969","Abode at Black Bear #301 | Open Condo w/ Private Hot Tub & Balconies | Mtn. Views","8","Entire condo",,"https://www.airbnb.com/rooms/44063514"
"Park City, Utah, United States","40.64398","-111.48949","Mountain View Rooftop Deck + Hot Tub, walk to Main st.","10","Entire townhouse",,"https://www.airbnb.com/rooms/53280014"
"Park City, Utah, United States","40.64496","-111.48207","Light-filled condo with amazing ski views - on the shuttle route!","4","Entire condo","5","https://www.airbnb.com/rooms/23257738"
"Park City, Utah, United States","40.647","-111.475","Up to 25% Off DV Luxury- Hot Tub & Free DV Shuttle","9","Entire rental unit","5","https://www.airbnb.com/rooms/10153985"
"Park City, Utah, United States","40.65094","-111.50338","Skiers Lodge 2BR Condo Sleep 6 Walk to Base Lifts","6","Entire condo",,"https://www.airbnb.com/rooms/47139894"
"Summit County, Utah, United States","40.68583","-111.55382","Mountain Getaway! Comfy Unit, Restaurant, Gym","7","Room in hotel",,"https://www.airbnb.com/rooms/50348332"
"Park City, Utah, United States","40.642","-111.48","Hidden Gem! Pool/Hot Tub/Lake & Mountain Views! St","10","Entire townhouse",,"https://www.airbnb.com/rooms/47033288"
"Park City, Utah, United States","40.65514","-111.51074","Snow Flower #74, SKI-IN/SKI-OUT to Park City Mountain","8","Entire condo",,"https://www.airbnb.com/rooms/46677100"
"Park City, Utah, United States","40.627","-111.49","Ski in/Out; Silver Lake Village Ridgepoint 128","6","Entire townhouse","5","https://www.airbnb.com/rooms/18411613"
"Park City, Utah, United States","40.68917","-111.5519","1 bedroom condo, Park city, Gondola","4","Entire condo",,"https://www.airbnb.com/rooms/54199616"
"Park City, Utah, United States","40.68524","-111.55167","Ski in Park City!  100% renovated townhouse.","7","Entire condo","5","https://www.airbnb.com/rooms/51960519"
"Park City, Utah, United States","40.686","-111.556","Fully Renovated Suite with Full Kitchen","4","Entire condo",,"https://www.airbnb.com/rooms/22096840"
"Park City, Utah, United States","40.65581","-111.50991","Snow Flower #122, SKI-IN/SKI-OUT to Park City Mountain","7","Entire condo",,"https://www.airbnb.com/rooms/46672695"
"Park City, Utah, United States","40.68401","-111.55419","Hilton Sunrise Lodge Resort Condo","6","Room in aparthotel",,"https://www.airbnb.com/rooms/17151975"
"Park City, Utah, United States","40.65149","-111.5046","Downtown condo w/ private hot tub & sauna - 2 blocks to ski lifts!","7","Entire condo","4.5","https://www.airbnb.com/rooms/23257243"
"Cottonwood Heights, Utah, United States","40.60252","-111.7933","Large condo w/gas fireplace, private hot tub, gourmet kitchen, foosball","12","Entire condo","5","https://www.airbnb.com/rooms/17134913"
"Cottonwood Heights, Utah, United States","40.6027","-111.79337","Newly remodeled home w/ arge private hot tub, fireplace, & nearby park","12","Entire townhouse","4.5","https://www.airbnb.com/rooms/17134926"
"Park City, Utah, United States","40.67343","-111.50307","Fully remodeled home with golf  & mountain views!","9","Entire townhouse","5","https://www.airbnb.com/rooms/39358593"
"Deer Valley, Utah, United States","40.645","-111.482","4 Bedroom Townhome located minutes from the lifts","12","Entire townhouse","4.5","https://www.airbnb.com/rooms/15506798"
"Park City, Utah, United States","40.655","-111.509","True Ski-in/Out 5 BDR w/ Stunning Mountain Views!","14","Entire condo","5","https://www.airbnb.com/rooms/45532488"
"Park City, Utah, United States","40.64651","-111.49911","Amazing Location Park City House","8","Entire home","5","https://www.airbnb.com/rooms/20679808"
"Cottonwood Heights, Utah, United States","40.58859","-111.79254","Skier's retreat w/ private hot tub, wood fireplace and more!","12","Entire townhouse","5","https://www.airbnb.com/rooms/39795843"
"Park City, Utah, United States","40.69046","-111.55225","Park City - 2 Bedroom Condo","8","Entire condo",,"https://www.airbnb.com/rooms/45685750"
"Park City, Utah, United States","40.65714","-111.51558","Holiday Availability! Sublime Cottage, Silver Star #20, with screening room and private hot tub","16","Entire home",,"https://www.airbnb.com/rooms/23118316"
"Park City, Utah, United States","40.64972","-111.50642","Abode at King's Crown | Brand New! on Private PCMR Trail","9","Entire home","5","https://www.airbnb.com/rooms/45638277"
"Park City, Utah, United States","40.65033","-111.50463","Sweetwater Lift Lodge 3 Bedroom Loft","10","Room in aparthotel",,"https://www.airbnb.com/rooms/53261519"
"Park City, Utah, United States","40.68408","-111.55381","Ski-In/Out Condo w/Mtn Views, Balcony, Shared Pool, Hot Tub, Game Room, Gym","4","Entire condo","4.5","https://www.airbnb.com/rooms/53515625"
"Park City, Utah, United States","40.63942","-111.49675","Abode at Treasure Hollow | Perfect Old Town Location | Luxury Amenities","11","Entire home","5","https://www.airbnb.com/rooms/33828434"
"Park City, Utah, United States","40.63946","-111.49781","Abode on Sampson | Walk to Historic Main Street!","10","Entire home","4.5","https://www.airbnb.com/rooms/20636378"
"Park City, Utah, United States","40.64035","-111.47781","4 Bedroom Walking Distance to Deer Valley","12","Entire condo",,"https://www.airbnb.com/rooms/39629467"
"Park City, Utah, United States","40.66355","-111.49444","Spacious 2Bedroom - Ideal for Sundance. Location!","8","Private room in resort",,"https://www.airbnb.com/rooms/53571425"
"Park City, Utah, United States","40.649","-111.474","Scarlett by AvantStay | Spacious Mountain Home w/ Gorgeous Views & Hot Tub","16","Entire home","5","https://www.airbnb.com/rooms/45141476"
"Park City, Utah, United States","40.68759","-111.55498","Slopeside Penthouse + Jetted Tub | Vaulted Ceiling and Gas Fireplace","4","Entire condo",,"https://www.airbnb.com/rooms/35420304"
"Park City, Utah, United States","40.64695","-111.47412","Beautiful Townhouse by Deer Valley","7","Entire townhouse","5","https://www.airbnb.com/rooms/1422467"
"Park City, Utah, United States","40.685","-111.556","Spacious Unit, with Firepace, for Your Mountain Getaway","4","Entire condo",,"https://www.airbnb.com/rooms/21657830"
"Park City, Utah, United States","40.65371","-111.50349","Walking Distance to Park City Ski Resort/Main St.","6","Entire condo","5","https://www.airbnb.com/rooms/41288899"
"Holladay, Utah, United States","40.63892","-111.797","Views of  Entire Salt Lake Valley","12","Entire guesthouse","4.5","https://www.airbnb.com/rooms/16605980"
"Park City, Utah, United States","40.6843","-111.55089","Three-Story Ski-In/Ski-Out Townhouse w/ Free WiFi, Shared Pool, Hot Tub, Tennis","8","Entire townhouse","4.5","https://www.airbnb.com/rooms/49708135"
"Park City, Utah, United States","40.68286","-111.55648","Entire condominium- Park City, UT Westgate Resorts","4","Private room in resort",,"https://www.airbnb.com/rooms/50180855"
"Deer Valley, Utah, United States","40.645","-111.48","Free Shuttle to the lifts! Fantastic lake views! L","14","Entire townhouse","4.5","https://www.airbnb.com/rooms/15506772"
"Park City, Utah, United States","40.689","-111.549","Ski condo at the Canyons resort across from lift","9","Entire condo","5","https://www.airbnb.com/rooms/43820603"
"Park City, Utah, United States","40.686","-111.556","Renovated studio with all of the necessities","4","Entire condo",,"https://www.airbnb.com/rooms/22096827"
"Park City, Utah, United States","40.68562","-111.55556","Prime location, Park City Ski-in, Ski-out resort","4","Entire guest suite",,"https://www.airbnb.com/rooms/30539051"
"Park City, Utah, United States","40.646","-111.479","Amazing Views - Deer Valley - 4BD - Hot Tub","12","Entire townhouse","5","https://www.airbnb.com/rooms/22342134"
"Park City, Utah, United States","40.65235","-111.50569","Two Bedroom at the base of Park City Mountain Village","4","Entire condo",,"https://www.airbnb.com/rooms/43898081"
"Park City, Utah, United States","40.62262","-111.4997","Abode at Arrowleaf Overlook | Elevate Your Vacation w/ Lux Mtn. Amenities, DV Access + Shuttle","7","Entire condo",,"https://www.airbnb.com/rooms/51000643"
"Park City, Utah, United States","40.64214","-111.47794","Best Kept Secret in Deer Valley!","4","Entire condo","5","https://www.airbnb.com/rooms/15938261"
"Park City, Utah, United States","40.65905","-111.51524","Beautiful Ski-In/Out at Park City Mountain Base","10","Entire condo","5","https://www.airbnb.com/rooms/28660903"
"Park City, Utah, United States","40.68415","-111.55704","Unit C306 w/ View of Mountain","4","Entire condo","5","https://www.airbnb.com/rooms/7913318"
"Park City, Utah, United States","40.685","-111.55631","2 Bedroom luxury ski resort condo, sleeps 8","8","Entire vacation home",,"https://www.airbnb.com/rooms/53892866"
"Park City, Utah, United States","40.649","-111.502","Designer Luxury Skicrest home - hot tub/steps to ski lifts","9","Entire home","5","https://www.airbnb.com/rooms/13440"
"Park City, Utah, United States","40.69285","-111.54848","Frostwood ""Summer Fun"" Golf Villa","10","Entire townhouse","5","https://www.airbnb.com/rooms/34736961"
"Park City, Utah, United States","40.68557","-111.55504","Remodeled Canyons/Park City Studio-Silverado","3","Entire condo","5","https://www.airbnb.com/rooms/39328568"
"Park City, Utah, United States","40.65347","-111.5093","Snow Flower #158, SKI-IN/SKI-OUT to Park City Mountain","10","Entire condo",,"https://www.airbnb.com/rooms/46678762"
"Sundance, Utah, United States","40.39609","-111.59222","Sundance Mt. home...sleeps 10...5 STAR!!","10","Entire cabin","5","https://www.airbnb.com/rooms/46468490"
"Park City, Utah, United States","40.65303","-111.50535","Apres Ski Lodge With Hot Tub","9","Entire home","5","https://www.airbnb.com/rooms/51685812"
"Park City, Utah, United States","40.691","-111.551","Stunning! 3 minute walk to lift - Beautiful pool c","12","Entire townhouse","5","https://www.airbnb.com/rooms/38783133"
"Park City, Utah, United States","40.65371","-111.51122","Snow Flower #32, SKI-IN/SKI-OUT to Park City Mountain","10","Entire condo",,"https://www.airbnb.com/rooms/46676480"
"Park City, Utah, United States","40.68381","-111.5577","Ski-in/Ski-out Access in Park City | Loft Condo + Access to Outdoor Hot Tub and Swimming Pool","4","Entire condo",,"https://www.airbnb.com/rooms/26009053"
"Park City, Utah, United States","40.68","-111.493","Quiet and Convenient Park City Retreat","10","Entire townhouse","5","https://www.airbnb.com/rooms/15071936"
"Holladay, Utah, United States","40.63076","-111.79873","*Indoor Pool+Theater*, Minutes from Ski Bus!","10","Entire guest suite","5","https://www.airbnb.com/rooms/28309279"
"Park City, Utah, United States","40.64728","-111.47632","Stunning 2 BDR + Loft w/ Private Hot Tub & Sauna!","8","Entire condo","5","https://www.airbnb.com/rooms/30510308"
"Park City, Utah, United States","40.64325","-111.48128","Deer Valley Lakeside Estate-Must See Remodeled Townhome - Location, Shuttle","14","Entire townhouse","4.5","https://www.airbnb.com/rooms/24498766"
