"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Carlton Landing, Oklahoma, United States","35.2061","-95.54755","Carlton Landing-HeatherCliff","14","Entire home","5","https://www.airbnb.com/rooms/53858239"
"Shinjuku City, Tōkyō-to, Japan","35.69226","139.70911","【B6】Central Shinjuku Tokyo Studio Fast Wi-fi","2","Entire rental unit","5","https://www.airbnb.com/rooms/42439662"
"Chicago, Illinois, United States","42.01651","-87.66575","Lang House Chicago - where Art & Architecture meet","14","Entire home","5","https://www.airbnb.com/rooms/30811588"
"Spencer, New York, United States","42.34015","-76.50221","Scenic country home close to Ithaca","8","Entire home","5","https://www.airbnb.com/rooms/32570321"
"Ilford, near Ilminster, England, United Kingdom","50.95487","-2.90359","The Wagon House (UK12812)","4","Entire home",,"https://www.airbnb.com/rooms/40933033"
"North Cape May, New Jersey, United States","38.97504","-74.95842","Spacious North Cape May Home  Block to the Beach","6","Entire home","5","https://www.airbnb.com/rooms/39055264"
"Badgworth, near Axbridge, England, United Kingdom","51.26786","-2.86984","Russet - UK30503 (UK30503)","8","Entire home","4.5","https://www.airbnb.com/rooms/42705251"
"Teulada, Comunidad Valenciana, Spain","38.686","0.12278","MARETA - Managed by Almarina Villas","6","Entire villa","4.5","https://www.airbnb.com/rooms/52765001"
"Beausoleil, Provence-Alpes-Côte d'Azur, France","43.73914","7.4139","⭐5 minutes from MONACO⭐Amazing Flat-New and Bright","2","Entire rental unit","4.5","https://www.airbnb.com/rooms/15457202"
"Savannah, Georgia, United States","32.06231","-81.093","Modern Luxe Sophistication, Near Forsyth","14","Entire home","5","https://www.airbnb.com/rooms/36623069"
"Winder, Georgia, United States","33.91319","-83.62148","Residential Home Oconee Co. Game Day in Athens","4","Entire home","5","https://www.airbnb.com/rooms/38619496"
"Calella, Catalunya, Spain","41.613","2.656","Studio duplex, your second home in Calella","2","Entire rental unit","5","https://www.airbnb.com/rooms/43331137"
"Cilmery, United Kingdom","52.15825","-3.45779","Hafan Llewelyn","6","Entire home","5","https://www.airbnb.com/rooms/25526649"
"Desenzano del Garda, Lombardy, Italy","45.424","10.607","Dimora storica con parco e piscina","12","Entire villa","5","https://www.airbnb.com/rooms/13104329"
"Paris, Île-de-France, France","48.87212","2.34953","Luxurious and new apartment in the center of Paris","8","Entire rental unit","4.5","https://www.airbnb.com/rooms/53120782"
"La Chapelle-du-Mont-du-Chat, Auvergne-Rhône-Alpes, France","45.70646","5.85257","LES TERRASSES DU LAC","10","Entire villa",,"https://www.airbnb.com/rooms/53509587"
"Obertauern, Salzburg, Austria","47.24951","13.54015","Nice flat near to ski lifts","4","Entire rental unit",,"https://www.airbnb.com/rooms/717045820059346300"
"Herzliya, Tel Aviv District, Israel","32.16023","34.79223","Olala Marina Apartment 7/113 |Terrace with Seaview","10","Entire rental unit","4.5","https://www.airbnb.com/rooms/44454506"
"Porthleven, United Kingdom","50.082","-5.315","Samphire Cottage","6","Entire home",,"https://www.airbnb.com/rooms/22117365"
"Cape Town, Western Cape, South Africa","-33.96702","18.37608","Sunset Bay Villa - Camps Bay","6","Entire villa","4.5","https://www.airbnb.com/rooms/46889936"
"New York, United States","40.82401","-73.94247","Huge Designer Townhome |Private Backyard|","13","Entire townhouse","5","https://www.airbnb.com/rooms/35451163"
"Driggs, Idaho, United States","43.731","-111.116","Tributary 4 BR Home in Driggs, ID","8","Entire home","5","https://www.airbnb.com/rooms/43908989"
"Eyragues, Provence-Alpes-Côte d'Azur, France","43.84036","4.84022","Authentique mas à 2 pas de Saint-Remy de Provence","6","Entire villa","5","https://www.airbnb.com/rooms/50635011"
"New York, United States","40.72024","-73.99492","Stunning 2 Bed/2 Bath in prime Nolita/Soho","6","Entire condo","5","https://www.airbnb.com/rooms/40093570"
