"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Homewood, California, United States","39.10442","-120.16879","Modern A frame, featured in Atomic Ranch","4","Entire cabin","5","https://www.airbnb.com/rooms/46054184"
"Tahoe City, California, United States","39.144","-120.154","Tahoe House with hot tub - near lake & HOA beach","8","Entire home","5","https://www.airbnb.com/rooms/444363"
"Tahoe City, California, United States","39.19326","-120.0948","Modern Mountain Getaway at Chinquapin | #5","8","Entire townhouse","5","https://www.airbnb.com/rooms/40892605"
"Truckee, California, United States","39.27991","-120.11437","Expansive Truckee Cabin w/ Deck & Resort Amenities","10","Entire cabin","5","https://www.airbnb.com/rooms/20216528"
"South Lake Tahoe, California, United States","38.85945","-120.01287","Sweeping mountain views,  hot tub, and pool table","8","Entire chalet","5","https://www.airbnb.com/rooms/16191163"
"Roseville, California, United States","38.76226","-121.34355","Cheerful 3 Bedroom house in Roseville","4","Entire home","5","https://www.airbnb.com/rooms/52886063"
"Tahoe City, California, United States","39.147","-120.167","Great location! Pool table, sauna, and game room!","8","Entire home","5","https://www.airbnb.com/rooms/40864323"
"Truckee, California, United States","39.274","-120.121","Big Horn Lodge 309 - Luxury Slopeside 1 Bedroom","4","Entire condo","5","https://www.airbnb.com/rooms/33970865"
"Olympic Valley, California, United States","39.176","-120.228","Alpine Darling- Hot Tub- Pet Friendly- 3 Minute Drive to Palisades Tahoe","8","Entire cabin","5","https://www.airbnb.com/rooms/5275215"
"Carnelian Bay, California, United States","39.22939","-120.0759","Luxury Tahoe A-Frame Walking Distance To Lake","4","Entire home","5","https://www.airbnb.com/rooms/26539225"
"Tahoe Vista, California, United States","39.24006","-120.05578","Romance Suite Cottage at Cedar Glen Lodge","2","Room in boutique hotel","5","https://www.airbnb.com/rooms/32892482"
"Tahoma, California, United States","39.06105","-120.13497","Affordable Luxury-Fastest area Wifi Fall Fun","8","Entire home","5","https://www.airbnb.com/rooms/1134473"
"Alpine Meadows, California, United States","39.181","-120.21672","Ski Lease - 3 Bedrooms, Alpine (Palisades)","6","Entire home","5","https://www.airbnb.com/rooms/46173623"
"Olympic Valley, California, United States","39.19605","-120.2387","Squaw Valley, lodge4B, resort,village,ski in/out","3","Entire condo","4.5","https://www.airbnb.com/rooms/16663044"
"Tahoma, California, United States","39.05702","-120.12813","Classic West Shore Cabin w/Hot Tub, Walk to Lake!","8","Entire cabin","5","https://www.airbnb.com/rooms/47788000"
"Tahoe City, California, United States","39.18648","-120.10041","Dollar Point Lookout - Dog Friendly, Lake Views","8","Entire cabin","4.5","https://www.airbnb.com/rooms/30443084"
"Tahoe City, California, United States","39.137","-120.157","Honeymoon Cottage - Tahoe City, West Shore, Private Hot Tub, Dog Friendly","4","Entire cabin","4.5","https://www.airbnb.com/rooms/23274796"
"Tahoe Vista, California, United States","39.23892","-120.03502","5 Right on Lake Tahoe - 2 bd 2 bth condo downstair","4","Entire condo",,"https://www.airbnb.com/rooms/22793273"
"Truckee, California, United States","39.27541","-120.12094","New Listing in the Village at Northstar","9","Entire condo",,"https://www.airbnb.com/rooms/53752775"
"Colfax, California, United States","39.05909","-120.954","Mountain Home in the Pines","12","Entire home","5","https://www.airbnb.com/rooms/5991930"
"Tahoe Vista, California, United States","39.241","-120.057","Anniversary Suite Cottage","4","Room in boutique hotel","5","https://www.airbnb.com/rooms/32893281"
"Soda Springs, California, United States","39.30479","-120.38942","Mountain Home w/ Free WiFi, Private Washer/Dryer, and Full Kitchen","8","Entire home","4.5","https://www.airbnb.com/rooms/46727186"
"Tahoe Vista, California, United States","39.25675","-120.06039","Peaceful Tahoe Cabin  off Tahoe Rim Trail w/ Wifi","2","Entire cabin",,"https://www.airbnb.com/rooms/48451252"
"South Lake Tahoe, California, United States","38.91768","-120.01893","Multi Level A-Frame Cabin w/ private hot tub/sauna","8","Entire cabin","5","https://www.airbnb.com/rooms/626011"
"Placerville, California, United States","38.72676","-120.72703","Blue Rhapsody Retreat","6","Entire home","5","https://www.airbnb.com/rooms/5660527"
