"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Kalkaska, Michigan, United States","44.82265","-84.89435","North Blue Lake Escape - 1/4mi to Blue Bear Trail!","8","Entire home","5","https://www.airbnb.com/rooms/35837378"
"Bellaire, Michigan, United States","44.947","-85.12","Leister Kabine: Our cozy cabin in the woods","6","Entire cabin","5","https://www.airbnb.com/rooms/43317327"
"Bellaire, Michigan, United States","44.96841","-85.13987","A-Frame on the Cedar River","4","Entire chalet","5","https://www.airbnb.com/rooms/47855001"
"Boyne Valley Township, Michigan, United States","45.16769","-84.93318","628 Disciples Village","12","Entire condo",,"https://www.airbnb.com/rooms/45667265"
"Elk Rapids, Michigan, United States","44.89557","-85.41861","Swan Float Inn- Perfect Location in Elk Rapids!","10","Entire home","4.5","https://www.airbnb.com/rooms/11315139"
"Boyne Falls, Michigan, United States","45.16756","-84.91509","Breathtaking Boyne Mountain!!!","6","Room in boutique hotel","5","https://www.airbnb.com/rooms/15929345"
"Elk Rapids, Michigan, United States","44.89729","-85.41311","Enchanting Victoria Place in Elk Rapids, MI","8","Entire home",,"https://www.airbnb.com/rooms/21263122"
"Elk Rapids, Michigan, United States","44.88612","-85.39975","Elk Lake Accommodation - 46","6","Entire rental unit","5","https://www.airbnb.com/rooms/43421338"
"Torch Lake Township, Michigan, United States","45.09578","-85.36383","🏘️ Stunning New 4BDR Golf House by Torch Lake!","12","Entire home","5","https://www.airbnb.com/rooms/52026926"
"Bellaire, Michigan, United States","44.95648","-85.13345","Historic Cedar Springs Lodge","10","Entire cabin","5","https://www.airbnb.com/rooms/19700549"
"Mancelona, Michigan, United States","44.97987","-85.00149","Snowmobilers Paradise","10","Entire cabin","5","https://www.airbnb.com/rooms/37251712"
"Central Lake, Michigan, United States","45.02131","-85.2037","The Avey Cottage","6","Entire cottage","5","https://www.airbnb.com/rooms/48902114"
"East Jordan, Michigan, United States","45.1606","-85.15024","Lakefront Charlevoix - book your fall vacation","7","Entire home","5","https://www.airbnb.com/rooms/28561956"
"Bellaire, Michigan, United States","44.93854","-85.19217","Immaculate Shanty/Schuss Mountain home","9","Entire cabin","5","https://www.airbnb.com/rooms/31058311"
"Kewadin, Michigan, United States","45.02158","-85.35099","Ski Condo by Torch Lake","8","Entire townhouse","5","https://www.airbnb.com/rooms/29739396"
"Elk Rapids, Michigan, United States","44.92927","-85.37911","Birch Lake Retreat","8","Entire home","5","https://www.airbnb.com/rooms/16187374"
"Bellaire, Michigan, United States","44.94933","-85.18254","Great Getaway- Close to Everything!","11","Entire condo","5","https://www.airbnb.com/rooms/45973756"
"Boyne Falls, Michigan, United States","45.16388","-84.93124","HillTop! Ski out- Walk to Boyneland lift-Sleeps 10","10","Entire condo","5","https://www.airbnb.com/rooms/31284012"
"Boyne Falls, Michigan, United States","45.1666","-84.93499","781 Disciples Village Condo","9","Entire condo","4.5","https://www.airbnb.com/rooms/32888158"
"East Jordan, Michigan, United States","45.17827","-85.1474","Sadie's Retreat","6","Entire cottage",,"https://www.airbnb.com/rooms/46698539"
"Elk Rapids, Michigan, United States","44.89788","-85.41207","Beautiful Home just steps to Downtown Elk Rapids!","8","Entire home","5","https://www.airbnb.com/rooms/32138627"
"Boyne Falls, Michigan, United States","45.16724","-84.93198","542L Mountain Villa","8","Entire condo","4.5","https://www.airbnb.com/rooms/32888072"
"Elk Rapids, Michigan, United States","44.88677","-85.40012","Elk Lake Beachfront Condo - 503","7","Entire condo",,"https://www.airbnb.com/rooms/43019679"
"Elk Rapids, Michigan, United States","44.89811","-85.41224","Downtown Elk Rapids 3 bedroom","6","Entire condo",,"https://www.airbnb.com/rooms/11160521"
"Boyne Falls, Michigan, United States","45.15826","-84.92521","Boyne Falls, MI.-Mountain Resort-1Bd","4","Entire condo",,"https://www.airbnb.com/rooms/52312673"
