"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Antioch, Illinois, United States","42.47434","-88.14495","Spacious Lake House on Channel Lake","10","Entire home","4.5","https://www.airbnb.com/rooms/45140241"
"Wonder Lake, Illinois, United States","42.40156","-88.34329","Luxury Lake House Oasis. 3000sqft of HEAVEN!","12","Entire home","5","https://www.airbnb.com/rooms/37859993"
"Rockford, Illinois, United States","42.25548","-89.04548","Hidden Gem Spanish Style Villa","8","Entire home","5","https://www.airbnb.com/rooms/40321752"
"Fontana-on-Geneva Lake, Wisconsin, United States","42.54005","-88.54633","Abbey Springs 5 Star Resort on Lake Geneva","9","Entire townhouse","5","https://www.airbnb.com/rooms/45503217"
"Twin Lakes, Wisconsin, United States","42.522","-88.248","*New!* Edgewater Cottage","7","Entire cottage",,"https://www.airbnb.com/rooms/48730830"
"Lake Geneva, Wisconsin, United States","42.54866","-88.48306","Fully renovated House in Lake Geneva","6","Entire home",,"https://www.airbnb.com/rooms/51288220"
"Waukegan, Illinois, United States","42.39708","-87.86481","Fun tap for black walnut syrup, pick walnuts,enjoy","10","Tent",,"https://www.airbnb.com/rooms/46967332"
"Des Plaines, Illinois, United States","42.0505","-87.85813","Des Plaines FHS Rental","8","Entire home",,"https://www.airbnb.com/rooms/51657377"
"Lake Geneva, Wisconsin, United States","42.58376","-88.42601","HOT TUB HOUSE","6","Entire home",,"https://www.airbnb.com/rooms/24163706"
"Mount Pleasant, Wisconsin, United States","42.73","-87.842","Bright & Cheerful 5- Bedroom residential home!","12","Entire home","5","https://www.airbnb.com/rooms/51038953"
"Williams Bay, Wisconsin, United States","42.57952","-88.55748","Williams Bay Lake Geneva WI Year Round GetAway","10","Entire home","4.5","https://www.airbnb.com/rooms/31864875"
"Lake Geneva, Wisconsin, United States","42.59666","-88.43463","Medusa Downtown Suites 2 and 3","14","Entire rental unit","5","https://www.airbnb.com/rooms/31352405"
"Trevor, Wisconsin, United States","42.49692","-88.10502","Living the best of both worlds!! Country+City","6","Farm stay",,"https://www.airbnb.com/rooms/51078794"
"Burlington, Wisconsin, United States","42.68953","-88.23511","Spacious Family Lake House in Quiet Neighborhood","16","Entire home","4.5","https://www.airbnb.com/rooms/33995301"
"Lake Geneva, Wisconsin, United States","42.588","-88.43","HAZEL'S HIDEAWAY - A Downtown Lake Geneva Gem!","10","Entire townhouse","5","https://www.airbnb.com/rooms/31466161"
"Genoa City, Wisconsin, United States","42.55276","-88.3028","Powers Lake Family Getaway","7","Entire home","5","https://www.airbnb.com/rooms/35907595"
"Lake Geneva, Wisconsin, United States","42.61122","-88.40407","2 Bedroom villa at Lake Geneva's most GRAND Resort","8","Entire condo","5","https://www.airbnb.com/rooms/16600913"
"Elkhorn, Wisconsin, United States","42.74663","-88.56047","Stonefire Cottage at Lake Wandawega","8","Entire home","5","https://www.airbnb.com/rooms/2472804"
"Lake Geneva, Wisconsin, United States","42.60602","-88.48641","“A Bit of Heaven” by the Lake","8","Entire home","5","https://www.airbnb.com/rooms/26366147"
"Lake Geneva, Wisconsin, United States","42.593","-88.435","Downtown Nautical Cottage on Geneva Street","10","Entire rental unit","5","https://www.airbnb.com/rooms/43602738"
"Delavan, Wisconsin, United States","42.63189","-88.63436","Spacious Pet-friendly home","13","Entire home","5","https://www.airbnb.com/rooms/52694688"
"Elkhorn, Wisconsin, United States","42.67088","-88.56493","Spacious Family Getaway, Near Lake Geneva/Delavan","8","Entire home","4.5","https://www.airbnb.com/rooms/50144873"
"Lake Geneva, Wisconsin, United States","42.61275","-88.40355","2 Bdrm lockoff villa at Lake Geneva's GRAND Resort","8","Entire condo",,"https://www.airbnb.com/rooms/54127300"
"Elkhorn, Wisconsin, United States","42.74334","-88.55751","Sugar Creek Lake House is OPEN! - nightly/monthly","4","Entire home","4.5","https://www.airbnb.com/rooms/6487931"
"Lake Geneva, Wisconsin, United States","42.58363","-88.51153","Interlaken Villa Near Lake Geneva with access to outdoor pool - R&R Inn","6","Entire condo","4","https://www.airbnb.com/rooms/23499527"
