"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Angel Fire, New Mexico, United States","36.38626","-105.27569","Mountain decor condo with forest views & easy snowboard access","12","Entire condo","4.5","https://www.airbnb.com/rooms/18754530"
"Angel Fire, New Mexico, United States","36.389","-105.275","2 bedroom condo with a loft and a balcony less than two blocks from the slopes!","8","Entire condo",,"https://www.airbnb.com/rooms/53541646"
"Angel Fire, New Mexico, United States","36.38942","-105.27576","2 bedroom condo with an elevator","6","Entire condo",,"https://www.airbnb.com/rooms/53541605"
"Angel Fire, New Mexico, United States","36.38901","-105.27385","1 bedroom condo with covered parking and a wood burning fireplace less than two blocks from the slopes!","4","Entire condo",,"https://www.airbnb.com/rooms/53541604"
"Angel Fire, New Mexico, United States","36.389","-105.275","1 bedroom condo two blocks from the slopes!","4","Entire condo",,"https://www.airbnb.com/rooms/53541579"
"Angel Fire, New Mexico, United States","36.389","-105.275","1 bedroom condo with a loft","6","Entire condo",,"https://www.airbnb.com/rooms/53541626"
"Angel Fire, New Mexico, United States","36.388","-105.273","1 bedroom condo one block from the chair lift!","4","Entire condo",,"https://www.airbnb.com/rooms/53541527"
"Angel Fire, New Mexico, United States","36.388","-105.271","1 bedroom condo with a loft that sleeps 6","6","Entire condo",,"https://www.airbnb.com/rooms/53541700"
"Angel Fire, New Mexico, United States","36.38804","-105.2755","2 bedroom condo with a balcony","8","Entire condo",,"https://www.airbnb.com/rooms/53541610"
"Angel Fire, New Mexico, United States","36.388","-105.273","2 bedroom condo sleeps up to 6","6","Entire condo",,"https://www.airbnb.com/rooms/53541541"
"Angel Fire, New Mexico, United States","36.388","-105.278","2 bedroom condo with a loft that sleeps up to 14 and is just three blocks from the slopes!","14","Entire condo",,"https://www.airbnb.com/rooms/53541686"
"Angel Fire, New Mexico, United States","36.387","-105.271","2 bedroom condo with loft just over a block from the chair lift!","8","Entire condo",,"https://www.airbnb.com/rooms/53541712"
"Angel Fire, New Mexico, United States","36.389","-105.275","1 bedroom condo with a loft that sleeps up to six less than two blocks from the slopes!","6","Entire condo",,"https://www.airbnb.com/rooms/53541647"
"Angel Fire, New Mexico, United States","36.389","-105.275","2 bedroom sleeps 6 with adjoining full bathroom, and the sleeping loft for the kids with two singles less than two blocks from the slopes! Unit 309 is a corner unit which provides both quiet and privacy.","6","Entire condo",,"https://www.airbnb.com/rooms/54079212"
"Angel Fire, New Mexico, United States","36.388","-105.273","1 bedroom condo one block from the chair lift!","4","Entire condo",,"https://www.airbnb.com/rooms/53541533"
"Angel Fire, New Mexico, United States","36.39","-105.273","2 bedroom condo that sleeps up to 10 with only three steps leading to the entrance less than two blocks from the slopes!","8","Entire condo",,"https://www.airbnb.com/rooms/53541656"
"Angel Fire, New Mexico, United States","36.38709","-105.27274","Angel Fire, Skiing/Snowboarding, Golf, Biking","6","Entire home",,"https://www.airbnb.com/rooms/48065103"
"Angel Fire, New Mexico, United States","36.388","-105.271","2 bedroom condo with a loft sleeps up to 10 and less than two blocks from the slopes!","8","Entire condo",,"https://www.airbnb.com/rooms/53541710"
"Angel Fire, New Mexico, United States","36.389","-105.275","2 bedroom condo two blocks from the slopes","4","Entire condo",,"https://www.airbnb.com/rooms/53541629"
"Angel Fire, New Mexico, United States","36.389","-105.275","1 bedroom condo with a wood burning fireplace","4","Entire condo",,"https://www.airbnb.com/rooms/53541642"
"Angel Fire, New Mexico, United States","36.389","-105.272","2 bedroom condo with a fireplace","6","Entire condo",,"https://www.airbnb.com/rooms/53541554"
"Angel Fire, New Mexico, United States","36.36619","-105.29986","Wildlife Views; Cozy Wood Burning Stove! Althenwood","8","Entire home",,"https://www.airbnb.com/rooms/39991475"
"Angel Fire, New Mexico, United States","36.391","-105.28","2 bedroom plus bunk room,  two bathrooms ground floor condo sleeps six . Pet friendly","6","Entire condo",,"https://www.airbnb.com/rooms/54079206"
"Angel Fire, New Mexico, United States","36.388","-105.276","3 Bedroom Condo Across Street from Shuttle Stop.  Only 1.5 blocks from chairlift","9","Entire condo",,"https://www.airbnb.com/rooms/53541551"
"Angel Fire, New Mexico, United States","36.39","-105.273","1 bedroom condo with a loft and a wood burning fireplace less than two blocks from the slopes!","6","Entire condo",,"https://www.airbnb.com/rooms/53541662"
