"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Baker City, Oregon, United States","44.78018","-117.83095","Bela Kadish: Steampunk Manor House Entire 2 Story","8","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/50878224"
"Baker City, Oregon, United States","44.773","-117.818","Entire Wunder Mine Estate, for 20+ Ski Disc. 10%","16","Entire home","5","https://www.airbnb.com/rooms/43787461"
"Baker City, Oregon, United States","44.80162","-117.8198","Big County Coach -  
Your Modern Day Covered Wagon","4","Camper/RV",,"https://www.airbnb.com/rooms/28460719"
"Huntington, Oregon, United States","44.548","-117.15","Chukar Flats on the Snake River. Gateway to hell","16","Entire home","4.5","https://www.airbnb.com/rooms/18644087"
"Baker City, Oregon, United States","44.77666","-117.82828","Parlor Suite","6","Room in boutique hotel","4.5","https://www.airbnb.com/rooms/16768805"
"Huntington, Oregon, United States","44.354","-117.249","Barber Ranch-Dog Friendly. Private. 200 Acres","8","Entire home","5","https://www.airbnb.com/rooms/17745604"
"Baker City, Oregon, United States","44.76932","-117.84507","Cheery Residential Home, Sleeps 4-6","6","Entire home","5","https://www.airbnb.com/rooms/52995520"
"Baker City, Oregon, United States","44.84174","-117.9621","The George House, Sleeps 8+","8","Entire home","5","https://www.airbnb.com/rooms/42335260"
"Baker City, Oregon, United States","44.78026","-117.83144","The Blue Door Inn - Whole House","10","Entire home","5","https://www.airbnb.com/rooms/53127828"
"Baker City, Oregon, United States","44.781","-117.909","Amazing Views! Whispering Pines Lodge Ski Disc 10%","16","Entire home","5","https://www.airbnb.com/rooms/51231249"
"Baker City, Oregon, United States","44.78151","-117.83271","Three Story Home, in downtown Baker City","8","Entire home","5","https://www.airbnb.com/rooms/52055847"
"Baker City, Oregon, United States","44.81382","-118.00049","Good Bear Ranch House Retreat","16","Entire cabin","4.5","https://www.airbnb.com/rooms/4334725"
"Baker City, Oregon, United States","44.773","-117.818","The Wunder House, Sleeps 16, Hot Tub, Ski Disc 10%","16","Entire home","5","https://www.airbnb.com/rooms/32065301"
"Haines, Oregon, United States","44.97673","-117.99277","Mountain View Lodge","10","Entire home","5","https://www.airbnb.com/rooms/39363981"
"Baker City, Oregon, United States","44.8488","-117.99238","Elkhorn Mountain View Getaway w/ Hot Tub","10","Entire home","5","https://www.airbnb.com/rooms/44944160"
