"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Denver, Colorado, United States","39.70157","-105.02829","Big Fruit Apartment","4","Entire home",,"https://www.airbnb.com/rooms/32675833"
"Aurora, Colorado, United States","39.62594","-104.74899","Home near southlands","5","Entire rental unit",,"https://www.airbnb.com/rooms/34468249"
"Denver, Colorado, United States","39.72039","-104.97947","Cozy and private house 2 bedrooms.","3","Entire bungalow","5","https://www.airbnb.com/rooms/36417361"
"Aurora, Colorado, United States","39.7239","-104.87217","Entire Home away from home","12","Entire home","4.5","https://www.airbnb.com/rooms/44280592"
"Denver, Colorado, United States","39.71346","-104.98361","Stay 29+ nights! Updated home West Washington Park","3","Entire home","4","https://www.airbnb.com/rooms/1179701"
"Centennial, Colorado, United States","39.60418","-104.96226","Casa Bella Anna, LLC.","8","Entire home","5","https://www.airbnb.com/rooms/9026588"
"Denver, Colorado, United States","39.738","-104.982","1 Bedroom","2","Private room in home","5","https://www.airbnb.com/rooms/42860718"
"Denver, Colorado, United States","39.73885","-105.04069","4 FULL Bedrooms w / Theater Room!","10","Entire home","4.5","https://www.airbnb.com/rooms/39502843"
"Denver, Colorado, United States","39.72753","-104.99819","Modern Town Home in Santa Fe District","3","Entire townhouse","5","https://www.airbnb.com/rooms/50777879"
"Denver, Colorado, United States","39.70135","-104.98203","Exquisite & Spacious Wash Park 2 BD Getaway","4","Entire rental unit","4.5","https://www.airbnb.com/rooms/24931284"
"Denver, Colorado, United States","39.73721","-104.97411","1887Victorian3bed2Bath-hot tub, DownTown 420Okay","8","Entire home","5","https://www.airbnb.com/rooms/10747925"
"Denver, Colorado, United States","39.735","-104.981","Goldbanner Suite:  GOURMET BREAKFAST INCLUDED","2","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/32494133"
"Denver, Colorado, United States","39.72035","-104.99523","Artistic Bungalow walking distance to S. Broadway!","4","Entire home","5","https://www.airbnb.com/rooms/12233036"
"Denver, Colorado, United States","39.735","-104.981","Shooting Star Room: GOURMET BREAKFAST INCLUDED","2","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/32493523"
"Denver, Colorado, United States","39.73849","-104.99493","Stunning Modern 3 Bedroom With Rooftop Deck","6","Entire townhouse",,"https://www.airbnb.com/rooms/36874585"
"Denver, Colorado, United States","39.72674","-104.9677","303-710-7546 Walk to Parks, Restaurants, Grocery","2","Private room in home",,"https://www.airbnb.com/rooms/8166027"
"Denver, Colorado, United States","39.738","-104.982","1 Bedroom with View","2","Private room in home","5","https://www.airbnb.com/rooms/42857598"
"Denver, Colorado, United States","39.7229","-104.95552","Steps from all the fun in Cherry Creek North","6","Entire condo",,"https://www.airbnb.com/rooms/45568873"
"Denver, Colorado, United States","39.68448","-105.01864","Beautiful Remodel 3bdrm/1bath w/ Parking! Pets OK!","6","Entire guest suite",,"https://www.airbnb.com/rooms/53417076"
"Denver, Colorado, United States","39.73532","-104.9832","Duplex in Cap Hill! Walk to Convention Center!","6","Entire townhouse","5","https://www.airbnb.com/rooms/6374807"
"Littleton, Colorado, United States","39.60472","-105.01287","Remodeled Home walk to Littleton Old Town, LRail","5","Entire home","4.5","https://www.airbnb.com/rooms/28865925"
"Centennial, Colorado, United States","39.6059","-104.97641","Ferris Place","6","Entire home","5","https://www.airbnb.com/rooms/8826117"
"Aurora, Colorado, United States","39.60381","-104.72755","Walkout basement  ONLY - 3/1","4","Entire guesthouse","3.5","https://www.airbnb.com/rooms/47140670"
"Denver, Colorado, United States","39.71796","-104.99352","Entire Home with 2 BR, 2 Bath, front and backyard","5","Entire home","5","https://www.airbnb.com/rooms/50209185"
"Littleton, Colorado, United States","39.58295","-105.01741","Walk to Old Town, Aspen Grove, Lightrail 3bd/2.5ba","8","Entire home","4.5","https://www.airbnb.com/rooms/15207947"
