"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Sun Valley, Idaho, United States","43.67523","-114.31546","Sagehill Townhome Elkhorn:Sun Valley, Idaho VIEWS!","10","Entire townhouse","4.5","https://www.airbnb.com/rooms/21591203"
"Sawtooth City, Idaho, United States","43.68778","-114.40258","Cozy Condo! Warm Springs side. Prime Location!","4","Entire condo","5","https://www.airbnb.com/rooms/40015978"
"Sun Valley, Idaho, United States","43.69164","-114.34725","Winter Availability! Remodeled Condo Walking Distance to Dollar Mountain","6","Entire rental unit",,"https://www.airbnb.com/rooms/53232299"
"Ketchum, Idaho, United States","43.67699","-114.36363","Waterfront Home w/ Deck, Balcony, Fireplace & Private W/D - Walk Downtown","4","Entire condo","4.5","https://www.airbnb.com/rooms/52687482"
"Ketchum, Idaho, United States","43.68599","-114.40337","Greyhawk Condo 09 - Just a Quick Walk to Bald Mt Skiing  | 2 Bedroom, 3 Bathroom","6","Entire condo","5","https://www.airbnb.com/rooms/27160549"
"Sun Valley, Idaho, United States","43.6953","-114.34645","Cozy Creekside Sun Valley condo","4","Entire condo","5","https://www.airbnb.com/rooms/9185887"
"Ketchum, Idaho, United States","43.68576","-114.4013","Winter Availability! Alluring  Condo with Hot Tub Access, Within Walking Distance to Chairlift","6","Entire rental unit","4.5","https://www.airbnb.com/rooms/20835413"
"Hailey, Idaho, United States","43.60654","-114.34061","Beautiful private home","8","Entire home","4.5","https://www.airbnb.com/rooms/200113"
"Sun Valley, Idaho, United States","43.69047","-114.3479","Holiday Availability! Peaceful Condo with Bald Mountain Views, a Short Walk to Sun Valley Village","6","Entire rental unit",,"https://www.airbnb.com/rooms/20829024"
"Sun Valley, Idaho, United States","43.682","-114.332","Townhouse in Sun Valley Elkhorn, Ketchum Idaho","5","Entire townhouse","4.5","https://www.airbnb.com/rooms/27439321"
"Sun Valley, Idaho, United States","43.68155","-114.33208","Updated quality condo, easy access to outdoors.","8","Entire condo","5","https://www.airbnb.com/rooms/48028369"
"Ketchum, Idaho, United States","43.6775","-114.36636","A place for Olympians, as was the owner.","6","Entire condo","4.5","https://www.airbnb.com/rooms/45032302"
"Sun Valley, Idaho, United States","43.68048","-114.33214","Bonne Vie Condo 2251 - New Listing! Great Views and Elkhorn Resort Hot Tub  | 4 Bedroom, 2 Bathroom","9","Entire condo","4.5","https://www.airbnb.com/rooms/50169261"
"Sun Valley, Idaho, United States","43.69126","-114.34985","Winter Availability! Sunny slope-side Condo with Private Deck and WIFI, Near Dollar Mountain","6","Entire rental unit","4.5","https://www.airbnb.com/rooms/23114131"
"Sun Valley, Idaho, United States","43.6934","-114.34718","Holiday Availability! Delightful Sun Valley Condo with Mountain Views and WIFI","4","Entire rental unit",,"https://www.airbnb.com/rooms/20829029"
"Sun Valley, Idaho, United States","43.6908","-114.34647","Snowcreek Condo 1554 - Newly Remodeled & Right Next to Dollar Mt Ski Lifts  | 3 Bedroom, 3.5 Bathroom","8","Entire condo",,"https://www.airbnb.com/rooms/42070356"
"Hailey, Idaho, United States","43.67951","-114.33308","Folksy Bonne Vie condo w/access to seasonal pools, hot tubs, tennis, and more!","6","Entire condo","4","https://www.airbnb.com/rooms/40750888"
"Elkhorn, Idaho, United States","43.68151","-114.33473","Winter Availability! Cozy Elkhorn Condo with WIIFI and Mountain Views","6","Entire rental unit",,"https://www.airbnb.com/rooms/20829060"
"Ketchum, Idaho, United States","43.67609","-114.36302","Bridgepoint Condo 8 - Updated plus Baldy Views, Walk to Downtown & Ski Lifts  | 3 Bedroom, 3 Bathroom","6","Entire condo","4.5","https://www.airbnb.com/rooms/27160511"
"Sun Valley, Idaho, United States","43.67937","-114.33146","Welcoming Condo with Shared Pool, Hot Tub, and Other Resort Amenities","4","Entire condo","5","https://www.airbnb.com/rooms/17165062"
"Sun Valley, Idaho, United States","43.67233","-114.31627","Comfortable Sun Valley Retreat","4","Entire condo","5","https://www.airbnb.com/rooms/41258869"
"Ketchum, Idaho, United States","43.67413","-114.36113","Sun Valley, Idaho - River Run - Ketchum - Condo","5","Entire condo","4.5","https://www.airbnb.com/rooms/31441020"
"Ketchum, Idaho, United States","43.67539","-114.36532","Holiday Availability! Charming Corner Condo with WIFI and Mountain Views; Short Walk to Ski Lifts","6","Entire rental unit","5","https://www.airbnb.com/rooms/20829030"
"Ketchum, Idaho, United States","43.68556","-114.37151","Centrally located condo with mountain views - on bike path","8","Entire condo","4.5","https://www.airbnb.com/rooms/29386632"
"Ketchum, Idaho, United States","43.67515","-114.36364","Luxury SunValley Condo across from ski resort.","4","Entire condo","4.5","https://www.airbnb.com/rooms/48426110"
