"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Wawona, California, United States","37.54773","-119.63596","Bear Crossing","8","Entire cabin","5","https://www.airbnb.com/rooms/5205398"
"Shaver Lake, California, United States","37.07609","-119.30064","The EDGE at Shaver Lake","5","Entire townhouse","5","https://www.airbnb.com/rooms/34680344"
"Dunlap, California, United States","36.768","-119.1","Lovely 2-bedroom cabin with mountain view","4","Entire vacation home","5","https://www.airbnb.com/rooms/654642420803118500"
"Shaver Lake, California, United States","37.11065","-119.32014","Elliott House  - Dogwood Suite","2","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/28199903"
"Yosemite National Park, California, United States","37.5496","-119.63864","Apple Tree Bear House","10","Entire home","5","https://www.airbnb.com/rooms/26280259"
"Three Rivers, California, United States","36.3667","-118.8488","Kaweah Cottage - Nature Sanctuary","5","Entire cottage","5","https://www.airbnb.com/rooms/94583"
"Shaver Lake, California, United States","37.11059","-119.32056","Elliott House - Cedar King Spa Suite","2","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/43335217"
"Fresno, California, United States","36.77408","-119.68059","The charmer - 3 bedroom private residential home","10","Entire home","5","https://www.airbnb.com/rooms/50160170"
"Midpines, California, United States","37.56715","-119.96259","Stay at Whispering Pines, only 25 mi to Yosemite!","8","Entire home","5","https://www.airbnb.com/rooms/42301385"
"Squaw Valley, California, United States","36.6881","-119.10685","Arcadian Log Cabin -Sequoia/Kings Canyon N Park","10","Entire cabin","5","https://www.airbnb.com/rooms/47393491"
"Shaver Lake, California, United States","37.076","-119.334","Cabin-style home with deck & great location close to Shaver Lake - dog-friendly","6","Entire home","4.5","https://www.airbnb.com/rooms/22114444"
"Yosemite National Park, California, United States","37.54828","-119.64674","95R The Little Creek Cabin","9","Entire cabin","4.5","https://www.airbnb.com/rooms/21222843"
"Coarsegold, California, United States","37.20471","-119.79652","King of the Hill Ranch House  Yosemite 3King Beds","7","Entire home","5","https://www.airbnb.com/rooms/26960797"
"Badger, California, United States","36.64706","-119.01214","Sequoia Resort- House 4 ""Creekside"" - 3 bedrooms","7","Entire home","5","https://www.airbnb.com/rooms/867693"
"Bass Lake, California, United States","37.33225","-119.5797","Dog-friendly home w/shared hot tub, tennis, spa, pool + WiFi, central AC","9","Entire home","4.5","https://www.airbnb.com/rooms/27677964"
"Oakhurst, California, United States","37.35757","-119.6062","Yosemite / Oakhurst Modern Mountain Home","8","Entire home","5","https://www.airbnb.com/rooms/47102936"
"Turlock, California, United States","37.50832","-120.85252","The Heart of the Valley: Smart Modern Farmhouse","10","Entire home","5","https://www.airbnb.com/rooms/53032734"
"Raymond, California, United States","37.20612","-119.92234","Hafkey Cabin Escape 2  near Yosemite National Park","8","Entire cabin","5","https://www.airbnb.com/rooms/53860785"
"Visalia, California, United States","36.31622","-119.35873","Amazingly  quite breath taking pool view","2","Private room in earthen home",,"https://www.airbnb.com/rooms/47828562"
"Madera, California, United States","36.9503","-120.04363","Madera lovely home for relaxing-Yosemite national","12","Entire home","5","https://www.airbnb.com/rooms/53342483"
"Wawona, California, United States","37.54577","-119.64476","Riverside Retreat","8","Entire cabin","5","https://www.airbnb.com/rooms/45101763"
"Visalia, California, United States","36.33068","-119.29121","ADA King Suite","2","Room in boutique hotel",,"https://www.airbnb.com/rooms/44251029"
"Three Rivers, California, United States","36.46993","-118.85471","The Shady Knoll","4","Entire home","5","https://www.airbnb.com/rooms/25664904"
"Three Rivers, California, United States","36.41409","-118.91782","Private Sequoia Park house with mountain views.","6","Entire home","5","https://www.airbnb.com/rooms/21937389"
"Shaver Lake, California, United States","37.10615","-119.31506","Shaver Lake Haven","10","Entire cabin","5","https://www.airbnb.com/rooms/15889761"
