"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Meriden, Connecticut, United States","41.54947","-72.78357","Luxury airbed private room","2","Private room in townhouse",,"https://www.airbnb.com/rooms/34974908"
"Suffield, Connecticut, United States","42.01813","-72.64025","New England Peace","3","Entire home",,"https://www.airbnb.com/rooms/51565577"
"Avon, Connecticut, United States","41.81175","-72.80743","Well decorated, steam room, pool, gym, fireplace","8","Entire townhouse",,"https://www.airbnb.com/rooms/50111114"
"West Hartland, Connecticut, United States","42.01517","-73.00883","large cottage on private lake,  May - Oct","10","Entire home","5","https://www.airbnb.com/rooms/10362764"
"Avon, Connecticut, United States","41.80116","-72.8135","74 Ayrshire Lane","6","Entire home",,"https://www.airbnb.com/rooms/18541206"
"Meriden, Connecticut, United States","41.54938","-72.78392","Luxury room in Meriden ct","1","Private room in townhouse","5","https://www.airbnb.com/rooms/20655612"
"Rocky Hill, Connecticut, United States","41.67738","-72.65176","2 Convenient Units for Business Travel and Adventure","8","Room in hotel",,"https://www.airbnb.com/rooms/48884650"
"East Hampton, Connecticut, United States","41.60075","-72.50278","Classic Lake House w/ Private Waterfront Yard","10","Entire home","5","https://www.airbnb.com/rooms/37598389"
"New Britain, Connecticut, United States","41.70095","-72.79789","5☆Cape Cod Home Fully Stock w/a Bed on Main Level","6","Entire home","5","https://www.airbnb.com/rooms/28474370"
"Meriden, Connecticut, United States","41.55164","-72.79417","Huge 4 room apartment with a Penthouse feel","8","Entire rental unit",,"https://www.airbnb.com/rooms/18180645"
"Farmington, Connecticut, United States","41.72516","-72.82497","Charming 4 Bedroom Historic House in Farmington","8","Entire home","4.5","https://www.airbnb.com/rooms/18788083"
"Southwick, Massachusetts, United States","42.02983","-72.75513","ISLAND WATERFRONT WITH EXPANSIVE VIEWS AND DOCK","8","Entire home","4.5","https://www.airbnb.com/rooms/48521627"
"Barkhamsted, Connecticut, United States","41.89973","-72.98988","Bright and Spacious Suite Room 6","4","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/39770908"
"Barkhamsted, Connecticut, United States","41.89858","-72.99081","Legends BNB Lodge RM 3 $99","2","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/5564205"
"Barkhamsted, Connecticut, United States","41.89823","-72.99016","LegendsBNB Lodge RM 2 suite $189","2","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/5563868"
"Southwick, Massachusetts, United States","42.0238","-72.76726","WATERFRONT LAKE home w/3 BEDROOMS/AC/Perfect spot","4","Entire cottage","5","https://www.airbnb.com/rooms/14214999"
"Barkhamsted, Connecticut, United States","41.90019","-72.99006","Legends BNB Lodge RM 5 $119","2","Private room in nature lodge","5","https://www.airbnb.com/rooms/5587656"
"Glastonbury, Connecticut, United States","41.6629","-72.58978","Classic Farm House on a Working Farm & Vineyard","5","Farm stay","5","https://www.airbnb.com/rooms/43060105"
"East Hampton, Connecticut, United States","41.60051","-72.48827","LAKE HOUSE! Walking distance to Lake Pocotopaug!","7","Entire home","5","https://www.airbnb.com/rooms/42988219"
"Hartford, Connecticut, United States","41.769","-72.71243","Private Room in Hartford’s Historic West End!","5","Private room in rental unit","5","https://www.airbnb.com/rooms/33722643"
"Barkhamsted, Connecticut, United States","41.89893","-72.99071","Legends BNB  Lodge Room 4 $109","2","Room in boutique hotel",,"https://www.airbnb.com/rooms/5587616"
"Simsbury, Connecticut, United States","41.82969","-72.85695","Green Acres Bed and Breakfast - The Suite","4","Room in bed and breakfast",,"https://www.airbnb.com/rooms/33833347"
"Farmington, Connecticut, United States","41.7434","-72.89781","Rustic Cape by the lake- 3 Bedrooms!","6","Entire home","5","https://www.airbnb.com/rooms/38058448"
"East Hampton, Connecticut, United States","41.59454","-72.49506","Charming 3 bedroom cottage on Lake Pocotopaug","7","Entire cottage","5","https://www.airbnb.com/rooms/54396764"
"East Hampton, Connecticut, United States","41.57565","-72.50753","The Bevin House B&B, 2 people, Philo Suite","2","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/52536713"
