"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Eagle, Idaho, United States","43.69462","-116.33153","SERENDIPITY","5","Entire home",,"https://www.airbnb.com/rooms/45257761"
"Boise, Idaho, United States","43.627","-116.217","West End Luxury RV - Perfect For a Couple","2","Camper/RV","5","https://www.airbnb.com/rooms/28084043"
"Boise, Idaho, United States","43.63043","-116.21889","Executive 4Bd/2Bth in Historic North End |Downtown","6","Entire home","5","https://www.airbnb.com/rooms/7363526"
"Boise, Idaho, United States","43.5828","-116.18973","5 mins to downtown, BSU and airport. Huge yard.","6","Entire home","5","https://www.airbnb.com/rooms/23008911"
"Eagle, Idaho, United States","43.69526","-116.39154","Riverfront Bunkhouse,Glamorous camping in the city","13","Farm stay","5","https://www.airbnb.com/rooms/26689159"
"Meridian, Idaho, United States","43.6245","-116.36214","Your Sanctuary/Spa Retreat","8","Entire home","5","https://www.airbnb.com/rooms/46571116"
"Boise, Idaho, United States","43.65215","-116.18051","Clean 🍃 Highlands Retreat & Recreational Paradise!","2","Private room in home","5","https://www.airbnb.com/rooms/24246297"
"Eagle, Idaho, United States","43.6882","-116.33733","LUX Modern 3 BEDROOM TOWNHOME IN EAGLE","6","Entire townhouse","5","https://www.airbnb.com/rooms/36237746"
"Meridian, Idaho, United States","43.61066","-116.39033","Renaissance at Oldtown","6","Entire condo","5","https://www.airbnb.com/rooms/48109512"
"Boise, Idaho, United States","43.6017","-116.16933","The Gem of Bacon St","5","Entire home","5","https://www.airbnb.com/rooms/35263267"
"Garden City, Idaho, United States","43.65901","-116.28938","Quail Haven-Serenity & Comfort Near Greenbelt","7","Entire home","5","https://www.airbnb.com/rooms/26012070"
"Boise, Idaho, United States","43.655","-116.237","Luxury 5 Star Stay! Sleep, Eat, Play, Repeat","10","Entire home","5","https://www.airbnb.com/rooms/45030197"
"Eagle, Idaho, United States","43.6879","-116.33665","DESIGNER LUX TOWNHOME steps from GREENBELT","6","Entire townhouse","5","https://www.airbnb.com/rooms/36238174"
"Meridian, Idaho, United States","43.581","-116.347","5 BDRM on Park close to Everything!","10","Entire home","5","https://www.airbnb.com/rooms/11701530"
"Boise, Idaho, United States","43.62978","-116.20485","North End Victorian Hyde Away (Entire House)","11","Entire home","5","https://www.airbnb.com/rooms/23391802"
"Boise, Idaho, United States","43.61161","-116.1654","Boise Gem W/ Fast WiFi, Stunning Views, Hot Tub, Hiking Nearby, & Large Deck","6","Entire home","3.5","https://www.airbnb.com/rooms/52509799"
"Boise, Idaho, United States","43.636","-116.206","Your Family WANTS to Stay Here!","10","Entire home","5","https://www.airbnb.com/rooms/40031919"
"Meridian, Idaho, United States","43.64621","-116.45821","Beautiful Meridian 5 Bedroom Dream Home Sleeps 16","16","Entire home","5","https://www.airbnb.com/rooms/25280926"
"Boise, Idaho, United States","43.6277","-116.20263","A Huge House w/i Walking Distance of Boise's Best","10","Entire home","5","https://www.airbnb.com/rooms/32527258"
"Boise, Idaho, United States","43.57291","-116.14306","New upper end Executive Home 3 Bed Room 3 Bath","6","Entire townhouse","4.5","https://www.airbnb.com/rooms/43170267"
"Boise, Idaho, United States","43.62517","-116.22238","Cheerful 3 bedroom West End, Hyde Park Area Boise","6","Entire home","5","https://www.airbnb.com/rooms/52107379"
"Boise, Idaho, United States","43.62686","-116.22278","Boise Tudor Home w/ Game Room, 1.5 Mi to Downtown!","8","Entire home","5","https://www.airbnb.com/rooms/48394654"
"Meridian, Idaho, United States","43.627","-116.34819","Tahiti at the Village-Executive Home-sleeps 1-14","14","Entire home","5","https://www.airbnb.com/rooms/44419783"
"Boise, Idaho, United States","43.59823","-116.22697","Creekside Cottage close to Downtown and BSU","4","Entire home","5","https://www.airbnb.com/rooms/38556990"
"Boise, Idaho, United States","43.599","-116.328","Big house","6","Entire home","4.5","https://www.airbnb.com/rooms/50288686"
