"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Luray, Virginia, United States","38.67132","-78.46169","Spacious Wifi Hot Tub Minutes from attractions","6","Entire home","5","https://www.airbnb.com/rooms/28662628"
"Edinburg, Virginia, United States","38.84011","-78.67075","Cabin Creek on The Knob","6","Farm stay","5","https://www.airbnb.com/rooms/47703106"
"Mount Jackson, Virginia, United States","38.82245","-78.72486","Farm Stay w/5 SkiPASSES TO BRYCE!","8","Entire home","5","https://www.airbnb.com/rooms/47964518"
"Rileyville, Virginia, United States","38.75325","-78.36083","Log Cabin *Pool & Hot Tub,Views* 3 KING BEDS","12","Entire cabin","4.5","https://www.airbnb.com/rooms/26301319"
"Luray, Virginia, United States","38.64356","-78.34304","Shenandoah NP 3BR Modern Retreat | Mins to Caverns","6","Entire vacation home","5","https://www.airbnb.com/rooms/53311208"
"Luray, Virginia, United States","38.76024","-78.43351","Mountain_Hideaway","6","Entire cabin","5","https://www.airbnb.com/rooms/37556265"
"Maurertown, Virginia, United States","38.928","-78.46","Relax in the Heart of the Shenandoah Valley","6","Entire home","5","https://www.airbnb.com/rooms/46130039"
"Luray, Virginia, United States","38.77507","-78.41362","Shenandoah Stars riverfront cabin- Ask about our B","8","Entire cabin","5","https://www.airbnb.com/rooms/448919"
"Mount Jackson, Virginia, United States","38.79986","-78.65531","Pleasant Valley Farm 18th Century frontier home.","11","Entire home","5","https://www.airbnb.com/rooms/43778256"
"Luray, Virginia, United States","38.74726","-78.43994","Whitefish Cabin- Your cozy cabin in the woods!","5","Entire cabin","5","https://www.airbnb.com/rooms/42132507"
"Luray, Virginia, United States","38.66447","-78.45708","Briar Laine House Unit B","4","Entire home","5","https://www.airbnb.com/rooms/43738816"
"Luray, Virginia, United States","38.66384","-78.4664","Lewis Mountain Cottage","5","Entire cottage","5","https://www.airbnb.com/rooms/47442820"
"Basye, Virginia, United States","38.80773","-78.79103","Virginia Dreamin'","8","Entire home","4.5","https://www.airbnb.com/rooms/29007421"
"Luray, Virginia, United States","38.66562","-78.46057","Riverfront Cottage","4","Entire cottage","4.5","https://www.airbnb.com/rooms/35698992"
"Luray, Virginia, United States","38.75642","-78.43154","Country quiet retreat-Mountain views, river, too","6","Entire cabin","5","https://www.airbnb.com/rooms/22749091"
"Luray, Virginia, United States","38.66623","-78.46512","Hotel Laurance - THE LILLIAN | Room 4","2","Room in boutique hotel","4.5","https://www.airbnb.com/rooms/40204975"
"Luray, Virginia, United States","38.66611","-78.46387","Hotel Laurance - THE  SEBASTIAN | Room 3","2","Room in boutique hotel",,"https://www.airbnb.com/rooms/40204973"
"Luray, Virginia, United States","38.66645","-78.46536","Hotel Laurance - THE ASTRID | Room 12","2","Room in boutique hotel",,"https://www.airbnb.com/rooms/40204986"
"Luray, Virginia, United States","38.66655","-78.46445","Hotel Laurance - THE OLIVER | Room 1","2","Room in boutique hotel",,"https://www.airbnb.com/rooms/40204972"
"Luray, Virginia, United States","38.66491","-78.46586","Hotel Laurance - THE TUCKER | Room 10","3","Room in boutique hotel","5","https://www.airbnb.com/rooms/40204984"
"Luray, Virginia, United States","38.66633","-78.46392","Hotel Laurance - THE LUCILE | Room 6","2","Room in boutique hotel",,"https://www.airbnb.com/rooms/40204977"
"Luray, Virginia, United States","38.66623","-78.46377","Hotel Laurance - THE LAURA | Room 7","4","Room in boutique hotel",,"https://www.airbnb.com/rooms/40204979"
"Broadway, Virginia, United States","38.61896","-78.79558","Riverside Retreat  Near Massanutten & Bryce Resort","10","Entire home","5","https://www.airbnb.com/rooms/53878997"
"Luray, Virginia, United States","38.6649","-78.46425","Hotel Laurance - THE SHIRLING | Room 8","2","Room in boutique hotel",,"https://www.airbnb.com/rooms/40204981"
"Luray, Virginia, United States","38.66635","-78.46544","Hotel Laurance - THE HENLEY | Room 11","2","Room in boutique hotel",,"https://www.airbnb.com/rooms/40204985"
