"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"New York, United States","40.77517","-73.95386","Linda Lee Wellness Center","2","Private room in religious building",,"https://www.airbnb.com/rooms/3873451"
"New York, United States","40.83166","-73.94272","Modern Garden Level Apartment [Extended]","16","Entire townhouse","4","https://www.airbnb.com/rooms/48736458"
"NEW YORK, New York, United States","40.765","-73.983","Family Perfect Room - 2 Dbl Beds","2","Room in boutique hotel","3.5","https://www.airbnb.com/rooms/34487108"
"The Bronx, New York, United States","40.84279","-73.90963","The Game Room","13","Entire rental unit","5","https://www.airbnb.com/rooms/36080023"
"New York, United States","40.80687","-73.95333","LUXURY OF THE HORIZON","5","Entire rental unit","5","https://www.airbnb.com/rooms/144087"
"New York, United States","40.77543","-73.97667","Great Room by Central Park & Time Square","2","Entire loft","4","https://www.airbnb.com/rooms/43256777"
"New York, United States","40.768","-73.983","6 Columbus Central Park Hotel","0","Room in hotel","4","https://www.airbnb.com/rooms/43247386"
"New York, United States","40.76498","-73.98767","Beautiful Apartment at the heart of HK Manhattan","2","Entire rental unit",,"https://www.airbnb.com/rooms/47890017"
"New York, United States","40.81014","-73.95469","MASSIVE 3 bed/2 bath Harlem Gem","5","Entire rental unit","5","https://www.airbnb.com/rooms/49667108"
"New York, United States","40.81425","-73.94657","The People's Brownstone","7","Entire townhouse","5","https://www.airbnb.com/rooms/13998223"
"Weehawken, New Jersey, United States","40.77537","-74.02095","Luxury 2bd: PRIVATE TERRACE & Parking 15min to NYC","4","Entire condo",,"https://www.airbnb.com/rooms/40301985"
"New York, United States","40.80818","-73.94964","Big home, 3 floors, good 4 families - 2,800 sqft","11","Entire townhouse","5","https://www.airbnb.com/rooms/7194538"
"New York, United States","40.764","-73.963","Gardens Suites Hotel by Affinia","6","Room in hotel","4.5","https://www.airbnb.com/rooms/41740622"
"East Orange, New Jersey, United States","40.78342","-74.20627","Boyden Place","4","Private room in home","5","https://www.airbnb.com/rooms/50037683"
"New York, United States","40.7924","-73.97028","UWS 3BR/2BTH Apt, 1 block from Central Park","7","Entire rental unit","5","https://www.airbnb.com/rooms/34202651"
"New York, United States","40.76557","-73.98013","The Manhattan Club New York City","4","Room in boutique hotel",,"https://www.airbnb.com/rooms/42379755"
"Montclair, New Jersey, United States","40.80362","-74.21626","Montclair Home Staycation Retreat with Home Spa","10","Entire home","4.5","https://www.airbnb.com/rooms/53063633"
"New York, United States","40.78927","-73.97954","*Newly* Renovated Garden 2 Level Apartment","4","Entire loft","5","https://www.airbnb.com/rooms/31980794"
"New York, United States","40.807","-73.951","Deluxe  Garden w.Jacuzzi","2","Private room in townhouse",,"https://www.airbnb.com/rooms/24137869"
"New York, United States","40.76284","-73.9929","Epic Location! Spacious 3BR Loft in Midtown West!","6","Entire rental unit","4.5","https://www.airbnb.com/rooms/52825310"
"New York, United States","40.79415","-73.94015","Modern, cigar lounge vibes in this 1 bedroom condo","4","Entire condo",,"https://www.airbnb.com/rooms/6688914"
"New York, United States","40.76414","-73.9822","Executive Suite Condo - Near Everything","4","Entire condo",,"https://www.airbnb.com/rooms/53831542"
"New York, United States","40.76682","-73.98149","Central Park/Columbus Circle Condo Suite","4","Entire condo","4.5","https://www.airbnb.com/rooms/51599762"
"New York, United States","40.76391","-73.98231","Executive Suite Condo - Luxury Near Central Park","4","Entire condo","4.5","https://www.airbnb.com/rooms/53272590"
"New York, United States","40.76515","-73.98854","Modern Studio Few Steps From Times Square","3","Shared room in rental unit",,"https://www.airbnb.com/rooms/35639073"
