"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Baraboo, Wisconsin, United States","43.58509","-89.77552","Two Bedroom @ Glacier Canyon","8","Entire condo",,"https://www.airbnb.com/rooms/53077616"
"Poynette, Wisconsin, United States","43.42687","-89.50356","Waterfront Cottage with great views & boat parking","6","Entire cottage","5","https://www.airbnb.com/rooms/50454130"
"Baraboo, Wisconsin, United States","43.58573","-89.77754","Club Wyndham Glacier Canyon Three-Bedroom Deluxe","10","Private room in resort",,"https://www.airbnb.com/rooms/36561392"
"Wisconsin Dells, Wisconsin, United States","43.59888","-89.78483","Lake/beachfront condo with shared pools, hot tubs, WiFi, AC, & washer/dryer","4","Entire condo","4.5","https://www.airbnb.com/rooms/54198927"
"Wisconsin Dells, Wisconsin, United States","43.58543","-89.77744","Glacier Canyon in a 2 Bedroom Condo","4","Entire condo",,"https://www.airbnb.com/rooms/29166221"
"Wisconsin Dells, Wisconsin, United States","43.60396","-89.78204","Eischen Cottage 2 on Lake Delton","6","Entire cottage","5","https://www.airbnb.com/rooms/14838823"
"Poynette, Wisconsin, United States","43.39214","-89.52321","Camp on the River with a Beautiful View","16","Tent",,"https://www.airbnb.com/rooms/32207467"
"Wisconsin Dells, Wisconsin, United States","43.5981","-89.7743","Wi Dells Condo at the Caribbean Club LTH VLD000415","6","Entire condo","5","https://www.airbnb.com/rooms/41434628"
"Wisconsin Dells, Wisconsin, United States","43.60637","-89.7829","Thunderbird 1040D  Condo on Beautiful Lake Delton","6","Entire condo","4.5","https://www.airbnb.com/rooms/53091987"
"Wisconsin Dells, Wisconsin, United States","43.59809","-89.77272","Wi Dells Condo at the Caribbean Club LF3 VLD000415","10","Entire condo","4.5","https://www.airbnb.com/rooms/41433667"
"Wisconsin Dells, Wisconsin, United States","43.63393","-89.77223","Sunset Cove 308 Penthouse on the Wisconsin River","6","Entire condo","4","https://www.airbnb.com/rooms/14854966"
"Wisconsin Dells, Wisconsin, United States","43.59756","-89.77394","Wi Dells Condo at the Caribbean Club LOF VLD000415","8","Entire condo","4.5","https://www.airbnb.com/rooms/41432819"
"Baraboo, Wisconsin, United States","43.58507","-89.77722","One Bedroom at Glacier Canyon","4","Entire condo",,"https://www.airbnb.com/rooms/53076903"
"Wisconsin Dells, Wisconsin, United States","43.60762","-89.78237","Nicolet Home 1050C at Thunderbird on Lake Delton","8","Entire home",,"https://www.airbnb.com/rooms/53312546"
"Wisconsin Dells, Wisconsin, United States","43.60654","-89.78254","Thunderbird Resort Condo 1040C Beautiful 2 bed & 2 bath, large waterfront deck","6","Entire condo",,"https://www.airbnb.com/rooms/53339660"
"Wisconsin Dells, Wisconsin, United States","43.5866","-89.77557","2 Bedroom Deluxe@ Wyndham Glacier Canyon WaterPark","7","Entire serviced apartment",,"https://www.airbnb.com/rooms/46394046"
"Wisconsin Dells, Wisconsin, United States","43.60125","-89.78077","6 person Cabin on Lake Delton In Wisconsin Dells","6","Entire cabin","4.5","https://www.airbnb.com/rooms/17507863"
"Wisconsin Dells, Wisconsin, United States","43.59847","-89.7834","Water-view condo with shared pools/hot tubs, WiFi, WD, & central AC","4","Entire condo","4.5","https://www.airbnb.com/rooms/53700485"
"Wisconsin Dells, Wisconsin, United States","43.619","-89.783","Lagoon Lodge","12","Entire home","4.5","https://www.airbnb.com/rooms/45544732"
"Wisconsin Dells, Wisconsin, United States","43.619","-89.783","Water Tower Retreat Home #Lagoon & Zoo included","16","Entire home","4.5","https://www.airbnb.com/rooms/35056534"
"Wisconsin Dells, Wisconsin, United States","43.61984","-89.78299","Treetop Escape Tiny Home #Natural Lagoon #Zoo","7","Tiny home","4.5","https://www.airbnb.com/rooms/48990266"
"Wisconsin Dells, Wisconsin, United States","43.62641","-89.77051","The Downtown","8","Entire home","5","https://www.airbnb.com/rooms/53200420"
"Wisconsin Dells, Wisconsin, United States","43.59897","-89.78309","Wisconsin Dells Getaways #408 - Wellness Themed Studio Suite for 2","2","Room in hotel",,"https://www.airbnb.com/rooms/26052352"
"Wisconsin Dells, Wisconsin, United States","43.60064","-89.78281","Wisconsin Dells Getaways #401 - London Bridge Themed Studio Suite for 2","2","Room in hotel",,"https://www.airbnb.com/rooms/26052202"
"Wisconsin Dells, Wisconsin, United States","43.60077","-89.78378","Wisconsin Dells Getaways #407 - Hollywood Glamour Themed Studio Suite for 2","2","Room in hotel",,"https://www.airbnb.com/rooms/26052333"
