"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Garberville, California, United States","40.047","-123.568","Sunrise Dorm Queen","3","Private room in nature lodge",,"https://www.airbnb.com/rooms/31223285"
"Mad River, California, United States","40.4338","-123.48931","Katherines Paradise","12","Entire home","5","https://www.airbnb.com/rooms/24830565"
"Trinity Center, California, United States","40.98155","-122.69455","At Home In The Mountains !","8","Entire home","5","https://www.airbnb.com/rooms/14558134"
"Shasta Lake, California, United States","40.708","-122.447","Rustic home package, near Sac. River & Shasta lake","10","Entire home","5","https://www.airbnb.com/rooms/16159738"
"Salyer, California, United States","40.89254","-123.57271","The Ammon Ranch Cottage","4","Entire guest suite","5","https://www.airbnb.com/rooms/19248102"
"Willow Creek, California, United States","40.94081","-123.61927","NEW! Woodsy Willow Creek Getaway w/ Pool & Deck!","6","Entire home","5","https://www.airbnb.com/rooms/48209904"
"Willow Creek, California, United States","40.93531","-123.62388","Willow Creek River Retreat","10","Entire home","5","https://www.airbnb.com/rooms/54005233"
"Salyer, California, United States","40.87564","-123.53127","Cabin near the river with private pool, AC, wood-burning fireplace & patio","8","Entire home","4.5","https://www.airbnb.com/rooms/47494206"
"Hawkins Bar, California, United States","40.87428","-123.53211","Riverfront Getaway w/ a Private Beach, Great Views, & Fantastic Fishing!","12","Entire home","4.5","https://www.airbnb.com/rooms/18024411"
"Lewiston, California, United States","40.685","-122.888","Beautiful home on the River!","6","Entire cabin","5","https://www.airbnb.com/rooms/51605205"
"Junction City, California, United States","40.76401","-123.08121","NEW! River Acres Retreat w/ Grill & River Access!","6","Entire home",,"https://www.airbnb.com/rooms/52668013"
"Garberville, California, United States","40.047","-123.568","Madrone Queen w/ Ensuite Bathtub","3","Private room in nature lodge",,"https://www.airbnb.com/rooms/31222737"
"Garberville, California, United States","40.047","-123.568","Madrone King w/ ensuite ADA shower","3","Private room in nature lodge",,"https://www.airbnb.com/rooms/31222647"
"Garberville, California, United States","40.047","-123.568","Madrone; Full Bed","3","Private room in nature lodge",,"https://www.airbnb.com/rooms/31223153"
"Garberville, California, United States","40.047","-123.568","Madrone Queen","3","Private room in nature lodge",,"https://www.airbnb.com/rooms/31222773"
"Salyer, California, United States","40.8757","-123.52563","The Round House","5","Entire cabin","5","https://www.airbnb.com/rooms/51267758"
"Trinity Center, California, United States","41.13743","-122.69407","Stoddard Cabin, #7","12","Entire cabin","5","https://www.airbnb.com/rooms/12762582"
"Lewiston, California, United States","40.71321","-122.83868","Cozy 3 Story Cabin - Near the River","8","Entire cabin","5","https://www.airbnb.com/rooms/11943098"
"Shasta Lake, California, United States","40.708","-122.447","Beautiful home package overlooking Sac.  River","7","Entire home","5","https://www.airbnb.com/rooms/15534537"
"Lewiston, California, United States","40.66941","-122.92234","Trinity County Riverfront Home. Weaverville CA.","6","Entire home","4.5","https://www.airbnb.com/rooms/27026873"
"Willow Creek, California, United States","40.94042","-123.61009","‘Trinity River Rose’ w/ Saltwater Pool & Fire Pit!","10","Entire home","4.5","https://www.airbnb.com/rooms/40299831"
"Red Bluff, California, United States","40.12075","-122.53295","Vacation/Weekend Getaway/Riding/Hunting Property","10","Entire cabin","5","https://www.airbnb.com/rooms/21192985"
"Douglas City, California, United States","40.65627","-122.91177","Indian Creek Lodge ""Penthouse""","8","Entire rental unit",,"https://www.airbnb.com/rooms/6073085"
"Willow Creek, California, United States","40.95455","-123.62302","Bigfoot- Trinity Mountain Retreat","8","Entire home","5","https://www.airbnb.com/rooms/47421954"
"Douglas City, California, United States","40.66621","-122.99667","The Arttus Ranch in Douglas City,CA","6","Entire cabin","5","https://www.airbnb.com/rooms/2501673"
