"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Coalville, Utah, United States","40.80645","-111.50632","Winter Wonderland Escape Minutes from Park City!","8","Entire cabin","5","https://www.airbnb.com/rooms/53669582"
"Park City, Utah, United States","40.68855","-111.55099","Luxury 2bd Ski-in-Out Luxury W/Hotel Services Pool++ MC6B","6","Entire condo","5","https://www.airbnb.com/rooms/28137611"
"Park City, Utah, United States","40.68578","-111.54632","Designer Blackstone 3 bdrm -AC, Hot Tub, Pool, Gym","7","Entire home","5","https://www.airbnb.com/rooms/51742377"
"Park City, Utah, United States","40.64714","-111.49792","Park City Condo","8","Entire condo",,"https://www.airbnb.com/rooms/46871369"
"Park City, Utah, United States","40.683","-111.502","This updated townhome has all the bells as whistle","11","Entire townhouse",,"https://www.airbnb.com/rooms/15506745"
"Park City, Utah, United States","40.68408","-111.55381","Ski-In/Out Condo w/Mtn Views, Balcony, Shared Pool, Hot Tub, Game Room, Gym","4","Entire condo","4.5","https://www.airbnb.com/rooms/53515625"
"Park City, Utah, United States","40.69","-111.551","3BR/2BA - Park City - Ski In/Out!","10","Entire condo",,"https://www.airbnb.com/rooms/10634117"
"Park City, Utah, United States","40.65087","-111.50563","Close to PCMR Base SKI Area","6","Private room in resort",,"https://www.airbnb.com/rooms/53740812"
"Park City, Utah, United States","40.68875","-111.55188","Wyndham 1, 2, 3, 4 BDRM suites.  INQUIRY ONLY!!","4","Private room in resort",,"https://www.airbnb.com/rooms/38351278"
"Park City, Utah, United States","40.68556","-111.5527","Cozy Elegance at The Canyons Resort","2","Private room in condo",,"https://www.airbnb.com/rooms/21469384"
"Park City, Utah, United States","40.68541","-111.55165","Beautiful 4BR/4BA Park City Townhome","8","Entire townhouse","5","https://www.airbnb.com/rooms/41427904"
"Park City, Utah, United States","40.69036","-111.55088","Relaxing Park City UT Getaway","4","Entire rental unit",,"https://www.airbnb.com/rooms/49658948"
"Park City, Utah, United States","40.65235","-111.50569","Two Bedroom at the base of Park City Mountain Village","4","Entire condo",,"https://www.airbnb.com/rooms/43898081"
"Park City, Utah, United States","40.62303","-111.48938","Mountain Modern: Park City’s Silver Lake Village /","8","Entire condo","5","https://www.airbnb.com/rooms/18732738"
"Park City, Utah, United States","40.65682","-111.5153","Walk to Lift, Private Hot Tub - 2Bd+Loft - Three Kings 93","7","Entire condo",,"https://www.airbnb.com/rooms/43734929"
"Heber City, Utah, United States","40.67555","-111.43086","It's snowing! Lovely townhome 7 min from PC.","12","Entire townhouse","5","https://www.airbnb.com/rooms/50416948"
"Park City, Utah, United States","40.68467","-111.54747","*NEW* Blackstone Condo @ Canyons Ski In/out, 2/2","5","Entire condo","5","https://www.airbnb.com/rooms/42865761"
"Park City, Utah, United States","40.65882","-111.50843","Park Ave. Condo, Walk to Lifts/Golf","6","Entire condo","5","https://www.airbnb.com/rooms/10431326"
"Park City, Utah, United States","40.644","-111.483","Fawngrove - 4BR Modern Mountain Deer Valley Condo","15","Entire rental unit","5","https://www.airbnb.com/rooms/22479360"
"Park City, Utah, United States","40.65802","-111.5095","3BD - Spacious & Comfortable, Pool & Hot Tub - Park Ave 270","6","Entire condo",,"https://www.airbnb.com/rooms/43732463"
"Hideout, Utah, United States","40.642","-111.398","*Black Friday - Cyber Monday Sale* No Blackout","6","Entire home","5","https://www.airbnb.com/rooms/51817727"
"Heber City, Utah, United States","40.68083","-111.4331","Beautifully designed home,minutes from old town PC","8","Entire townhouse",,"https://www.airbnb.com/rooms/46396279"
"Park City , Utah, United States","40.67008","-111.42748","Retreat 811 by Moose Mgmt.-Pvt. Hot Tub-BBQ-Garage","12","Entire townhouse","4.5","https://www.airbnb.com/rooms/21748690"
"Park City, Utah, United States","40.65821","-111.51595","Ski Season Availability!  Posh Mid-Mountain Townhome, Silver Star #801. with private hot tub","12","Entire townhouse",,"https://www.airbnb.com/rooms/48013004"
"Park City, Utah, United States","40.647","-111.475","Up to 25% Off DV Luxury- Hot Tub & Free DV Shuttle","9","Entire rental unit","5","https://www.airbnb.com/rooms/10153985"
