"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Juneau, Alaska, United States","58.43771","-134.77191","Breadline Bluff Lodging","4","Entire home","5","https://www.airbnb.com/rooms/16916404"
"Funter Bay, Alaska, United States","58.24174","-134.89554","Funter Bay Cabin","4","Entire guesthouse","5","https://www.airbnb.com/rooms/254738"
"Juneau, Alaska, United States","58.36031","-134.64276","Waterfront studio on AukeBay Alaska","2","Entire rental unit","4.5","https://www.airbnb.com/rooms/8327615"
"Juneau, Alaska, United States","58.3815","-134.63321","Glamperific Bubbalicious Sprinter Camper Van","2","Camper/RV",,"https://www.airbnb.com/rooms/33296353"
"Juneau, Alaska, United States","58.39919","-134.54841","Mendenhall Glacier Bear Den","4","Private room in rental unit","5","https://www.airbnb.com/rooms/45900071"
"Juneau, Alaska, United States","58.40265","-134.75833","An Eagle's Lair off the beaten path...","4","Entire rental unit","5","https://www.airbnb.com/rooms/19102706"
"Juneau, Alaska, United States","58.39983","-134.59308","Berry Patch","4","Entire guest suite",,"https://www.airbnb.com/rooms/39102323"
"Juneau, Alaska, United States","58.35098","-134.65175","Island View B&B with Beach Access  -  The Chinook","2","Private room in home",,"https://www.airbnb.com/rooms/26788217"
"Juneau, Alaska, United States","58.41357","-134.58213","2019 Airstream Flying Cloud - Front Queen Bed","4","Entire place",,"https://www.airbnb.com/rooms/51808324"
"Juneau, Alaska, United States","58.339","-134.573","Douglas Island A-frame Cabin in the woods","4","Entire cabin","5","https://www.airbnb.com/rooms/17586902"
"Juneau, Alaska, United States","58.39103","-134.56595","Nugget Place - Includes three separate two bedroom units near Mendenhall Glacier with10% off on tours.","12","Entire home",,"https://www.airbnb.com/rooms/53578571"
"Juneau, Alaska, United States","58.39564","-134.57336","Cozy, whimsical, abode with outdoor entertaining!","7","Entire home","5","https://www.airbnb.com/rooms/50681977"
"Juneau, Alaska, United States","58.3728","-134.58446","AirKasa 1 King & 3 Queens, Minutes to the Glacier!","8","Entire home","5","https://www.airbnb.com/rooms/22718808"
"Juneau, Alaska, United States","58.30202","-134.40808","Heart of downtown Juneau, Roof Deck Hot Tub, Modern Boutique Hotel, Historic City Center, King or Two Twin Room","2","Room in boutique hotel",,"https://www.airbnb.com/rooms/32135316"
"Juneau, Alaska, United States","58.34969","-134.65152","Romantic well-appointed waterfront suite!","2","Private room in home",,"https://www.airbnb.com/rooms/36306731"
"Juneau, Alaska, United States","58.35074","-134.65245","Tranquil Beach-front Retreat with Private Entrance","2","Private room in home","5","https://www.airbnb.com/rooms/24896707"
"Juneau, Alaska, United States","58.37298","-134.585","AirKasa 1 King & 1 Queen - Minutes to the Glacier!","4","Entire home","5","https://www.airbnb.com/rooms/25126375"
"Juneau, Alaska, United States","58.37056","-134.58143","New, Bright, and Modern 2 Bedroom","6","Entire rental unit","5","https://www.airbnb.com/rooms/31332402"
"Juneau, Alaska, United States","58.37893","-134.64345","Eagles Watch Ocean Front B and B, Auke Bay, Juneau","6","Private room in home","5","https://www.airbnb.com/rooms/36912498"
"Juneau, Alaska, United States","58.30068","-134.40827","Heart of downtown Juneau, Roof Deck Hot Tub, Modern Boutique Hotel, Historic City Center, Superior Queen Room","2","Room in boutique hotel","4.5","https://www.airbnb.com/rooms/32134125"
"Juneau, Alaska, United States","58.39361","-134.58134","Cozy apartment in the heart of the valley.","8","Entire rental unit","5","https://www.airbnb.com/rooms/41132025"
"Juneau, Alaska, United States","58.29143","-134.42856","Pioneer Place!  Relaxing Space/ Amazing Views","6","Entire guest suite","5","https://www.airbnb.com/rooms/11717958"
"Juneau, Alaska, United States","58.39786","-134.56157","The Glacier Escape","10","Entire home","5","https://www.airbnb.com/rooms/45116184"
"Juneau, Alaska, United States","58.40948","-134.59082","Cassiar Retreat","15","Entire home","5","https://www.airbnb.com/rooms/32292304"
"Juneau, Alaska, United States","58.28844","-134.42623","Juneau one bedroom apartment with a view.","4","Entire rental unit","5","https://www.airbnb.com/rooms/25138662"
