"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Long Lake, New York, United States","43.96098","-74.43246","Lake House-Long Lake, Adirondacks","6","Entire home",,"https://www.airbnb.com/rooms/5153214"
"Long Lake, New York, United States","43.9756","-74.41989","Birch Point - Snowmobile Friendly","5","Entire cabin","5","https://www.airbnb.com/rooms/29157406"
"Hadley, New York, United States","43.2884","-74.06858","Adirondack getaway near The great Sacandaga lake","4","Entire cottage","5","https://www.airbnb.com/rooms/53078262"
"Long Lake, New York, United States","43.97567","-74.4183","Cottage 21 'Bunkhouse'","4","Entire villa","5","https://www.airbnb.com/rooms/29209041"
"Long Lake, New York, United States","43.97539","-74.41842","Cottage 10 'Pine Place'","6","Entire villa","5","https://www.airbnb.com/rooms/33037608"
"Inlet, New York, United States","43.75","-74.798","Inlet Village - Deer Watch Lodge","8","Entire home","5","https://www.airbnb.com/rooms/19331451"
"Blue Mt Lake, New York, United States","43.85561","-74.42868","Double cabin #1, accommodating 8 guests","8","Entire cabin","4.5","https://www.airbnb.com/rooms/4526084"
"Northville, New York, United States","43.21633","-74.18528","Historic Accommodation along the Lake","6","Entire cottage","5","https://www.airbnb.com/rooms/21226679"
"Long Lake, New York, United States","43.97616","-74.41806","Cottage 24 'Bay View'","5","Entire villa",,"https://www.airbnb.com/rooms/33037615"
"Newcomb, New York, United States","43.96998","-74.13958","Adirondack Glamping at its best...","2","Tent","5","https://www.airbnb.com/rooms/52275783"
"Long Lake, New York, United States","43.97536","-74.41796","Cottage 2 'The Roost'","5","Room in hotel",,"https://www.airbnb.com/rooms/33795668"
"Eagle Bay, New York, United States","43.7674","-74.81541","Cheerful 4bedroom Adirondack home with bonus space","13","Entire cottage","5","https://www.airbnb.com/rooms/51635175"
"Eagle Bay, New York, United States","43.76797","-74.81806","Renovated Camp with Beach Rights down the Street!","8","Entire cabin","5","https://www.airbnb.com/rooms/51309068"
"Newcomb, New York, United States","43.96653","-74.1694","Authentic Adirondack Cabin","7","Entire cabin","5","https://www.airbnb.com/rooms/50855266"
"Old Forge, New York, United States","43.76565","-74.84324","""Cozy Old Forge Cottage""","6","Entire cottage","5","https://www.airbnb.com/rooms/50053186"
"Indian Lake, New York, United States","43.74558","-74.29059","The Pine","8","Entire cabin","5","https://www.airbnb.com/rooms/51591433"
"Inlet, New York, United States","43.77731","-74.78419","Cozy Cabin in the Forest","8","Entire cabin","5","https://www.airbnb.com/rooms/36451285"
"Long Lake, New York, United States","43.97877","-74.42021","Cottage 23 'Bearadise'","4","Entire villa","5","https://www.airbnb.com/rooms/28314339"
"Long Lake, New York, United States","43.81046","-74.6459","Raquette Lake Waterfront 4 Bedroom Camp","8","Entire vacation home","5","https://www.airbnb.com/rooms/54349435"
"Hadley, New York, United States","43.26615","-74.07272","Modern Lake house with Excellent boat dock","8","Entire home","4.5","https://www.airbnb.com/rooms/34334933"
"Long Lake, New York, United States","43.977","-74.419","Bay View Winter","5","Entire cabin",,"https://www.airbnb.com/rooms/27988264"
"Raquette Lake, New York, United States","43.8113","-74.64905","Cabins at Raquette Lake - the Loon","5","Entire cabin","5","https://www.airbnb.com/rooms/8172646"
"North River, New York, United States","43.72146","-74.10978","North River Garnet Hill House","7","Entire home","5","https://www.airbnb.com/rooms/27604516"
"Long Lake, New York, United States","43.97617","-74.41779","#21 Bunkhouse","3","Entire cabin","5","https://www.airbnb.com/rooms/28218487"
"Inlet, New York, United States","43.73988","-74.78391","Charming Little Cabin in the Adirondacks!","3","Entire cottage","5","https://www.airbnb.com/rooms/42099341"
