"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Kansas City, Missouri, United States","39.08841","-94.58364","Insta-Worthy Oasis Less than 10 miles to Arrowhead Stadium! 311","2","Entire condo","4.5","https://www.airbnb.com/rooms/54409322"
"Kansas City, Missouri, United States","39.03215","-94.56139","HUGE 3 Story Home - 16 Guest- Mins to UMKC & Plaza","16","Entire home","4.5","https://www.airbnb.com/rooms/52813261"
"Kansas City, Missouri, United States","39.05695","-94.59689","Westport: Beautiful & Spacious Home w/ 4 Bedrooms","8","Entire home","5","https://www.airbnb.com/rooms/39111001"
"Kansas City, Missouri, United States","39.07296","-94.57327","5 BR mins2 Downtown/12 mins to Arrowhead","10","Entire home","5","https://www.airbnb.com/rooms/29736185"
"Kansas City, Missouri, United States","39.05544","-94.59163","Westport ""Vida"" House #1","5","Entire rental unit","5","https://www.airbnb.com/rooms/50289541"
"Kansas City, Missouri, United States","39.01243","-94.59461","The Greenway","6","Entire home",,"https://www.airbnb.com/rooms/42101440"
"Kansas City, Missouri, United States","39.01903","-94.57815","Art Infused Modern Home","4","Private room in home","4.5","https://www.airbnb.com/rooms/20440932"
"Kansas City, Missouri, United States","39.056","-94.592","Westport ""Vida"" House #2","6","Entire rental unit","5","https://www.airbnb.com/rooms/50289798"
"Kansas City, Missouri, United States","39.11318","-94.55144","River Market, Power & Light Manor in Historic Park","16","Entire home","4.5","https://www.airbnb.com/rooms/22360388"
"Kansas City, Missouri, United States","39.07898","-94.57445","Walk to downtown!  Large House, Comfy, Charming!","16","Entire home","4.5","https://www.airbnb.com/rooms/28872566"
"Kansas City, Missouri, United States","39.07399","-94.55636","Beautiful 3Level Estate|5mins to Downtown|FreeWifi","16","Entire home","4","https://www.airbnb.com/rooms/52151987"
"Kansas City, Missouri, United States","39.046","-94.606","Perfect Plaza Location entire Terrific Townhome","8","Entire townhouse","5","https://www.airbnb.com/rooms/13762521"
"Kansas City, Missouri, United States","39.05386","-94.58276","Welcome to Warwick (Walk to Westport!)","8","Entire home","5","https://www.airbnb.com/rooms/44227972"
"Kansas City, Missouri, United States","39.04321","-94.59424","✨ The Perfect Holiday Stay ✨","3","Entire rental unit","4.5","https://www.airbnb.com/rooms/50915086"
"Kansas City, Missouri, United States","39.05879","-94.60142","Exquisite Duplex in the Heart of KC sleeps 14, blocks from 39th St","14","Entire home","5","https://www.airbnb.com/rooms/48956945"
"Kansas City, Missouri, United States","39.06995","-94.58479","Perfect Stay For The Holiday Season: Midtown Blue","14","Entire home","5","https://www.airbnb.com/rooms/30504146"
"Kansas City, Missouri, United States","39.0042","-94.58883","Lovely modern bright Brookside home","6","Entire home","5","https://www.airbnb.com/rooms/18774158"
"Kansas City, Missouri, United States","39.054","-94.59966","ENTIRE 4br HISTORIC DUPLEX!!! - Centrally Located","8","Entire home","5","https://www.airbnb.com/rooms/53921328"
"Kansas City, Missouri, United States","39.038","-94.601","2-Plaza Townhouse | 4 Bedroom | Parking | Patio","10","Entire townhouse","4.5","https://www.airbnb.com/rooms/24776010"
"Kansas City, Missouri, United States","39.042","-94.576","Plaza smart home with garage parking","6","Entire home","5","https://www.airbnb.com/rooms/46901719"
"Kansas City, Missouri, United States","39.08494","-94.59515","Walk to Boulevard Brewery & The Crossroads!","6","Entire home","4.5","https://www.airbnb.com/rooms/33800787"
"Kansas City, Missouri, United States","39.045","-94.595","Plaza House","4","Entire home","5","https://www.airbnb.com/rooms/29968076"
"Kansas City, Missouri, United States","39.07555","-94.53787","2022 Elegant Smart Home Space","8","Entire home","5","https://www.airbnb.com/rooms/48310080"
"Kansas City, Missouri, United States","39.02173","-94.59701","Cozy Kansas City Home in a Quiet Neighborhood","6","Entire home",,"https://www.airbnb.com/rooms/46139038"
"Kansas City, Missouri, United States","39.07983","-94.57575","Perfect Location Walk to Crown Center/UnionStation","7","Entire home","5","https://www.airbnb.com/rooms/52005263"
