"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Oconomowoc, Wisconsin, United States","43.13015","-88.43591","Lake Country Cottage","6","Entire cottage","5","https://www.airbnb.com/rooms/17366548"
"Delafield , Wisconsin, United States","43.0675","-88.40215","Across from St John’s Military Academy Delafield","4","Entire townhouse","5","https://www.airbnb.com/rooms/30233292"
"Oconomowoc, Wisconsin, United States","43.128","-88.436","Cute quiet lakeside cottage","4","Entire home","5","https://www.airbnb.com/rooms/52132070"
"Hartland, Wisconsin, United States","43.13765","-88.3863","Wooded Wonderland, Quiet & Clean","6","Private room in home",,"https://www.airbnb.com/rooms/18892471"
"Hartland, Wisconsin, United States","43.10463","-88.34494","Relaxing 2-bedroom 2-bathroom with loft","4","Entire rental unit","5","https://www.airbnb.com/rooms/50952873"
"Brookfield, Wisconsin, United States","43.02076","-88.13145","Suburban Getaway in Brookfield Milwaukee Waukesha","8","Entire home","4.5","https://www.airbnb.com/rooms/41842333"
"Oconomowoc, Wisconsin, United States","43.11221","-88.44313","Okauchee Lake getaway with incredible views.","4","Entire vacation home","4.5","https://www.airbnb.com/rooms/53528436"
"Delafield, Wisconsin, United States","43.06163","-88.40383","DElafield Rivers Gateway Luxurious Condo","8","Entire condo","5","https://www.airbnb.com/rooms/41587134"
"Wauwatosa, Wisconsin, United States","43.043","-88.06396","Relax close to everything in Milwaukee","6","Entire home","5","https://www.airbnb.com/rooms/51668714"
"Sussex, Wisconsin, United States","43.12022","-88.25606","Updated Spacious House","7","Entire home","5","https://www.airbnb.com/rooms/18035493"
"New Berlin, Wisconsin, United States","42.9471","-88.09685","Suburban Retreat- Private 5 acres w/hiking trails","10","Entire home","5","https://www.airbnb.com/rooms/31296119"
"Oconomowoc, Wisconsin, United States","43.11315","-88.4891","The Paddle House","8","Entire home","5","https://www.airbnb.com/rooms/50214486"
"Oconomowoc, Wisconsin, United States","43.12868","-88.4402","Okauchee Lake retreat","4","Entire home","5","https://www.airbnb.com/rooms/33043120"
"Milwaukee , Wisconsin, United States","43.03079","-88.06523","The Good Land Getaway:  Ideal location, hot tub","10","Entire home","5","https://www.airbnb.com/rooms/41723391"
"Mukwonago, Wisconsin, United States","42.84717","-88.43886","All Season Lake Cabin Next to Kettle Moraine","5","Entire home","5","https://www.airbnb.com/rooms/49617858"
"Delafield, Wisconsin, United States","43.08211","-88.39624","Lake Country 3 Bedroom Retreat","7","Entire cottage","5","https://www.airbnb.com/rooms/51284506"
"Pewaukee, Wisconsin, United States","43.06823","-88.28896","Luxury Lake Home-Miles of Lake Views w/ pier&boat","11","Entire home","5","https://www.airbnb.com/rooms/47293383"
"Pewaukee, Wisconsin, United States","43.07249","-88.34059","Rare Log Cabin Hidden Hideaway 3BR/2BA","6","Entire cabin","5","https://www.airbnb.com/rooms/28915672"
"Nashotah, Wisconsin, United States","43.10937","-88.4269","Okauchee Lake - Newly Remodeled Cozy Cottage","6","Entire cottage","5","https://www.airbnb.com/rooms/49160904"
"Delafield, Wisconsin, United States","43.06281","-88.40333","Historic Downtown Delafield Exec Apt w/Lake Views","2","Entire rental unit","5","https://www.airbnb.com/rooms/36447944"
"Pewaukee, Wisconsin, United States","43.08751","-88.27433","Pewaukee Lake Access/Slip 5 bedroom 2 bath home","14","Entire home","5","https://www.airbnb.com/rooms/51580617"
"Wales, Wisconsin, United States","43.00398","-88.37844","Historic, Vintage, Classy, 12 bed, 6 bath!","16","Entire home","5","https://www.airbnb.com/rooms/46089928"
"Pewaukee, Wisconsin, United States","43.06234","-88.30274","Lake Country Living—Pewaukee","5","Entire home","5","https://www.airbnb.com/rooms/34814503"
"Wales, Wisconsin, United States","43.00781","-88.35906","Magnificently-restored, charming, 8+ Bed-Victorian","16","Entire home","5","https://www.airbnb.com/rooms/37711577"
"Delafield, Wisconsin, United States","43.06314","-88.39849","NEW! Home - 2 Blocks to Lake Nagawicka Boat Launch","6","Entire home","5","https://www.airbnb.com/rooms/52144991"
