"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Franklinville, New York, United States","42.29171","-78.55558","GRACELAND","12","Entire townhouse",,"https://www.airbnb.com/rooms/38279975"
"Ellicottville, New York, United States","42.31393","-78.68149","Ski House - Sleeps up to 9","9","Entire home","5","https://www.airbnb.com/rooms/16505305"
"Ellicottville, New York, United States","42.27373","-78.66725","21 Mill Street","10","Entire home","4.5","https://www.airbnb.com/rooms/12075819"
"Conewango Valley, New York, United States","42.29698","-78.98376","Tenting Terrace @ ShineOn Valley","2","Campsite",,"https://www.airbnb.com/rooms/43730171"
"Machias, New York, United States","42.42392","-78.47345","Log Home Rental Overlooking Lime Lake Near Ellicottville, NY","12","Entire cabin","5","https://www.airbnb.com/rooms/20195200"
"Conewango Valley, New York, United States","42.29189","-78.98447","Back Bottom Camp @ShineOn Valley","6","Camper/RV",,"https://www.airbnb.com/rooms/47445253"
"Ellicottville, New York, United States","42.28384","-78.66497","Ellicottville NY - Wildwood Retreat 2-4 guests","4","Entire villa","5","https://www.airbnb.com/rooms/9220010"
"Lime Lake, New York, United States","42.43037","-78.48071","Cottage on Lime Lake","9","Entire cottage","5","https://www.airbnb.com/rooms/48177878"
"Ellicottville, New York, United States","42.26885","-78.66718","Ellicottville Perfect Spot 4 lincoln","9","Entire townhouse",,"https://www.airbnb.com/rooms/21610941"
"Olean, New York, United States","42.08079","-78.42782","Barry Street Historical Loft - But so much more!","7","Entire place","5","https://www.airbnb.com/rooms/50899878"
"Machias, New York, United States","42.42503","-78.48189","Wallace Lake House: Peaceful Social Distancing","7","Entire home","5","https://www.airbnb.com/rooms/45674441"
"Machias, New York, United States","42.427","-78.477","Lake Front Getaway on Lime Lake near Ellicottville","6","Entire home","5","https://www.airbnb.com/rooms/36588803"
"Cattaraugus, New York, United States","42.35617","-78.81539","EARLY BIRD RANCH ( Located Near Ellicottville NY )","12","Entire home","5","https://www.airbnb.com/rooms/52601018"
"Little Valley, New York, United States","42.21889","-78.85358","Chateau du Soleil- Your PERFECT Retreat!","13","Entire home","4.5","https://www.airbnb.com/rooms/18171428"
"Ellicottville, New York, United States","42.27406","-78.66682","Family fun in EVILLE! Stroll to town","16","Entire rental unit","5","https://www.airbnb.com/rooms/47582341"
"Little Valley, New York, United States","42.32562","-78.74005","Seasonal rental- 2bdrm House - Eville","4","Entire bungalow",,"https://www.airbnb.com/rooms/50793871"
"Ellicottville, New York, United States","42.28123","-78.66555","Excelsior Room at Saisons Inn","2","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/46198157"
"Ellicottville, New York, United States","42.28259","-78.66565","Sportsman Room at Saisons Inn","2","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/46197960"
"Ellicottville, New York, United States","42.26311","-78.66699","Sunny Ski Chalet Holiday Valley","10","Entire chalet","5","https://www.airbnb.com/rooms/8953658"
"Ellicottville, New York, United States","42.27525","-78.69634","""Sunset Villa"" Slopeside Views Short walk to town!","8","Entire condo","4.5","https://www.airbnb.com/rooms/48518135"
"Randolph, New York, United States","42.21682","-78.94498","Amish Trail - luxury 3 bedroom residential home.","5","Entire home",,"https://www.airbnb.com/rooms/53106095"
"Ellicottville, New York, United States","42.28146","-78.66391","Americana Room at Saisons Inn","2","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/46198145"
"Ellicottville, New York, United States","42.2753","-78.67383","Mason House Unit B","5","Entire rental unit","5","https://www.airbnb.com/rooms/28864218"
"Ellicottville, New York, United States","42.27987","-78.66813","Beautiful Home Walk to Downtown Plenty Parking","4","Entire home","5","https://www.airbnb.com/rooms/41950527"
"Randolph, New York, United States","42.215","-78.905","Private Waterfront Cottage close to Ellicottville","12","Entire cottage","4.5","https://www.airbnb.com/rooms/31253460"
