"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Bend, Oregon, United States","44.05374","-121.32978","Westside Craftsman! River, Pubs + Hot Tub!","6","Entire home","5","https://www.airbnb.com/rooms/15708133"
"Sunriver, Oregon, United States","43.89188","-121.44079","Private Hot Tub, Pool Table, 10 SHARC Passes, & More at this Sunriver Home","10","Entire home","4.5","https://www.airbnb.com/rooms/17077199"
"Sunriver, Oregon, United States","43.86421","-121.47327","Family-friendly Gem on Spring River with Large Deck, WiFi, and Game Room","10","Entire home","5","https://www.airbnb.com/rooms/20082824"
"Sunriver, Oregon, United States","43.89708","-121.44982","Sunny Lodge on Scenic Riverbank with Private Hot Tub - Quiet Location, SHARC Access","8","Entire home","4.5","https://www.airbnb.com/rooms/17077441"
"Sunriver, Oregon, United States","43.89463","-121.42327","*Free Activities with Xplorie*  Massive 4 level home with Pool Table, 2 Living Areas, A/C, Hot Tub - Poplar 35","16","Entire home","5","https://www.airbnb.com/rooms/42564675"
"Black Butte Ranch, Oregon, United States","44.37119","-121.67241","On the golf course w/ access to resort amenities (hot tubs, pools, more)!","6","Entire home","5","https://www.airbnb.com/rooms/19351786"
"Bend, Oregon, United States","44.058","-121.312","Prime Downtown Bend Location * WiFi and Cable","2","Entire condo",,"https://www.airbnb.com/rooms/7631136"
"Sunriver, Oregon, United States","43.89415","-121.44578","Sunriver 6 bedroom Luxurious Mountain Retreat is waiting for you! - ASPE01","14","Entire home","5","https://www.airbnb.com/rooms/26980879"
"Sunriver, Oregon, United States","43.90114","-121.43212","10 Fir Cone Lane | 4 BR / 3 BA, Sleeps 10","10","Entire home",,"https://www.airbnb.com/rooms/21351022"
"Redmond, Oregon, United States","44.26014","-121.2638","Eagle Crest One bedroom","4","Entire rental unit",,"https://www.airbnb.com/rooms/695881"
"Redmond, Oregon, United States","44.25024","-121.228","3 bed / 3 bath Redmond, OR Home Rental","6","Entire home","4.5","https://www.airbnb.com/rooms/20171645"
"Bend, Oregon, United States","43.99754","-121.39396","SKI OREGON - WORLDMARK BEND -SEVENTH MTN RESORT","4","Entire rental unit",,"https://www.airbnb.com/rooms/2904257"
"Redmond, Oregon, United States","44.25112","-121.22814","3 bed / 3 bath House in Redmond","6","Entire home",,"https://www.airbnb.com/rooms/44095901"
"Sunriver, Oregon, United States","43.90093","-121.43753","9 Malheur Lane | 3 BR / 3 BA, Sleeps 10","8","Entire home",,"https://www.airbnb.com/rooms/21404479"
"Sisters, Oregon, United States","44.37754","-121.65135","Spectacular views and superb location","8","Entire home","5","https://www.airbnb.com/rooms/30556702"
"Terrebonne, Oregon, United States","44.36612","-121.20567","Private Family Ranch Home","12","Farm stay","5","https://www.airbnb.com/rooms/52260326"
"Sisters, Oregon, United States","44.34776","-121.65131","Glaze Meadow Golf Course View","7","Entire home",,"https://www.airbnb.com/rooms/33098069"
"Prineville, Oregon, United States","44.30722","-120.80036","M2 Eclipse Room 2 - Private room","2","Private room in home",,"https://www.airbnb.com/rooms/20543774"
"Sunriver, Oregon, United States","43.86998","-121.443","17 Tennis Village | 2 BR / 2 BA, Sleeps 6","6","Entire condo",,"https://www.airbnb.com/rooms/21404284"
"Eagle Crest, Oregon, United States","44.26088","-121.28061","Charming home on golf course w/ shared pool, hot tub & resort amenities!","8","Entire home","5","https://www.airbnb.com/rooms/42096481"
"Sunriver, Oregon, United States","43.87211","-121.44123","28 Tennis Village | 2 BR / 2 BA, Sleeps 8","8","Entire condo","4.5","https://www.airbnb.com/rooms/21404336"
"Sunriver, Oregon, United States","43.903","-121.44","4 Bedroom Family Friendly House (No SHARC Passes)","10","Entire home","4.5","https://www.airbnb.com/rooms/7965511"
"Sunriver, Oregon, United States","43.87103","-121.44061","64 Tennis Village | 2 BR / 2 BA, Sleeps 6","6","Entire condo","4.5","https://www.airbnb.com/rooms/44596109"
"Redmond, Oregon, United States","44.26824","-121.27077","Spacious golf course home with private hot tub & WiFi - easy walk to pool","10","Entire home","5","https://www.airbnb.com/rooms/50486464"
"Sunriver, Oregon, United States","43.89011","-121.44193","9 Todd Lane | 3 BR / 3 BA, Sleeps 6","6","Entire home",,"https://www.airbnb.com/rooms/49174273"
