"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Minnetonka, Minnesota, United States","44.94393","-93.45133","Minnetonka by I-394 & I-494--spectacular acre","12","Entire home","4.5","https://www.airbnb.com/rooms/19931936"
"Minneapolis, Minnesota, United States","44.96991","-93.30382","Gourmet Kitchen in Kenwood","8","Entire home","5","https://www.airbnb.com/rooms/2203701"
"Saint Paul, Minnesota, United States","44.90334","-93.18084","Newly Redone 5BD/2BTH in Central Location","12","Entire home","4.5","https://www.airbnb.com/rooms/48000983"
"Minneapolis, Minnesota, United States","44.88935","-93.32097","Luxury Suite at Erik's Retreat","6","Room in boutique hotel","4.5","https://www.airbnb.com/rooms/36267138"
"Minneapolis, Minnesota, United States","44.9567","-93.29139","A storybook mansion in the middle of the city.","7","Private room in home","5","https://www.airbnb.com/rooms/21121638"
"Minneapolis, Minnesota, United States","44.96983","-93.29798","Modern Apartment in Kenwood","6","Entire rental unit","4.5","https://www.airbnb.com/rooms/10939437"
"Minneapolis, Minnesota, United States","44.98418","-93.22968","Exceptional Loft #309 - UMN","10","Entire rental unit","5","https://www.airbnb.com/rooms/50086329"
"Minneapolis, Minnesota, United States","44.89599","-93.3543","Edina ST/ LT Rental 4 br house furnished/unfurnish","5","Entire home",,"https://www.airbnb.com/rooms/4735352"
"Minneapolis, Minnesota, United States","44.88753","-93.31691","Home away from Home in Minneapolis, MN","6","Entire home","5","https://www.airbnb.com/rooms/33314154"
"Saint Louis Park, Minnesota, United States","44.92668","-93.34198","Modern and Cozy Family Living","8","Entire home","5","https://www.airbnb.com/rooms/19285917"
"Arden Hills, Minnesota, United States","45.05312","-93.18207","Location, Location, Location","4","Entire home","5","https://www.airbnb.com/rooms/28608644"
"Minneapolis, Minnesota, United States","44.96175","-93.26189","Clean 1st floor 4 bedroom Near Downtown [1-4]","8","Entire rental unit","3.5","https://www.airbnb.com/rooms/52372623"
"Anoka, Minnesota, United States","45.19633","-93.38801","Rest & Play-Whole Bear House","5","Entire home","4.5","https://www.airbnb.com/rooms/881006"
"Minneapolis, Minnesota, United States","44.88898","-93.32045","Luxury Suite with Kitchen at Erik's Retreat","6","Room in boutique hotel","5","https://www.airbnb.com/rooms/33015703"
"Minneapolis, Minnesota, United States","44.989","-93.265","Charming Urban Sanctuary - 2 Queen Beds","5","Private room in home","5","https://www.airbnb.com/rooms/15042873"
"Minnetonka, Minnesota, United States","44.94441","-93.44993","Minnetonka Charmer on Acre Sleep 14 nr Minneapolis","14","Entire home","4.5","https://www.airbnb.com/rooms/19278784"
"Saint Paul, Minnesota, United States","44.89966","-93.18295","Large 5 BD/2BTH in Highland Park","14","Entire home","4.5","https://www.airbnb.com/rooms/32570294"
"Edina, Minnesota, United States","44.88254","-93.32045","One Bedroom Suite 2 King Beds at Homewood Suites Edina","2","Entire rental unit",,"https://www.airbnb.com/rooms/52513746"
"Minneapolis, Minnesota, United States","44.96575","-93.23427","★ The Lilac Loft of Minneapolis","8","Entire home",,"https://www.airbnb.com/rooms/44909685"
"Minneapolis, Minnesota, United States","44.94675","-93.34625","JStay#318A-Single Family 4BD/2ba 33% off Jan-Mar","16","Entire home",,"https://www.airbnb.com/rooms/36175903"
"Minneapolis, Minnesota, United States","44.941","-93.37972","COZY HOME. FREE PARKING. 2-BEDROOMS, 2-BATHROOMS","5","Entire home",,"https://www.airbnb.com/rooms/51466146"
"Minneapolis, Minnesota, United States","44.96226","-93.2982","Luxury European Inspired Rental Flat 1","4","Entire home",,"https://www.airbnb.com/rooms/21250627"
"Minneapolis, Minnesota, United States","44.92761","-93.21083","Charming, friendly bungalow","5","Entire home","5","https://www.airbnb.com/rooms/45958624"
"Minneapolis, Minnesota, United States","44.956","-93.282","Spacious, Unique and Clean in Historic Whittier","8","Entire rental unit","5","https://www.airbnb.com/rooms/6782997"
"Minneapolis, Minnesota, United States","44.85184","-93.32104","Close to MOA!! ~Central Location~ Southdale Cent.~","8","Entire home","5","https://www.airbnb.com/rooms/53903459"
