"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Rutland, Vermont, United States","43.60922","-72.97062","Spacious Rutland Townhome w/Fire Pit- Walk to Town","11","Entire townhouse","4.5","https://www.airbnb.com/rooms/27368604"
"Pawlet, Vermont, United States","43.31801","-73.24465","Hickory Ridge, Vermont Log Cabin","7","Entire home","5","https://www.airbnb.com/rooms/1024733"
"Dorset, Vermont, United States","43.29962","-73.13872","Pond House... on a farm, by a pond","4","Farm stay","5","https://www.airbnb.com/rooms/18777087"
"Shrewsbury, Vermont, United States","43.53658","-72.81594","Balm of Gilead B & B  Blue Suite","4","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/14385247"
"Ludlow, Vermont, United States","43.3849","-72.72301","Okemo Mountain Home w/privacy","8","Entire home","5","https://www.airbnb.com/rooms/43218575"
"Mount Holly, Vermont, United States","43.41734","-72.79467","Mountain Home with Beautiful views","6","Entire home","5","https://www.airbnb.com/rooms/28467773"
"Killington, Vermont, United States","43.60864","-72.77107","TV Condo #1 Slopeside One Bedroom","4","Entire condo","5","https://www.airbnb.com/rooms/21052662"
"Plymouth, Vermont, United States","43.53414","-72.74108","Quaint Family-Friendly Home Between Killington & Okemo for Great Skiing","8","Entire home","4.5","https://www.airbnb.com/rooms/19325128"
"Killington, Vermont, United States","43.6307","-72.79476","Condo, Killington Base, Walk to Lifts, Book Now","6","Entire condo","5","https://www.airbnb.com/rooms/22319888"
"Killington, Vermont, United States","43.63","-72.796","Large 1 Bedroom Mountain Side","4","Entire rental unit","5","https://www.airbnb.com/rooms/51128224"
"Mendon, Vermont, United States","43.64917","-72.886","Red Clover Inn-Lydia: 2-story Queen Suite near Kil","4","Private room in guest suite","5","https://www.airbnb.com/rooms/53973374"
"Ludlow, Vermont, United States","43.39685","-72.71803","Uncle Fred's Place on Okemo Mountain","6","Entire guest suite","5","https://www.airbnb.com/rooms/15841057"
"Mendon, Vermont, United States","43.65042","-72.88564","Red Clover Inn-Dan: Spacious, King Suite with sofa","4","Private room in guest suite",,"https://www.airbnb.com/rooms/54058420"
"Granville, New York, United States","43.33942","-73.28394","Gorgeous, Secluded, Lakeside Lodge","10","Entire cabin","5","https://www.airbnb.com/rooms/7631930"
"Rutland, Vermont, United States","43.66275","-72.84213","Pico F305 located slope side at Pico","8","Entire home",,"https://www.airbnb.com/rooms/52405477"
"Castleton, Vermont, United States","43.66216","-73.18584","Peaceful Cabin Near Lake Bomoseen","8","Entire cabin","5","https://www.airbnb.com/rooms/181665"
"Killington, Vermont, United States","43.62675","-72.78703","Ski home to this beautiful condo with shuttle to Slopes Whiffletree E4","4","Entire condo","4.5","https://www.airbnb.com/rooms/20598308"
"Ludlow, Vermont, United States","43.41242","-72.72514","Condo near ski trail with fireplace, hot tub, pool, tennis & washer/dryer","10","Entire condo","4.5","https://www.airbnb.com/rooms/53049550"
"Ludlow, Vermont, United States","43.41082","-72.72187","Ground-floor condo with fireplace, pool, hot tub, tennis, washer/dryer & cable","9","Entire condo",,"https://www.airbnb.com/rooms/53046971"
"Ludlow, Vermont, United States","43.40371","-72.71737","Ski-in/ski-out condo with WiFi, washer/dryer, mountain views & golf nearby","6","Entire condo",,"https://www.airbnb.com/rooms/53861668"
"Plymouth, Vermont, United States","43.50641","-72.71431","Beautiful Mountain Getaway","8","Entire home","5","https://www.airbnb.com/rooms/15452279"
"Castleton, Vermont, United States","43.67364","-73.19702","Eckley Point Lake House","6","Entire chalet","4.5","https://www.airbnb.com/rooms/20730450"
"Ludlow, Vermont, United States","43.41857","-72.7248","Ski-in/out condo with fireplace, pool, hot tub, washer/dryer & cable","9","Entire condo","5","https://www.airbnb.com/rooms/53046944"
"Killington, Vermont, United States","43.62864","-72.79494","Across from Slopes","4","Entire condo","4.5","https://www.airbnb.com/rooms/37515809"
"Killington, Vermont, United States","43.64639","-72.77598","Spacious Northbrook 3 townhouse only 2 miles from restaurants & nightlife","6","Entire condo","4","https://www.airbnb.com/rooms/8607284"
