"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"South Lake Tahoe, California, United States","38.8947","-119.97747","Into the Woods!  Backs to National Forest Trails!","10","Entire home","5","https://www.airbnb.com/rooms/52797132"
"South Lake Tahoe, California, United States","38.91433","-120.01886","Hosted 2BR, 15 Mins to Heavenly Quiet Neighborhood","6","Private room in home","5","https://www.airbnb.com/rooms/50641116"
"South Lake Tahoe, California, United States","38.89972","-119.96458","Perfect Summer Getaway!","10","Entire home","5","https://www.airbnb.com/rooms/13622663"
"South Lake Tahoe, California, United States","38.93176","-120.01816","Family Home, Hot Tub and Dock - Monthly Stays!","8","Entire home","5","https://www.airbnb.com/rooms/5064779"
"South Lake Tahoe, California, United States","38.85134","-120.0187","Newly furnished one level home with garage","10","Entire chalet","4.5","https://www.airbnb.com/rooms/48210676"
"South Lake Tahoe, California, United States","38.90246","-119.95379","Enviable Lake and Mountain Views wth Waterfall","10","Entire home","4.5","https://www.airbnb.com/rooms/43892942"
"South Lake Tahoe, California, United States","38.892","-119.979","CoatneyCabin in South Lake Tahoe","10","Entire home","5","https://www.airbnb.com/rooms/3257786"
"South Lake Tahoe, California, United States","38.889","-119.985","Escape to Tahoe! Quick Drive to Heavenly! Cozy Cab","8","Entire cabin","5","https://www.airbnb.com/rooms/51176956"
"South Lake Tahoe, California, United States","38.91055","-119.95617","Cold Creek Lodge Large Private Deck Close to","8","Entire home","4.5","https://www.airbnb.com/rooms/50306741"
"South Lake Tahoe, California, United States","38.9288","-120.01361","Extravagant living in the keys! SKI, SHOP, BOAT","8","Entire home",,"https://www.airbnb.com/rooms/46747537"
"South Lake Tahoe, California, United States","38.85565","-120.03542","Spacious lodge with wonderful views & large deck - great location, walk to trail","6","Entire home","4.5","https://www.airbnb.com/rooms/49651833"
"South Lake Tahoe, California, United States","38.89194","-119.98002","Tahoe - Contemporary Style Cabin Home","8","Entire home","5","https://www.airbnb.com/rooms/30152880"
"South Lake Tahoe, California, United States","38.91657","-119.96723","Tahoe Getaway","8","Entire home","4.5","https://www.airbnb.com/rooms/1811160"
"South Lake Tahoe, California, United States","38.8901","-119.9772","Beary Cute Cabin*Fence*Garage*P-pong*Heavenly 5 mi","8","Entire cabin","5","https://www.airbnb.com/rooms/47736031"
"Bear Valley, California, United States","38.463","-120.042","Adorable 2 Bedroom Mountain Condo!  Sleeps Up to 5! ~tamarack Condo 17","5","Entire condo","4","https://www.airbnb.com/rooms/30740160"
"South Lake Tahoe, California, United States","38.85709","-120.00234","Evolve | Spacious Lake Tahoe House w/ Private Deck","10","Entire home","4.5","https://www.airbnb.com/rooms/20216813"
"South Lake Tahoe, California, United States","38.92538","-119.97683","Eagles Perch Sierra Getaway","12","Entire home","4.5","https://www.airbnb.com/rooms/28580654"
"South Lake Tahoe, California, United States","38.865","-120.003","5 Bedroom Home with Pool Table, New Hot Tub, Great","12","Entire home","4.5","https://www.airbnb.com/rooms/14757008"
"South Lake Tahoe, California, United States","38.93015","-120.01353","Luxury Tahoe Keys Home with Private Dock","10","Entire home",,"https://www.airbnb.com/rooms/50198700"
"South Lake Tahoe, California, United States","38.92851","-120.00474","Tahoe Keys Cabin with Spa on Lagoon","7","Entire cabin","5","https://www.airbnb.com/rooms/10549736"
"South Lake Tahoe, California, United States","38.8726","-119.99871","Foosball Table, Spa, Grill, Large Fenced in Yard, WFH Space, Fast Wifi – Whispering Pines","8","Entire home","4.5","https://www.airbnb.com/rooms/50505838"
"South Lake Tahoe, California, United States","38.89192","-119.98323","TAHOE MOUNTAIN CHALET🐻","8","Entire cabin","5","https://www.airbnb.com/rooms/47363098"
"South Lake Tahoe, California, United States","38.89175","-119.98404","Single-level chalet with large yard, firepit & wood stove - dogs welcome","6","Entire home","4.5","https://www.airbnb.com/rooms/53006489"
"South Lake Tahoe, California, United States","38.83822","-120.02764","Black Bear Cabin","8","Entire home","5","https://www.airbnb.com/rooms/52784922"
"Bear Valley, California, United States","38.465","-120.039","Modern and Sleek Light-Filled Studio - 3 Minute Walk to Village Center!  ~creekside Condo 110","4","Entire condo","5","https://www.airbnb.com/rooms/30740278"
