"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Laconia, New Hampshire, United States","43.6016","-71.45589","HAWKS NEST 2 BR Condo on Lake Winnipesaukee.","4","Entire condo","5","https://www.airbnb.com/rooms/45470466"
"Conway, New Hampshire, United States","43.98113","-71.11537","Cozy three bedroom home on the Saco River!","10","Entire cottage","4.5","https://www.airbnb.com/rooms/53605718"
"Gilford, New Hampshire, United States","43.56443","-71.37465","Awesome Lake Winnipesaukee and Gunstock Location!","10","Entire cabin","5","https://www.airbnb.com/rooms/53152955"
"Meredith, New Hampshire, United States","43.6229","-71.55294","Waterfront home with private dock, pool table, fireplace, water access, and W/D","8","Entire home",,"https://www.airbnb.com/rooms/22585411"
"Intervale, New Hampshire, United States","44.1257","-71.18191","Recently Renovated Home One Mile From Story Land.","8","Entire home","5","https://www.airbnb.com/rooms/17295140"
"Fryeburg, Maine, United States","44.10477","-70.99834","Lakefront cottage 20 min from N. Conway","10","Entire cottage","5","https://www.airbnb.com/rooms/52505411"
"Intervale, New Hampshire, United States","44.11741","-71.14262","Intervale Mtn Home w/ Sauna, 5 Mi to North Conway!","8","Entire home","4.5","https://www.airbnb.com/rooms/28867715"
"Jackson, New Hampshire, United States","44.14333","-71.16535","Jackson Chalet with great views","5","Entire home","5","https://www.airbnb.com/rooms/12230234"
"Intervale, New Hampshire, United States","44.11494","-71.1443","""Eagle Lodge""/ Unit 2
Upper Level/ Pet Friendly","4","Entire guest suite","5","https://www.airbnb.com/rooms/46663458"
"Waterville Valley, New Hampshire, United States","43.95","-71.508","Waterville Valley Townhouse near Town Square","8","Entire townhouse","5","https://www.airbnb.com/rooms/11672842"
"Conway, New Hampshire, United States","43.97144","-71.12478","Lakefront house with stunning views","6","Entire home","5","https://www.airbnb.com/rooms/49214800"
"Gilford, New Hampshire, United States","43.58652","-71.39539","Getaway at beautiful Lake Winnipesaukee!!","7","Entire home","5","https://www.airbnb.com/rooms/6212279"
"Waterville Valley, New Hampshire, United States","43.948","-71.507","Waterville Valley / Mountain Sun Condos","8","Entire townhouse","5","https://www.airbnb.com/rooms/17529098"
"Conway, New Hampshire, United States","44.04777","-71.11099","Hawk's Landing Lodge - 3 Floors Entire Townhouse","8","Entire townhouse","5","https://www.airbnb.com/rooms/48916521"
"Gilford, New Hampshire, United States","43.55666","-71.35446","Lake Winnipesaukee getaway in spacious house","8","Entire home","5","https://www.airbnb.com/rooms/50266822"
"Tamworth, New Hampshire, United States","43.85707","-71.30614","The Guest wing at the Twisted Moose","4","Private room in cabin","5","https://www.airbnb.com/rooms/51538258"
"Bartlett, New Hampshire, United States","44.08062","-71.21536","Private & dog-friendly home w/ balcony, deck - in the White Mountains!","5","Entire home","4.5","https://www.airbnb.com/rooms/38849954"
"Conway, New Hampshire, United States","44.05491","-71.12782","Perfect family vacation home steps to downtown.","6","Entire home","5","https://www.airbnb.com/rooms/46079940"
"Jackson, New Hampshire, United States","44.14999","-71.18528","Wentworth Condo in heart of Jackson, NH","6","Entire townhouse","4.5","https://www.airbnb.com/rooms/48226390"
"Fryeburg, Maine, United States","44.10614","-71.00019","Fryeburg retreat - lake access, near North Conway","10","Entire home","5","https://www.airbnb.com/rooms/52336625"
"Bartlett, New Hampshire, United States","44.0798","-71.23743","Ski-In/Out Gem with Deck, Fireplace, Shared Pool/Tennis, & Fast WiFi - Dogs OK","10","Entire condo",,"https://www.airbnb.com/rooms/550070229206223200"
"Conway, New Hampshire, United States","44.06078","-71.10675","Bright condo with WiFi, fireplace, outdoor pool, & excellent location","6","Entire condo",,"https://www.airbnb.com/rooms/31022803"
"Wolfeboro, New Hampshire, United States","43.558","-71.171","Sweet Apple Camp at Grey Shingles Camps","2","Entire cabin","5","https://www.airbnb.com/rooms/13209770"
"Conway, New Hampshire, United States","43.97562","-71.13628","Classic home w/ pond access & updated kitchen - near hiking, the Kank & more!","10","Entire home","4.5","https://www.airbnb.com/rooms/35349917"
"Conway, New Hampshire, United States","43.99651","-71.03402","Your Gateway to North Conway & The White Mountains","8","Entire home","5","https://www.airbnb.com/rooms/47733993"
