"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Cambridge, Vermont, United States","44.58445","-72.7841","Smugglers Notch VT 3 Bedroom  Ski-In/Out Condo","8","Entire condo",,"https://www.airbnb.com/rooms/31208518"
"Wolcott, Vermont, United States","44.47946","-72.50289","Dog Friendly Mountain Cabin - Close to Everything!","10","Entire cabin","5","https://www.airbnb.com/rooms/46068620"
"Cambridge, Vermont, United States","44.60188","-72.80988","Magnificent 3 BR Suite at the Lodge - Unit 1","8","Entire rental unit","5","https://www.airbnb.com/rooms/28572728"
"Stowe, Vermont, United States","44.48427","-72.64178","near Stowe Village, hot tub, dog friendly","7","Entire home","5","https://www.airbnb.com/rooms/22194012"
"Stowe, Vermont, United States","44.47638","-72.70673","Charming Condo in Prime Locale! Free High-Speed WiFi, Fireplace & Shared Pools","6","Entire condo","5","https://www.airbnb.com/rooms/53718202"
"Stowe, Vermont, United States","44.48379","-72.71425","2 Bedroom Condo Near Alchemist Brewery","4","Entire loft","5","https://www.airbnb.com/rooms/22609859"
"Stowe, Vermont, United States","44.4767","-72.71717","Budget & family-friendly condo w/forest views, shared hot tub/pool/basket/gym","6","Entire condo","4.5","https://www.airbnb.com/rooms/47718090"
"Stowe, Vermont, United States","44.48269","-72.7462","Luxury 1BR Apt in heart of XCntry/Mtn Bike Trails","6","Entire rental unit","5","https://www.airbnb.com/rooms/10248888"
"Stowe, Vermont, United States","44.4724","-72.7094","Stowe Escape Boutique Motel Loft Suite Three+ Beds","6","Room in hotel","4.5","https://www.airbnb.com/rooms/38601195"
"Cambridge, Vermont, United States","44.5929","-72.78991","Smugglers’ Notch Resort Condo w/ Shared Hot Tub and Pool, Fast WiFi, and W/D","9","Entire condo",,"https://www.airbnb.com/rooms/52734182"
"Cambridge, Vermont, United States","44.58858","-72.77743","Quiet Ski Condo at Smuggler's Notch Resort near Lifts w/ Access to Shared Pool","8","Entire condo","5","https://www.airbnb.com/rooms/47309319"
"Stowe, Vermont, United States","44.5137","-72.76821","Belle Vie ⨇ Condo ⨇ Ski in, Ski out, pool, tennis","6","Entire guest suite",,"https://www.airbnb.com/rooms/52792735"
"Stowe, Vermont, United States","44.484","-72.715","Stowe Condo off Mt. Rd - wood fire - deck - pool","8","Entire townhouse","4.5","https://www.airbnb.com/rooms/41969415"
"Cambridge, Vermont, United States","44.589","-72.788","Wyndham Smugglers' Notch ^ 2BR * Ski Resort","8","Room in aparthotel",,"https://www.airbnb.com/rooms/47196289"
"Cambridge, Vermont, United States","44.64472","-72.83515","3 BR @ Wyndham Smugglers Notch Sleeps 12!","12","Entire condo",,"https://www.airbnb.com/rooms/46310520"
"Cambridge, Vermont, United States","44.58932","-72.78831","2 Bedroom Condos at Smugglers Notch Resort","8","Entire condo","5","https://www.airbnb.com/rooms/39771715"
"Cambridge, Vermont, United States","44.64499","-72.83545","3 BR @ Wyndham Smugglers Notch in Vermont","10","Entire condo",,"https://www.airbnb.com/rooms/46310290"
"Eden, Vermont, United States","44.69776","-72.45548","Foxglove Cottage @ Eden Dogsledding","7","Entire home","4.5","https://www.airbnb.com/rooms/410141"
"Richmond, Vermont, United States","44.42185","-72.85053","Mountain Getaway Ski IN/OUT, cozy fireplace","6","Entire rental unit","5","https://www.airbnb.com/rooms/22067158"
"Cambridge, Vermont, United States","44.59027","-72.78858","3 Bedroom @ Amazing Smugglers Notch!","10","Entire serviced apartment",,"https://www.airbnb.com/rooms/39868268"
"Cambridge, Vermont, United States","44.64517","-72.83356","2 BR Presidential @ Club Wyndham Smugglers Notch!","6","Entire condo",,"https://www.airbnb.com/rooms/53863401"
"Cambridge, Vermont, United States","44.64551","-72.83406","Smuggler's Notch, Vermont / 3Bd    ( Sleeps 10)","10","Entire condo",,"https://www.airbnb.com/rooms/54405633"
"Stowe, Vermont, United States","44.42673","-72.68143","Pinnacle View Apartment","4","Entire rental unit",,"https://www.airbnb.com/rooms/21305575"
"Cambridge, Vermont, United States","44.64402","-72.83424","Slopeside Smuggler’s Notch Condo","8","Entire condo",,"https://www.airbnb.com/rooms/54105056"
"Stowe, Vermont, United States","44.478","-72.718","2 Bedroom Condo on the Hill","4","Entire condo","5","https://www.airbnb.com/rooms/47098540"
