"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Solon Springs, Wisconsin, United States","46.34177","-91.81489","Family Lake Escape w/ Dock, Paddleboats & Kayaks!","10","Entire cabin","4.5","https://www.airbnb.com/rooms/19193279"
"Gordon, Wisconsin, United States","46.18","-91.928","Ole's Outpost Wascott Minong  on UTV/Snow Trails","16","Entire cabin","4","https://www.airbnb.com/rooms/28032109"
"Duluth, Minnesota, United States","46.80404","-92.06734","Luxury Two Bedroom Condo on Lake Superior","6","Room in boutique hotel","4","https://www.airbnb.com/rooms/38753820"
"Duluth, Minnesota, United States","46.81157","-92.07432","Beautiful Historic Congdon Meets Modern","6","Entire home","5","https://www.airbnb.com/rooms/43936399"
"Duluth, Minnesota, United States","46.6601","-92.27853","The Trailhouse","10","Entire home","5","https://www.airbnb.com/rooms/12082719"
"Lake Nebagamon, Wisconsin, United States","46.51224","-91.70402","Lakefront home with private dock","6","Entire home","5","https://www.airbnb.com/rooms/51375897"
"Superior, Wisconsin, United States","46.65092","-92.28336","Mont du Lac - Trophy Lodge King Suite","2","Private room in resort",,"https://www.airbnb.com/rooms/53223832"
"Duluth, Minnesota, United States","46.78023","-92.11994","Duluth Overlook: Lake, Sky, Local Art, Serenity","11","Entire home","5","https://www.airbnb.com/rooms/40174025"
"Superior, Wisconsin, United States","46.48451","-92.05596","“The Beach House” On Lake Amnicon.","6","Entire cabin","5","https://www.airbnb.com/rooms/47977320"
"Duluth, Minnesota, United States","46.75088","-92.07358","Lakehome minutes from Bentleyville on Park Point","7","Entire home","5","https://www.airbnb.com/rooms/27359839"
"Duluth, Minnesota, United States","46.73954","-92.05965","NEW! Park Point Vista, A Superior View","2","Entire home","5","https://www.airbnb.com/rooms/49107395"
"Solon Springs, Wisconsin, United States","46.33826","-91.81568","Northwoods log cabin get away!","8","Entire cabin","5","https://www.airbnb.com/rooms/10117837"
"Brule, Wisconsin, United States","46.584","-91.573","The Black Spruce","12","Entire home","5","https://www.airbnb.com/rooms/35353653"
"Superior, Wisconsin, United States","46.72083","-92.12957","Convenient comfortable location.","4","Entire home","4.5","https://www.airbnb.com/rooms/25828614"
"Solon Springs, Wisconsin, United States","46.34714","-91.55365","Private Wisconsin lake cabin 25 minutes to Hayward","8","Entire cabin","5","https://www.airbnb.com/rooms/49156639"
"Duluth, Minnesota, United States","46.87574","-92.1007","Golden Pond Sanctuary 2000+ Ft","8","Private room in home","5","https://www.airbnb.com/rooms/34345650"
"Duluth, Minnesota, United States","46.78934","-92.09535","Condo steps away from Lake Superior/Canal Park","7","Entire condo","5","https://www.airbnb.com/rooms/35575817"
"Superior, Wisconsin, United States","46.65136","-92.28515","Mont du Lac - Trophy Lodge Queen Suite","4","Private room in resort",,"https://www.airbnb.com/rooms/53224219"
"Superior, Wisconsin, United States","46.72143","-92.07713","Northland Vacation House","6","Entire home","5","https://www.airbnb.com/rooms/42619500"
"Duluth, Minnesota, United States","46.82614","-92.11161","Quaint Duluth Hideaway w/ Private Fenced-In Yard!","6","Entire home","5","https://www.airbnb.com/rooms/21392675"
"Duluth, Minnesota, United States","46.70738","-92.20464","Riverside rooms","4","Entire home","4.5","https://www.airbnb.com/rooms/50865304"
"Brule, Wisconsin, United States","46.74739","-91.6085","Brule River Lake View Duluth Bayfield Hayward area","10","Entire home","4.5","https://www.airbnb.com/rooms/23017862"
"Duluth, Minnesota, United States","46.79647","-92.10151","Fabulous Family Home, Huge Space, Amazing Location","8","Entire home","5","https://www.airbnb.com/rooms/38154010"
"Superior, Wisconsin, United States","46.7165","-92.10129","Superior Base Camp","11","Entire home","5","https://www.airbnb.com/rooms/43985416"
"Lake Nebagamon, Wisconsin, United States","46.50851","-91.69601","Heritage Cottage, 8 on Lake Front, Kayaks, Canoe","8","Entire cabin","4.5","https://www.airbnb.com/rooms/7728150"
