"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Champion, Michigan, United States","46.50037","-88.05508","Pebble Beach Lake Michigamme","15","Private room in guest suite","5","https://www.airbnb.com/rooms/12447669"
"Gay, Michigan, United States","47.23141","-88.15005","Keweenaw Camp a Rustic A-frame","6","Entire cabin","5","https://www.airbnb.com/rooms/40090220"
"Toivola, Michigan, United States","46.87389","-88.91198","Snowmobile, ATV, fish, hunt and relax outdoors!","15","Entire home","5","https://www.airbnb.com/rooms/25400044"
"Lake Linden, Michigan, United States","47.03465","-88.47411","Keweenaw Contemporary Cottage on Portage Lake","8","Entire home","4.5","https://www.airbnb.com/rooms/24224530"
"Spurr Township, Michigan, United States","46.55782","-88.20801","Lake house w/ access to trails for every sport!","12","Entire cottage","5","https://www.airbnb.com/rooms/45942916"
"Houghton Township, Michigan, United States","47.4147","-88.29811","Historic Eagle River Home Close to Beach/Trails","10","Entire home","5","https://www.airbnb.com/rooms/30269494"
"Hancock Township, Michigan, United States","47.258","-88.554","Soothing Superior Sunsets","11","Entire home","5","https://www.airbnb.com/rooms/25375122"
"Calumet Township, Michigan, United States","47.24272","-88.44061","Spacious  Home in the Copper Country","10","Entire home","5","https://www.airbnb.com/rooms/39747352"
"Toivola, Michigan, United States","46.89564","-88.84606","Lake Roland Recreation Cabin","12","Entire cabin","5","https://www.airbnb.com/rooms/50719054"
"Calumet Township, Michigan, United States","47.25309","-88.42473","Snowmobile trail access, king, groups","12","Entire home","5","https://www.airbnb.com/rooms/53869478"
"Allouez Keweenaw County, Michigan, United States","47.379","-88.4","Keweenaw Castle- Balcony Suite","2","Private room in castle","5","https://www.airbnb.com/rooms/32441788"
"Baraga, Michigan, United States","46.8632","-88.47928","Historic Home with Private Beach","13","Entire home","5","https://www.airbnb.com/rooms/50105047"
"Houghton, Michigan, United States","47.08957","-88.51567","The 10th Hole!","11","Entire home","5","https://www.airbnb.com/rooms/16650451"
"Lake Linden, Michigan, United States","47.15655","-88.24246","Simply Superior Cottage","8","Entire cottage","5","https://www.airbnb.com/rooms/37144587"
"Calumet Township, Michigan, United States","47.23286","-88.44192","The Culinary House","6","Entire home","5","https://www.airbnb.com/rooms/43567942"
"Baraga, Michigan, United States","46.89783","-88.47008","LaRose Wellness Retreat-Entire Retreat","15","Entire home","5","https://www.airbnb.com/rooms/17529099"
"Hancock, Michigan, United States","47.11735","-88.5186","Luxury Lakeside/Trailside Living","8","Entire home","5","https://www.airbnb.com/rooms/50456925"
"Dollar Bay, Michigan, United States","47.11668","-88.50386","Relaxing 4 BR home on Portage Lake, work friendly.","9","Entire home","5","https://www.airbnb.com/rooms/53471823"
"Atlantic Mine, Michigan, United States","47.12564","-88.64847","Coles Creek Overlook","16","Entire home","5","https://www.airbnb.com/rooms/35959238"
"Houghton, Michigan, United States","47.13206","-88.6252","Houghton Canal Lake Rental Just 3mi from town!","6","Entire home","5","https://www.airbnb.com/rooms/44305246"
"Atlantic Mine, Michigan, United States","47.12351","-88.60972","Trails and Sails, Lakeside / Trailside Getaway","4","Entire guest suite",,"https://www.airbnb.com/rooms/43302655"
"Hancock, Michigan, United States","47.114","-88.461","Cozy Log Cabin: Great For Families, Near Trails","9","Entire home","5","https://www.airbnb.com/rooms/45441894"
"Hancock, Michigan, United States","47.12587","-88.58387","Olde Vic.  An experience. Overlooks Portage Canal.","10","Entire home","5","https://www.airbnb.com/rooms/50207284"
"Hancock, Michigan, United States","47.1259","-88.55364","On the waterfront with everything!","8","Entire home","5","https://www.airbnb.com/rooms/39320530"
"Houghton , Mi, United States","47.11975","-88.5831","Sandy Paws Cottage","6","Entire home","5","https://www.airbnb.com/rooms/37983934"
"Allouez, Michigan, United States","47.29176","-88.42125","Cozy 3-bedroom cabin with 2 indoor fireplaces","8","Entire cabin","5","https://www.airbnb.com/rooms/52439983"
