"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Bethel, Maine, United States","44.42295","-70.82764","Sunset Ridge Chalet -   A Four Season Get Away!","8","Entire chalet","5","https://www.airbnb.com/rooms/39606264"
"Lovell, Maine, United States","44.15242","-70.93805","""The Birches"" at Gilmore Camps","5","Entire cottage",,"https://www.airbnb.com/rooms/40981199"
"Newry, Maine, United States","44.46926","-70.85452","Sunday River Trailside 5 bedroom chalet","12","Entire chalet","5","https://www.airbnb.com/rooms/30744524"
"Lovell, Maine, United States","44.18157","-70.89034","R&R In Style! Breakfast Available $ Mountain Views","2","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/24117619"
"Bridgton, Maine, United States","44.056","-70.813","Pleasant Mountain - Ski In&Out - Mnt. Side Chalet","8","Entire chalet","5","https://www.airbnb.com/rooms/46263875"
"Waterford, Maine, United States","44.14662","-70.81216","Hidden away at the Sweden Chalet","7","Entire cabin",,"https://www.airbnb.com/rooms/50991249"
"Harrison, Maine, United States","44.10687","-70.67782","1830 CHURCH NEWLY RENOVATED FOR YOUR STAY","6","Religious building","5","https://www.airbnb.com/rooms/51617914"
"Bethel, Maine, United States","44.36876","-70.79359","Spacious Getaway in the Mountains of Western Maine","8","Entire home","5","https://www.airbnb.com/rooms/49574322"
"Bethel, Maine, United States","44.40827","-70.78802","Bethel Village Vacation Home","10","Entire home","5","https://www.airbnb.com/rooms/43942690"
"Cumberland, Maine, United States","43.80546","-70.28831","Hide Away Home on Equestrian Farm.","4","Entire home","4.5","https://www.airbnb.com/rooms/12890595"
"Newry, Maine, United States","44.47635","-70.85504","Snow Village at the Base of Sunday River","11","Entire home",,"https://www.airbnb.com/rooms/48328793"
"Casco, Maine, United States","43.92019","-70.54579","Kettle Cove Bank & Post Office","8","Entire cottage","5","https://www.airbnb.com/rooms/49378517"
"Rangeley, Maine, United States","45.02245","-70.64538","Gerstley - Quiet, secluded adorable camp on Loon Lake","4","Entire home",,"https://www.airbnb.com/rooms/18500144"
"Rangeley, Maine, United States","44.96429","-70.64112","Cute cabin on the shore of Haley Pond","2","Entire home",,"https://www.airbnb.com/rooms/53830442"
"Carrabassett Valley, Maine, United States","45.07435","-70.30457","Cozy, Retro, Ski Chalet","12","Entire chalet","5","https://www.airbnb.com/rooms/40227618"
"Naples, Maine, United States","43.94547","-70.62048","Red House w/ Access to Sebago Cove","8","Entire home","4.5","https://www.airbnb.com/rooms/52542370"
"Rangeley, Maine, United States","44.96679","-70.65424","RC 18 - Spacious home with shared access on Rangeley Lake","10","Entire home",,"https://www.airbnb.com/rooms/18500086"
"Auburn, Maine, United States","44.09754","-70.28344","Taylor Pond Cottage","6","Entire cottage","5","https://www.airbnb.com/rooms/26420738"
"Oxford, Maine, United States","44.11692","-70.46878","Lakefront Home, Gorgeous Views (Aug/Sep wks avail)","8","Entire cottage",,"https://www.airbnb.com/rooms/34556905"
"Wyman Township, Maine, United States","45.11326","-70.38881","Beautiful Home, 4 miles to Sugarloaf! Mtn Views!","10","Entire home","5","https://www.airbnb.com/rooms/36764367"
"Carrabassett Valley, Maine, United States","45.06778","-70.31006","Entire condo, sunny, sugarloaf","6","Entire condo","5","https://www.airbnb.com/rooms/50119709"
"Bridgton, Maine, United States","44.05547","-70.81586","Shawnee Peak Pleasant Mountain Slope side condo","8","Entire condo","5","https://www.airbnb.com/rooms/22566568"
"Conway, New Hampshire, United States","43.98173","-71.05758","Lakeside Cottage with Incredible ViewsJollyJayhawk","6","Entire cabin",,"https://www.airbnb.com/rooms/47764436"
"Bridgton, Maine, United States","44.073","-70.816","Lake Haus Bridgton - Lakefront assoc. near skiing","6","Entire cottage",,"https://www.airbnb.com/rooms/53539404"
"Greenwood, Maine, United States","44.35564","-70.68516","Relax and Have Fun Vacationing on Twitchell Pond","12","Entire home","4.5","https://www.airbnb.com/rooms/32006659"
