"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Traverse City, Michigan, United States","44.82144","-85.64878","Bayside Bungalow: H2O views & backyard oasis","4","Entire home","5","https://www.airbnb.com/rooms/49922156"
"Traverse City, Michigan, United States","44.763","-85.612","Amazing Location; walk everywhere in Traverse City","8","Entire home","4.5","https://www.airbnb.com/rooms/23399688"
"Traverse City, Michigan, United States","44.66885","-85.49392","The Alpine (#1)","4","Entire cabin","5","https://www.airbnb.com/rooms/17560580"
"Traverse City, Michigan, United States","44.68652","-85.6888","Enjoy the best of both worlds on Silver Lake","12","Entire home","5","https://www.airbnb.com/rooms/43594814"
"Traverse City, Michigan, United States","44.76465","-85.60755","Downtown Traverse City Condo, Great Location!","5","Entire condo","5","https://www.airbnb.com/rooms/38573182"
"Traverse City, Michigan, United States","44.75855","-85.60948","Sleeps up to 8, whole house, downtown neighborhood","8","Entire home","5","https://www.airbnb.com/rooms/24378275"
"Traverse City, Michigan, United States","44.85881","-85.54614","Old Mission Peninsula West Bay View","5","Private room in guest suite","5","https://www.airbnb.com/rooms/3718970"
"Lake Leelanau, Michigan, United States","44.98194","-85.70944","The Provemont Cottage | Downtown Lake Leelanau","6","Entire cottage","5","https://www.airbnb.com/rooms/43815802"
"Traverse City, Michigan, United States","44.7459","-85.62655","TC Hideaway","2","Entire guest suite","5","https://www.airbnb.com/rooms/17691584"
"Elk Rapids, Michigan, United States","44.89637","-85.41213","Lil' Chip Cottage in Elk Rapids, NEWLY REMODELED!","4","Entire home","5","https://www.airbnb.com/rooms/34272196"
"Cedar, Michigan, United States","44.84708","-85.79501","Adorable 1-bedroom Stone House Guest Suite Retreat","2","Entire guest suite","5","https://www.airbnb.com/rooms/53343126"
"Traverse City, Michigan, United States","44.7583","-85.59984","Modern Midtown Condo in  TC","8","Entire condo","5","https://www.airbnb.com/rooms/17075531"
"Traverse City, Michigan, United States","44.74623","-85.52957","206 North Shore Inn","4","Entire condo","4","https://www.airbnb.com/rooms/32888214"
"Elk Rapids, Michigan, United States","44.89607","-85.41555","2 Blocks to beach, downtown. Porch, fire pit, FUN!","12","Entire home","5","https://www.airbnb.com/rooms/41870007"
"Traverse City, Michigan, United States","44.74786","-85.56508","4 Bed 2 Bath - Near Town and Beach w/ Fenced Yard","9","Entire home","4.5","https://www.airbnb.com/rooms/54015364"
"Lake Leelanau, Michigan, United States","45.00206","-85.70481","Leelanau Stone Cottage At Eagle’s Nest","2","Entire cottage","5","https://www.airbnb.com/rooms/33451684"
"Traverse City, Michigan, United States","44.76452","-85.64754","Quaint Downtown Traverse City  Getaway","4","Entire guest suite","5","https://www.airbnb.com/rooms/50656736"
"Traverse City, Michigan, United States","44.74724","-85.76495","Long Lake Beach Side Cottage","6","Entire cottage","4.5","https://www.airbnb.com/rooms/23218353"
"Traverse City, Michigan, United States","44.74525","-85.7751","AVAILABILITY FALL 2022","4","Entire home","5","https://www.airbnb.com/rooms/12358283"
"Interlochen, Michigan, United States","44.65388","-85.7684","Interlochen, MI-2  BR House, Sleeps 7","7","Entire home","5","https://www.airbnb.com/rooms/23643472"
"Traverse City, Michigan, United States","44.75796","-85.59566","Parkside525","4","Entire rental unit","5","https://www.airbnb.com/rooms/35121145"
"Williamsburg, Michigan, United States","44.763","-85.51","East Bay Cottage","4","Entire home","5","https://www.airbnb.com/rooms/17773958"
"Traverse City, Michigan, United States","44.72187","-85.48634","Vasa 2","5","Private room in chalet","5","https://www.airbnb.com/rooms/38070649"
"Traverse City, Michigan, United States","44.68931","-85.51071","Amy's lake house master bedroom","4","Private room in home","4.5","https://www.airbnb.com/rooms/20903475"
"Williamsburg, Michigan, United States","44.87855","-85.40706","Voneda Place on Beautiful Elk Lake. Cottage 22","5","Entire cottage","5","https://www.airbnb.com/rooms/20975833"
