"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Tigard, Oregon, United States","45.43393","-122.74902","Relax and Unwind! 2 Convenient Units, Onsite Pool","8","Room in hotel",,"https://www.airbnb.com/rooms/53358693"
"Government Camp, Oregon, United States","45.30314","-121.75218","Serene Wooded Retreat W/ Free WiFi, Large Deck & Spacious Loft - Skiing Nearby!","8","Entire cabin","4.5","https://www.airbnb.com/rooms/50591035"
"Mount Hood Village, Oregon, United States","45.35627","-121.97981","Sandy River Ski House","6","Entire home","5","https://www.airbnb.com/rooms/1639495"
"Mount Hood Village, Oregon, United States","45.32134","-121.95639","Classic Mountain Home on Salmon River, 4.5 bdrms","8","Entire home","5","https://www.airbnb.com/rooms/41315748"
"Welches, Oregon, United States","45.338","-121.967","Mountain condo with pool tabl & private hot tub - great for golfers, skiers & hikers","6","Entire home","4.5","https://www.airbnb.com/rooms/17073003"
"Welches, Oregon, United States","45.333","-121.957","Serene Mountain Retreat","7","Entire condo","5","https://www.airbnb.com/rooms/32172056"
"Mount Hood Village, Oregon, United States","45.344","-121.97061","Rippling River Retreat Welches, golf, ski, Tub","6","Entire home","5","https://www.airbnb.com/rooms/49478487"
"Rhododendron, Oregon, United States","45.34628","-121.93682","Mossy Rock Cottage","8","Entire cabin","5","https://www.airbnb.com/rooms/2730919"
"Government Camp, Oregon, United States","45.30366","-121.75922","The Official Collins Lake Resort - Building J Chalet 33","7","Entire home","5","https://www.airbnb.com/rooms/46395128"
"Government Camp, Oregon, United States","45.30294","-121.75934","Fabulous House, ideal location","7","Entire townhouse","5","https://www.airbnb.com/rooms/7955715"
"Tualatin, Oregon, United States","45.37361","-122.74242","Convenient  brand new 5 bedroom home","11","Entire home",,"https://www.airbnb.com/rooms/38192462"
"Tigard, Oregon, United States","45.4375","-122.78639","Wheelchair Accessible, Open Floor Plan, Ping Pong","9","Entire home","5","https://www.airbnb.com/rooms/28966758"
"Government Camp, Oregon, United States","45.30372","-121.75948","The Official Collins Lake Resort - Building O Chalet 53","8","Entire home",,"https://www.airbnb.com/rooms/43277777"
"Government Camp, Oregon, United States","45.30415","-121.75943","The Official Collins Lake Resort - Building K Chalet 35","8","Entire home",,"https://www.airbnb.com/rooms/43277591"
"Government Camp, Oregon, United States","45.30267","-121.75845","The Official Collins Lake Resort - Building K Chalet 36","6","Entire home",,"https://www.airbnb.com/rooms/46395377"
"Government Camp, Oregon, United States","45.30331","-121.75798","The Official Collins Lake Resort - Building P Chalet 47","7","Entire home",,"https://www.airbnb.com/rooms/43277684"
"Government Camp, Oregon, United States","45.30282","-121.75836","The Official Collins Lake Resort - Building P Chalet 45","8","Entire home","5","https://www.airbnb.com/rooms/43277659"
"Mount Hood Village, Oregon, United States","45.33707","-121.96677","Welcome To *Whispering Woods Resort* 2B#1","6","Entire condo",,"https://www.airbnb.com/rooms/53176135"
"Portland, Oregon, United States","45.43417","-122.80049","Beautiful Country Style  Home. Welcome!","6","Entire home","5","https://www.airbnb.com/rooms/25867320"
"Beaverton, Oregon, United States","45.44887","-122.83819","Spacious, 4BR Single-Level near Parks","10","Entire home","5","https://www.airbnb.com/rooms/31824014"
"Government Camp, Oregon, United States","45.30224","-121.75921","The Official Collins Lake Resort - Building N Chalet 65","8","Entire home","4.5","https://www.airbnb.com/rooms/43277864"
"Government Camp, Oregon, United States","45.30269","-121.75853","The Official Collins Lake Resort- Building C Chalet 15","7","Entire home",,"https://www.airbnb.com/rooms/46377973"
"Government Camp, Oregon, United States","45.30275","-121.75958","The Official Collins Lake Resort - Building L Chalet 40","7","Entire home",,"https://www.airbnb.com/rooms/43277641"
"Government Camp, Oregon, United States","45.30424","-121.76121","The Official Collins Lake Resort - Building W Chalet 102","8","Entire home",,"https://www.airbnb.com/rooms/43278529"
"Government Camp, Oregon, United States","45.30318","-121.76205","The Official Collins Lake Resort - Building V Chalet 90","6","Entire home","4.5","https://www.airbnb.com/rooms/46471026"
