"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Spokane, Washington, United States","47.80718","-117.39777","*NEW Luxury+ SPA, Arcade, Fire-pit, 4BD HOME","8","Entire home","5","https://www.airbnb.com/rooms/49159764"
"Spokane, Washington, United States","47.64306","-117.39208","Groovy Perry District/South Hill Mid-Century Home","6","Entire home","5","https://www.airbnb.com/rooms/723083"
"Spokane, Washington, United States","47.67021","-117.46465","5 minutes from downtown, a quiet and safe oasis...","4","Entire home","5","https://www.airbnb.com/rooms/14310245"
"Spokane Valley, Washington, United States","47.64484","-117.32215","Private 3 bedroom apartment","8","Entire guest suite","4.5","https://www.airbnb.com/rooms/16634884"
"Spokane, Washington, United States","47.72948","-117.44549","Hoopfest Bank Shot Basement","12","Private room in home",,"https://www.airbnb.com/rooms/34203086"
"Spokane Valley, Washington, United States","47.63779","-117.27014","Newly remodeled condo with yard & air hockey, near hiking & shopping","8","Entire home","4.5","https://www.airbnb.com/rooms/29759473"
"Spokane, Washington, United States","47.63217","-117.43726","Latah Creek House","6","Entire guest suite","5","https://www.airbnb.com/rooms/53780945"
"Spokane, Washington, United States","47.73588","-117.44885","On the Park!  Close to everything.  Fun and ease.","8","Entire home","5","https://www.airbnb.com/rooms/38620479"
"Rockford, Washington, United States","47.44729","-117.13442","Rockford view on 10 acres hot tub and mini anmals!","9","Farm stay","5","https://www.airbnb.com/rooms/49435499"
"Spokane, Washington, United States","47.65067","-117.35069","Relaxing Hideaway on South Hill w/ Large Yard","8","Entire home","4.5","https://www.airbnb.com/rooms/50155420"
"Nine Mile Falls, Washington, United States","47.89349","-117.66035","Lake Front condo on sunset bay","6","Entire condo","5","https://www.airbnb.com/rooms/44892463"
"Spokane Valley, Washington, United States","47.67489","-117.16777","Beautiful Spokane Valley Home","8","Entire home","5","https://www.airbnb.com/rooms/37970337"
"Spokane, Washington, United States","47.63044","-117.40977","Manito Park View 2","6","Entire home","5","https://www.airbnb.com/rooms/23295263"
"Spokane Valley, Washington, United States","47.67628","-117.28617","Rent 2 houses in 1! Great for large groups, families traveling together etc. Super convenient location near everything! 6 bedrooms, 2 kitchens, 4 bathrooms, 4 living rooms!","16","Entire home","4.5","https://www.airbnb.com/rooms/52072092"
"Spokane, Washington, United States","47.6455","-117.38019","The Perry Canary | Newly Renovated & Walkable","8","Entire home","5","https://www.airbnb.com/rooms/34345279"
"Spokane, Washington, United States","47.76444","-117.44046","Updated Cozy Home Tucked In The Trees!","10","Entire home","5","https://www.airbnb.com/rooms/33188192"
"Spokane, Washington, United States","47.66212","-117.43862","Beautiful cottage downtown in Kendall Yards","6","Entire home","5","https://www.airbnb.com/rooms/4151312"
"Colbert, Washington, United States","47.82434","-117.30099","The Cedar Suite in Beautiful Greenbluff Washington","6","Entire guesthouse","5","https://www.airbnb.com/rooms/13713938"
"Spokane, Washington, United States","47.69115","-117.28787","2/2 Waterfront Getaway!","6","Entire home","5","https://www.airbnb.com/rooms/13413504"
"Spokane Valley, Washington, United States","47.64159","-117.22508","Quiet Work Environment | Spacious Mod Farmhouse | Fast WiFI | Green Clean | Close 2 Internet Cafés","10","Entire home","5","https://www.airbnb.com/rooms/43742926"
"Spokane, Washington, United States","47.693","-117.456","Historic Home on Large Park (Minutes to downtown)","6","Entire bungalow","5","https://www.airbnb.com/rooms/26544519"
"Spokane, Washington, United States","47.7232","-117.38716","Spacious Madelia Home: Entire Home","8","Entire home","5","https://www.airbnb.com/rooms/51711914"
"Liberty Lake, Washington, United States","47.6654","-117.10268","Lakefront room, kitchenette","2","Private room in home","5","https://www.airbnb.com/rooms/552825"
"Spokane, Washington, United States","47.64228","-117.22563","Songbird Cottage | HUGE Backyard | 15 Min To Downtown | Pet & Family Friendly | 5-Star Rated Beds","8","Entire home","5","https://www.airbnb.com/rooms/3924415"
"Spokane, Washington, United States","47.73956","-117.29525","Private Room On 10 Acres Of Forest","2","Private room in home","5","https://www.airbnb.com/rooms/10085991"
