"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Davis, California, United States","38.549","-121.736","Charming Casa on K Street in downtown Davis","9","Entire home","5","https://www.airbnb.com/rooms/51982243"
"Napa, California, United States","38.37331","-122.42078","A-Frame of Napa hot tub, sauna, huge deck","10","Treehouse","5","https://www.airbnb.com/rooms/39117550"
"Sacramento, California, United States","38.68182","-121.50371","Relax in Natomas..minutes to airport and downtown!","6","Entire home","5","https://www.airbnb.com/rooms/38644963"
"Napa, California, United States","38.34563","-122.26513","Sanitized, Discounted, Single Story,Corner,Private","2","Entire townhouse","5","https://www.airbnb.com/rooms/8530967"
"Saint Helena, California, United States","38.6053","-122.40884","Rustic Pope Valley Retreat","3","Entire home","5","https://www.airbnb.com/rooms/9031463"
"West Sacramento, California, United States","38.52339","-121.56447","Brand new neighborhood three bedrooms","6","Entire home",,"https://www.airbnb.com/rooms/51304498"
"Winters, California, United States","38.52273","-121.97045","Courtyard View One King","4","Room in hotel",,"https://www.airbnb.com/rooms/50835326"
"Vacaville, California, United States","38.35823","-121.98862","Entire home/apt in Vacaville","10","Entire home","5","https://www.airbnb.com/rooms/1130667"
"Napa, California, United States","38.32546","-122.32397","Private room 5","2","Private room in home","5","https://www.airbnb.com/rooms/31292382"
"Napa, California, United States","38.325","-122.323","Room 3","2","Private room in home","5","https://www.airbnb.com/rooms/24855225"
"Winters, California, United States","38.5218","-121.97038","Winters Two Queens","4","Room in hotel",,"https://www.airbnb.com/rooms/50835425"
"Winters, California, United States","38.52279","-121.96918","Classic One King","4","Room in hotel",,"https://www.airbnb.com/rooms/50835250"
"Napa, California, United States","38.34813","-122.26334","382 Southgate at Silverado Resort","2","Entire condo","5","https://www.airbnb.com/rooms/47508939"
"Napa, California, United States","38.34143","-122.30899","The Nest","2","Entire guest suite","5","https://www.airbnb.com/rooms/21110784"
"Sacramento, California, United States","38.49994","-121.55501","Tranquil Private room & bathroom","2","Private room in guest suite",,"https://www.airbnb.com/rooms/42492704"
"Napa, California, United States","38.35245","-122.25529","Sunny Escape on Golf Course w/ Patio Near Wineries","10","Entire townhouse","4.5","https://www.airbnb.com/rooms/20216874"
"Woodland, California, United States","38.58617","-121.83378","Davis Horse Ranch","6","Entire home",,"https://www.airbnb.com/rooms/44537934"
"Napa, California, United States","38.35285","-122.26477","Wine Country Escape at Silverado in Napa!","4","Entire condo","4.5","https://www.airbnb.com/rooms/17253919"
"West Sacramento, California, United States","38.54869","-121.55797","Cozy 3 bedroom/ 2 bath— 10 mins from downtown","10","Entire home","5","https://www.airbnb.com/rooms/34719543"
"Napa, California, United States","38.319","-122.273","The Burley Oaks","5","Entire home",,"https://www.airbnb.com/rooms/47288390"
"Sacramento, California, United States","38.65176","-121.53412","Relaxing getaway home(Excludes attached studio).","6","Entire home","4.5","https://www.airbnb.com/rooms/36700055"
"Napa, California, United States","38.32301","-122.31927","Cute & Comfortable - Spacious Home in Napa","4","Entire home","4.5","https://www.airbnb.com/rooms/51641442"
"Napa, California, United States","38.34861","-122.26425","Romantic Stay Silverado Napa Sanitized","2","Entire condo","4.5","https://www.airbnb.com/rooms/16097851"
"Napa, California, United States","38.32761","-122.30772","North Napa House w/ Pool,  Spa, BBQ","6","Entire home","5","https://www.airbnb.com/rooms/49522118"
"Winters, California, United States","38.52327","-121.96906","Winters One King","4","Room in hotel",,"https://www.airbnb.com/rooms/50835396"
