"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Ludlow, Vermont, United States","43.40019","-72.73412","Welcoming Condo Features Walk to Slope Access & Seasonal Pool - Dogs OK","6","Entire condo","4","https://www.airbnb.com/rooms/17135224"
"Plymouth, Vermont, United States","43.47027","-72.68605","Two-Story dog-friendly home with game room, fireplace, gas grill","8","Entire home","5","https://www.airbnb.com/rooms/551849010044324350"
"Quechee, Vermont, United States","43.63887","-72.39103","Twin Tiny Homes,  A Truly Unique Vermont Escape!","4","Tiny home","5","https://www.airbnb.com/rooms/45332432"
"Londonderry, Vermont, United States","43.23321","-72.79402","Large, peaceful VT home minutes from everything!","10","Entire home","5","https://www.airbnb.com/rooms/20729782"
"Hartford, Vermont, United States","43.63583","-72.43413","Renovated! Cozy, contemporary with great location.","6","Entire home","5","https://www.airbnb.com/rooms/17106247"
"Plymouth, Vermont, United States","43.47073","-72.69581","Cozy Vermont Condo with Mountain Views: Okemo","7","Entire townhouse","5","https://www.airbnb.com/rooms/54145438"
"Pittsfield, Vermont, United States","43.75339","-72.82183","The Sklarzhaus","8","Entire chalet","5","https://www.airbnb.com/rooms/46918419"
"Quechee, Vermont, United States","43.68308","-72.42628","Vermont ""Treehouse"" at Quechee Club","7","Entire home","5","https://www.airbnb.com/rooms/15313299"
"Killington, Vermont, United States","43.62424","-72.78678","Ski home on the trail from Showshed! Or take the free shuttle A2","6","Entire condo","5","https://www.airbnb.com/rooms/21378317"
"Ludlow, Vermont, United States","43.39668","-72.70651","Modern 2 Bed/2 Bath Condo","4","Entire condo","5","https://www.airbnb.com/rooms/52163211"
"Shrewsbury, Vermont, United States","43.53658","-72.81594","Balm of Gilead B & B  Blue Suite","4","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/14385247"
"Plymouth, Vermont, United States","43.50507","-72.71304","Lake View home near Okemo/Killington","8","Entire home","5","https://www.airbnb.com/rooms/22406717"
"Killington, Vermont, United States","43.64457","-72.77416","Stylish Killington Retreat - 3 Miles to Skiing!","12","Entire home","5","https://www.airbnb.com/rooms/41575400"
"Chester, Vermont, United States","43.26225","-72.59475","Inn Victoria,  A 160+ year old Mansion","4","Room in bed and breakfast","5","https://www.airbnb.com/rooms/35421818"
"Weston, Vermont, United States","43.25602","-72.79269","Ski the East! West River Farmhouse in Weston, VT","8","Entire home","5","https://www.airbnb.com/rooms/27677674"
"Ludlow, Vermont, United States","43.41695","-72.72646","Ski-in/out condo with fireplace, pool, hot tub, gym, sauna & washer/dryer","10","Entire condo",,"https://www.airbnb.com/rooms/53046947"
"Ludlow, Vermont, United States","43.40541","-72.71897","Charming ski-in/ski-out condo with fireplace, washer/dryer, tennis","8","Entire condo",,"https://www.airbnb.com/rooms/53046880"
"Peru, Vermont, United States","43.23955","-72.87273","Tree-Lined Lodge with Deck, Fireplaces, Porch, Game Room, & High-Speed WiFi","8","Entire home","5","https://www.airbnb.com/rooms/50566711"
"Killington, Vermont, United States","43.64191","-72.77542","Killington Base Camp 5 BR 3 BA sleeps 12","8","Entire home","5","https://www.airbnb.com/rooms/6585264"
"Killington, Vermont, United States","43.64138","-72.77468","Snowqueen Ski Chalet in Killington","10","Entire chalet","5","https://www.airbnb.com/rooms/41932320"
"Ludlow, Vermont, United States","43.39882","-72.73081","Renovated condo w/ shared seasonal pool & tennis - walk to trail!","10","Entire condo","4.5","https://www.airbnb.com/rooms/33018708"
"Killington, Vermont, United States","43.656","-72.785","Tanglewood Blues: Amazing Family Ski Home in Killington. Hot Tub. Close to resort!","8","Entire home","4.5","https://www.airbnb.com/rooms/46881576"
"Cornish, New Hampshire, United States","43.44663","-72.3337","Millie's – Quiet Retreat","6","Entire home","5","https://www.airbnb.com/rooms/52845201"
"Ludlow, Vermont, United States","43.36746","-72.67438","Charming Farmhouse w/ Incredible Okemo Views!","6","Entire home","5","https://www.airbnb.com/rooms/45021405"
"Fairlee, Vermont, United States","43.88567","-72.24325","Modern Lake Fairlee Home & Level Lakeside Yard","8","Entire home","5","https://www.airbnb.com/rooms/23725603"
