"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Farmington Hills, Michigan, United States","42.45569","-83.34103","Cozy home sleeps 12, firepit, entertaining space","16","Entire home","5","https://www.airbnb.com/rooms/49946046"
"Detroit, Michigan, United States","42.43804","-83.13619","Gorgeous Historical Sherwood Home","6","Entire home",,"https://www.airbnb.com/rooms/32166049"
"Novi, Michigan, United States","42.46929","-83.5009","Outstanding property in the heart of Novi","2","Private room in home",,"https://www.airbnb.com/rooms/40178490"
"Orion charter Township, Michigan, United States","42.72953","-83.29726","Fireplace with 86 inch tv and jacuzzi tub","4","Entire home",,"https://www.airbnb.com/rooms/47071838"
"Novi, Michigan, United States","42.46822","-83.49908","Best property in the heart of Novi","2","Private room in home",,"https://www.airbnb.com/rooms/37400412"
"Royal Oak, Michigan, United States","42.51506","-83.14419","Modern, Friendly home. Car ready!","2","Private room in home",,"https://www.airbnb.com/rooms/9095616"
"Berkley, Michigan, United States","42.48933","-83.16481","1920's Charmer near Downtown Royal Oak!","7","Entire bungalow","5","https://www.airbnb.com/rooms/30746036"
"Royal Oak, Michigan, United States","42.47969","-83.15239","2nd Floor All to Yourself in Beautiful 1920s Home!","4","Private room in home",,"https://www.airbnb.com/rooms/19270948"
"Orion charter Township, Michigan, United States","42.78455","-83.24031","High-End Downtown Apartment, Views of Lake Orion","4","Entire rental unit","5","https://www.airbnb.com/rooms/50098597"
"Berkley, Michigan, United States","42.49052","-83.16226","Newly Restored 1920s Flat - First Floor","4","Entire home","5","https://www.airbnb.com/rooms/32608065"
"Oak Park, Michigan, United States","42.46341","-83.18897","Nalova house","13","Entire home",,"https://www.airbnb.com/rooms/52027099"
"Royal Oak, Michigan, United States","42.53235","-83.20355","Cozy Modern Farmhouse -  (No Pets)","2","Entire home",,"https://www.airbnb.com/rooms/48882922"
"Redford , Michigan, United States","42.43295","-83.29075","Beautiful brick Colonial In Detroit Suburbs.","6","Entire home","5","https://www.airbnb.com/rooms/40252320"
"Ferndale, Michigan, United States","42.46144","-83.13167","Spacious 4 BR/2 BA – 4 Min Walk to DT Ferndale!","8","Entire home",,"https://www.airbnb.com/rooms/45134821"
"West Bloomfield Township, Michigan, United States","42.53582","-83.32754","Tranquil living in the city — Sleeps 10","10","Entire home",,"https://www.airbnb.com/rooms/51757613"
"Holly, Michigan, United States","42.86468","-83.5516","Adorable updated modern farmhouse on wooded parcel","9","Entire home","5","https://www.airbnb.com/rooms/37216891"
"Pontiac, Michigan, United States","42.68145","-83.32344","Cheerful 4-Bedroom home near Elizabeth Lake","10","Entire home",,"https://www.airbnb.com/rooms/53920499"
"Milford Charter Township, Michigan, United States","42.58952","-83.59105","Cozy Home with Sunroom in Downtown Milford","5","Entire home","5","https://www.airbnb.com/rooms/15081918"
"Holly, Michigan, United States","42.80905","-83.61509","Beautiful home in Holly, Michigan","8","Entire home","5","https://www.airbnb.com/rooms/33910628"
"Clarkston, Michigan, United States","42.74","-83.42","Parsonage Suite - Millpond Inn B&B","6","Entire guest suite","5","https://www.airbnb.com/rooms/49367622"
"Royal Oak, Michigan, United States","42.50321","-83.13473","KINGdom on Twelve-2 KING Beds!!","9","Entire bungalow","5","https://www.airbnb.com/rooms/48282278"
"Southfield, Michigan, United States","42.50912","-83.2186","NEW! Super Cute, Cozy, PET Friendly Home","6","Entire townhouse","5","https://www.airbnb.com/rooms/52252445"
"Southfield, Michigan, United States","42.48812","-83.21094","Exotic Mediterranean Oasis","12","Entire home","5","https://www.airbnb.com/rooms/7418164"
"West Bloomfield Township, Michigan, United States","42.52814","-83.42861","Fabulous 3 bedroom City Of W Bloomfie","4","Entire home","4.5","https://www.airbnb.com/rooms/52742127"
"Waterford Township, Michigan, United States","42.64167","-83.36407","Lake, calm place to enjoy meditation and nature","5","Entire home","5","https://www.airbnb.com/rooms/49461852"
